[0.83205503],[0.7488178],[0.73221105],[0.7181196],[0.70090365],[0.69360805],[0.68212366],[0.6742928],[0.66322064],[0.65363866],[0.66050357],[0.6485706],[0.64379764],[0.64316857],[0.63494396],[0.6282569],[0.62934655],[0.6269701],[0.6162177],[0.6139317],[0.6101003],[0.6103006],[0.6087705],[0.5938847],[0.5977083],[0.5971671],[0.58728296],[0.5834407],[0.58612424],[0.58400124],[0.5736484],[0.5729118],[0.5746592],[0.56401986],[0.5699939],[0.5671807],[0.5670313],[0.55911964],[0.55668676],[0.55307245],[0.552826],[0.552306],[0.54284793],[0.54425836],[0.54770255],[0.54263127],[0.54468673],[0.5389575],[0.5430598],[0.54373085],[0.5415356],[0.5392049],[0.5372175],[0.53173697],[0.52483827],[0.5296899],[0.52373004],[0.5292794],[0.5236635],[0.52601814],[0.5242612],[0.5194413],[0.5211374],[0.5147605],[0.513504],[0.51591265],[0.5094812],[0.5135135],[0.50610983],[0.50564826],[0.51029426],[0.5002952],[0.49825132],[0.5032484],[0.49914682],[0.49948633],[0.497828],[0.4927032],[0.5010749],[0.4945813],[0.4960175],[0.49609688],[0.49043366],[0.49003312],[0.49192512],[0.49042353],[0.49096197],[0.48598063],[0.48423955],[0.48829308],[0.4870432],[0.48833704],[0.48944986],[0.4728611],[0.47974744],[0.4795368],[0.4745723],[0.4762404],[0.4717636],[0.46979526],[0.47251898],[0.4693686],[0.4696272],[0.46682593],[0.4634784],[0.4662746],[0.46378025],[0.46985206],[0.4607286],[0.45887738],[0.4583318],[0.46147913],[0.45744604],[0.45049402],[0.4566143],[0.45679823],[0.45593578],[0.45094827],[0.44918302],[0.4485337],[0.448532],[0.45011798],[0.444722],[0.44966227],[0.44244322],[0.44563603],[0.44362137],[0.44125402],[0.4449931],[0.44128054],[0.4411614],[0.44153294],[0.43575805],[0.43912357],[0.43575093],[0.43926853],[0.43696207],[0.43232492],[0.44033054],[0.4310374],[0.43337658],[0.43709043],[0.43096286],[0.42984217],[0.42932898],[0.43165812],[0.4305718],[0.43363884],[0.42371702],[0.4304292],[0.42602038],[0.42189243],[0.42658028],[0.422535],[0.42944902],[0.4246691],[0.41795674],[0.41770932],[0.42250577],[0.42305332],[0.42283258],[0.4148183],[0.41777012],[0.4120165],[0.41495374],[0.40875766],[0.41393137],[0.40843913],[0.4063821],[0.41298014],[0.40494755],[0.407266],[0.40847582],[0.3996659],[0.40215355],[0.4005533],[0.40399292],[0.39786947],[0.39801544],[0.39933312],[0.4016436],[0.39714],[0.39301825],[0.39673796],[0.39614087],[0.3953667],[0.39204243],[0.39532113],[0.39442828],[0.39100718],[0.39579752],[0.3898194],[0.38697073],[0.39299577],[0.39035606],[0.3860692],[0.39054018],[0.3902261],[0.38605675],[0.3893759]
[1.2993675470352173],[0.8277441263198853],[0.6889728903770447],[0.7042974829673767],[0.6928091049194336],[0.6711577773094177],[0.6666082143783569],[0.6971703171730042],[0.6415467262268066],[0.6853616237640381],[0.627364456653595],[0.672685444355011],[0.659899890422821],[0.6306217908859253],[0.6274995803833008],[0.6603481769561768],[0.6310179829597473],[0.656049370765686],[0.6053535342216492],[0.6031599640846252],[0.6546936631202698],[0.6421244144439697],[0.5657005310058594],[0.6274699568748474],[0.608403205871582],[0.6183028817176819],[0.6226983666419983],[0.6123950481414795],[0.581713080406189],[0.5959999561309814],[0.5820342898368835],[0.6300684213638306],[0.5777730941772461],[0.6033909320831299],[0.6234130263328552],[0.6115604043006897],[0.6111977696418762],[0.580653965473175],[0.5802555084228516],[0.5897435545921326],[0.5891792178153992],[0.5629745721817017],[0.6031362414360046],[0.6018871665000916],[0.5653030872344971],[0.5680078864097595],[0.595994770526886],[0.6018278002738953],[0.5980953574180603],[0.5828338265419006],[0.5837454795837402],[0.6106376647949219],[0.6104454398155212],[0.5900501608848572],[0.5867237448692322],[0.5937008261680603],[0.6505349278450012],[0.6010909676551819],[0.5816117525100708],[0.5598313212394714],[0.5805829763412476],[0.562900722026825],[0.5597476363182068],[0.5535790920257568],[0.5841020345687866],[0.6079317331314087],[0.5547431707382202],[0.5680218935012817],[0.5767989158630371],[0.5639849901199341],[0.5510929226875305],[0.575243353843689],[0.564903974533081],[0.5981091260910034],[0.5688794255256653],[0.6187307834625244],[0.5725793838500977],[0.5681368112564087],[0.5819896459579468],[0.6094935536384583],[0.5593974590301514],[0.5446402430534363],[0.5342951416969299],[0.544551432132721],[0.5449223518371582],[0.5388973355293274],[0.5469964742660522],[0.5698854923248291],[0.5205202102661133],[0.5285264253616333],[0.5531721711158752],[0.5771487355232239],[0.567538321018219],[0.5668212175369263],[0.5509070754051208],[0.547188937664032],[0.5442995429039001],[0.5205661058425903],[0.6004348397254944],[0.545093834400177],[0.5771375894546509],[0.5205028057098389],[0.5782212018966675],[0.554251492023468],[0.5467414259910583],[0.5304442644119263],[0.5748225450515747],[0.5075398683547974],[0.5615224242210388],[0.5238141417503357],[0.5755086541175842],[0.5555465817451477],[0.526054859161377],[0.5358405113220215],[0.5333411693572998],[0.5425612330436707],[0.5425897836685181],[0.4985126852989197],[0.5053510069847107],[0.5282535552978516],[0.5445995926856995],[0.5396876335144043],[0.5503770112991333],[0.5352216362953186],[0.5393038392066956],[0.557179868221283],[0.5561034083366394],[0.5428596138954163],[0.5209112763404846],[0.5193486213684082],[0.5438952445983887],[0.5317756533622742],[0.5393821001052856],[0.5105385184288025],[0.5328895449638367],[0.5126549601554871],[0.522639811038971],[0.5336189866065979],[0.5137783885002136],[0.524734377861023],[0.5383436679840088],[0.504928708076477],[0.5223088264465332],[0.5167979001998901],[0.502411425113678],[0.5053679347038269],[0.5191673636436462],[0.5063120126724243],[0.4969327747821808],[0.5633500218391418],[0.5150378942489624],[0.4777844250202179],[0.5180858373641968],[0.48858943581581116],[0.5184678435325623],[0.5258843302726746],[0.5252082347869873],[0.4965088963508606],[0.49967432022094727],[0.49039527773857117],[0.5091275572776794],[0.5052324533462524],[0.493524968624115],[0.5096325874328613],[0.4900616407394409],[0.49047574400901794],[0.4774477183818817],[0.4874580204486847],[0.4806930124759674],[0.5436793565750122],[0.4873368442058563],[0.5077529549598694],[0.4836726784706116],[0.4987340569496155],[0.48633623123168945],[0.5229408144950867],[0.4913531541824341],[0.46822652220726013],[0.5114081501960754],[0.5073288083076477],[0.48670467734336853],[0.49663323163986206],[0.4896326959133148],[0.4834461212158203],[0.5328738689422607],[0.5015302896499634],[0.4874527156352997],[0.49685508012771606],[0.4869624078273773],[0.4905715584754944],[0.4467495083808899],[0.5238447189331055],[0.5061162114143372],[0.5117394328117371],[0.4931119382381439],[0.5009368062019348],[0.49414756894111633],[0.48812124133110046],[0.457211971282959],[0.47265031933784485]
[0.7943416473889114],[0.6704375056347044],[0.6302460907119336],[0.606101260621949],[0.5892731346706352],[0.5725337921982945],[0.5618390617984357],[0.5529511644698606],[0.5444101354863384],[0.5359876973204093],[0.536344185028926],[0.5287444803974416],[0.5243461545151059],[0.5190119114842745],[0.5144568964986518],[0.5095798659442675],[0.5095300060687679],[0.5055372508445589],[0.4951062311630438],[0.4961747196641299],[0.49525373259393296],[0.48971639676849443],[0.48826770764766353],[0.4811985129767125],[0.47817131286800496],[0.4838001804776711],[0.47468939630111845],[0.46818329143052057],[0.4699739067271204],[0.4681018343066225],[0.46229830000660205],[0.4629523509209699],[0.4597625266207327],[0.45692424107306073],[0.4603608766994854],[0.456437092016239],[0.45591450652273574],[0.44741783342739144],[0.4485790581986456],[0.4436268948092319],[0.4428628178516237],[0.4461026206465051],[0.439395929032033],[0.43632824940256554],[0.43725918956322246],[0.43610536639053044],[0.4369578190369181],[0.4337609265700425],[0.43457852495778904],[0.43696927699712246],[0.43208295608511066],[0.43281402121676077],[0.42956522225153326],[0.4221751173534016],[0.4184911003207216],[0.420103134495197],[0.42040344039992533],[0.42079440998558953],[0.4179648208146048],[0.41714226609409444],[0.4183693454407229],[0.4129047817227864],[0.4146775715421922],[0.4097308742232842],[0.4078456901087619],[0.4113222702895061],[0.4029981254941166],[0.4065377405374357],[0.40101180646089046],[0.40153706044253734],[0.40565290663502],[0.39842103141369206],[0.39625928543581823],[0.40094780390805534],[0.3930587210867665],[0.39708699256476787],[0.39505319577632564],[0.38870790099153424],[0.39695193861970807],[0.38951910869909984],[0.39217160096262943],[0.3913721299112433],[0.38637412214043115],[0.38703369917255814],[0.3863517770377716],[0.38897206744935253],[0.3886883640938466],[0.38223363134530514],[0.38200439601251396],[0.38369257335025486],[0.3839308761134006],[0.38427960680853024],[0.38193228073639446],[0.3698940427586584],[0.3757113933858305],[0.37472957461187156],[0.37168485427847003],[0.37379357543322117],[0.37055767600489137],[0.36772305274953937],[0.3716806177750672],[0.3685024212492575],[0.36832581253925173],[0.3650505399644965],[0.3612142479655766],[0.3653971175156017],[0.3658626579707212],[0.3669189227984683],[0.3600213239983757],[0.35766707168947354],[0.3591143965426058],[0.36069275674843554],[0.3565126968787448],[0.3523058211154277],[0.35643396002821404],[0.35687639335594556],[0.3580149732308813],[0.3496793499677488],[0.3490594463183148],[0.3490087357488009],[0.351767634991372],[0.35008243183688365],[0.34547457600584125],[0.3513520568019093],[0.34462079420538233],[0.346508600481666],[0.34730405987489343],[0.3437488285621794],[0.34604583356049984],[0.3417212861304236],[0.3421982407274813],[0.34342783910803276],[0.3371002106088223],[0.34096655234842016],[0.33786003144070653],[0.34048688706785146],[0.3381995694472058],[0.3348490055834893],[0.3409243029828119],[0.33430411747776634],[0.334036719828549],[0.33869970110383363],[0.33396081419864504],[0.3302794194752627],[0.3310468055234097],[0.3341402249171002],[0.3312463642346977],[0.33308363034583555],[0.3266087727676524],[0.33349159802540695],[0.3282013910241646],[0.32325416257475864],[0.32847016533412554],[0.32597124429032354],[0.32980755015765084],[0.3266175374536231],[0.32033501993311514],[0.3220735108203227],[0.3255928598418094],[0.3257318634798031],[0.3273212757736149],[0.3174312290283713],[0.3207113944953031],[0.3145144506551252],[0.31688730197377724],[0.31377199985603293],[0.3190905289484723],[0.31121904867710454],[0.3137537173115381],[0.3185176958542059],[0.3087186041739908],[0.31331812523969327],[0.3133891466820594],[0.30607226313930924],[0.30709375618117873],[0.30751929380516013],[0.30865766934239036],[0.3034704115131114],[0.3070509147526014],[0.3062538944258548],[0.3070370665576198],[0.30383854042185415],[0.3006910420585387],[0.30301886841212167],[0.3034022596507969],[0.3024448554704685],[0.29897015150820855],[0.3022431647128398],[0.30160377757384044],[0.299687848675369],[0.3007457844986774],[0.29857741370059476],[0.2965596344801459],[0.3000775251058069],[0.29735675970516584],[0.2951647739599247],[0.2960264499824826],[0.296875128356537],[0.2927986206394611],[0.2972364186650456]
[1.3025633096694946],[0.6339672207832336],[0.36190688610076904],[0.4085446298122406],[0.4027596712112427],[0.5391033291816711],[0.3492678999900818],[0.35230064392089844],[0.6373805999755859],[0.6187427639961243],[0.5878146290779114],[0.5438934564590454],[0.36548861861228943],[0.3965775966644287],[0.437122106552124],[0.6327714920043945],[0.3944498896598816],[0.6967723965644836],[0.3668135106563568],[0.3631947636604309],[0.41834843158721924],[0.49340227246284485],[0.21161280572414398],[0.4012049734592438],[0.4676741063594818],[0.3944140076637268],[0.6361063122749329],[0.38145890831947327],[0.4606115221977234],[0.35384026169776917],[0.3286398947238922],[0.3855510950088501],[0.44622766971588135],[0.37263765931129456],[0.4105680584907532],[0.2776535451412201],[0.6489458680152893],[0.35503634810447693],[0.4640045762062073],[0.4987187087535858],[0.4275548458099365],[0.28965675830841064],[0.412494033575058],[0.4600951075553894],[0.32617223262786865],[0.21900559961795807],[0.48577621579170227],[0.6225332617759705],[0.4448009431362152],[0.6667810082435608],[0.42912113666534424],[0.2785978615283966],[0.3053581714630127],[0.27493447065353394],[0.6980493068695068],[0.5803773999214172],[0.3339366614818573],[0.5915067195892334],[0.6198190450668335],[0.6461029052734375],[0.3292401432991028],[0.22957289218902588],[0.3505297899246216],[0.6536667346954346],[0.6250994205474854],[0.33204787969589233],[0.3150394558906555],[0.3241867423057556],[0.3788345456123352],[0.467900812625885],[0.36855167150497437],[0.5407068729400635],[0.2803046405315399],[0.4304473400115967],[0.3708929717540741],[0.3484274744987488],[0.5056857466697693],[0.5788437128067017],[0.5800867080688477],[0.48158109188079834],[0.5620293617248535],[0.3062720000743866],[0.37351351976394653],[0.5165606737136841],[0.19894319772720337],[0.3587270677089691],[0.7133254408836365],[0.36302316188812256],[0.22634725272655487],[0.22352346777915955],[0.24059416353702545],[0.47809696197509766],[0.36902570724487305],[0.6655259728431702],[0.3525715470314026],[0.5936684012413025],[0.2952341139316559],[0.5750235915184021],[0.34119412302970886],[0.38359829783439636],[0.25541743636131287],[0.7479844689369202],[0.6938488483428955],[0.4434613883495331],[0.36821508407592773],[0.4619506299495697],[0.44177672266960144],[0.6592459082603455],[0.33538180589675903],[0.4294164478778839],[0.41407695412635803],[0.4992450773715973],[0.22753557562828064],[0.4155062735080719],[0.3224356472492218],[0.728104829788208],[0.2935084402561188],[0.8965581655502319],[0.4079921543598175],[0.6143735647201538],[0.27218517661094666],[0.7140486836433411],[0.7534012794494629],[0.6808481812477112],[0.2721274793148041],[0.4181928038597107],[0.7767632603645325],[0.3395388424396515],[0.31378570199012756],[0.24924509227275848],[0.39068037271499634],[0.5286464691162109],[0.39072513580322266],[1.0951945781707764],[0.5587838888168335],[0.6426578164100647],[0.7774304747581482],[0.33737248182296753],[0.6909011602401733],[0.40414395928382874],[0.6373203992843628],[0.2529962360858917],[0.2792901396751404],[0.4460509121417999],[0.27704697847366333],[0.21262650191783905],[0.22485342621803284],[0.32308390736579895],[0.2791721224784851],[0.6461808681488037],[1.0911259651184082],[0.4000157117843628],[0.4968455135822296],[0.4932142198085785],[0.3596310317516327],[0.4224183261394501],[0.30250948667526245],[0.9738978147506714],[0.7561309933662415],[0.2985475957393646],[0.8490499258041382],[0.375003457069397],[0.3436222970485687],[1.076399564743042],[0.4138534367084503],[0.348920077085495],[0.9251614212989807],[0.2720514237880707],[0.9900702834129333],[0.2282755821943283],[0.39143767952919006],[0.746131181716919],[0.4881632626056671],[0.5480734705924988],[0.7752209305763245],[0.3552856743335724],[0.27689099311828613],[0.2961927354335785],[0.3343387842178345],[0.2789965271949768],[0.3498525321483612],[0.31195271015167236],[0.46518754959106445],[0.21469268202781677],[0.36354970932006836],[0.40909916162490845],[0.24979892373085022],[0.32779189944267273],[0.6970600485801697],[0.8518871068954468],[0.2090262919664383],[0.48326030373573303],[0.4829997718334198],[0.40750083327293396],[0.7254852652549744],[0.4956723153591156],[0.37995317578315735],[0.5034502744674683],[0.39350906014442444],[0.37146490812301636]
