[0.9269923],[0.78627884],[0.75884205],[0.73846245],[0.72772247],[0.70651543],[0.70503455],[0.6886881],[0.68847084],[0.67958176],[0.67190045],[0.67213655],[0.6638616],[0.6541562],[0.6532827],[0.6461897],[0.6416317],[0.63546234],[0.63472426],[0.6284119],[0.6230252],[0.6200238],[0.61841816],[0.6151158],[0.61286885],[0.60948545],[0.6022996],[0.6050483],[0.5977561],[0.5999934],[0.5940901],[0.59020406],[0.58832735],[0.58617544],[0.5842418],[0.58639973],[0.5815197],[0.58095646],[0.5743807],[0.57740635],[0.5698501],[0.56890607],[0.5708078],[0.57032615],[0.5588907],[0.5654052],[0.55938077],[0.5622602],[0.55862623],[0.5584241],[0.5561405],[0.55566674],[0.55583906],[0.54977304],[0.54491735],[0.5469883],[0.5463538],[0.5473616],[0.54500276],[0.54368746],[0.53429997],[0.53617173],[0.53765523],[0.5301133],[0.5292302],[0.53104794],[0.53008914],[0.53014565],[0.5290352],[0.5271024],[0.5284458],[0.52700424],[0.52358156],[0.52042824],[0.5181143],[0.51949227],[0.51777124],[0.51818645],[0.51586574],[0.514747],[0.5160492],[0.5150177],[0.512371],[0.50796646],[0.50878185],[0.50953],[0.5108767],[0.50530106],[0.5044818],[0.49949682],[0.5044941],[0.5093362],[0.5038264],[0.50166076],[0.49867645],[0.4977699],[0.49894533],[0.4968241],[0.49958166],[0.49470437],[0.48858467],[0.49017853],[0.48981622],[0.49205562],[0.48912308],[0.4920759],[0.4910035],[0.48674428],[0.48613074],[0.48164183],[0.48244622],[0.48014066],[0.48298517],[0.48157868],[0.48694712],[0.4791562],[0.47596276],[0.48248798],[0.4767467],[0.47835523],[0.47755402],[0.4727678],[0.4776836],[0.47315317],[0.47363505],[0.47393972],[0.47397515],[0.47453672],[0.4674065],[0.46732527],[0.4655158],[0.46184105],[0.46771163],[0.46441957],[0.46326977],[0.45984396],[0.46021998],[0.46014798],[0.46019116],[0.45732638],[0.45747662],[0.46382892],[0.45870253],[0.4577207],[0.4543253],[0.45114887],[0.45436358],[0.45241502],[0.45119748],[0.4519184],[0.45181945],[0.44806606],[0.44996467],[0.45160303],[0.45108035],[0.4441842],[0.44734257],[0.445816],[0.44903207],[0.44489226],[0.44077128],[0.43708897],[0.4446071],[0.44036213],[0.44168112],[0.44126436],[0.43723947],[0.438632],[0.43554568],[0.44086924],[0.43641078],[0.4427354],[0.43715128],[0.43617395],[0.4311634],[0.43158346],[0.4352504],[0.42538866],[0.4351061],[0.43258214],[0.4265059],[0.43490592],[0.4270102],[0.42705816],[0.4261667],[0.4250303],[0.4225676],[0.42726976],[0.42967206],[0.4206733],[0.41991726],[0.4225194],[0.42464197],[0.42401513],[0.42232],[0.41840243],[0.42695504],[0.42543134],[0.4186304],[0.4165663]
[1.3877044916152954],[1.1428165435791016],[0.92426997423172],[0.8178854584693909],[0.7449170351028442],[0.7116692662239075],[0.691704273223877],[0.6895201802253723],[0.7074424624443054],[0.6940693259239197],[0.6940856575965881],[0.6988143920898438],[0.6929369568824768],[0.7195053100585938],[0.6822746992111206],[0.6989263892173767],[0.687066376209259],[0.6859177350997925],[0.6950052380561829],[0.698819637298584],[0.7032307982444763],[0.6871981024742126],[0.6796280145645142],[0.6541959643363953],[0.6765804290771484],[0.6842917203903198],[0.6559043526649475],[0.6814701557159424],[0.6308702230453491],[0.6525983810424805],[0.6605556011199951],[0.6394249200820923],[0.6784231662750244],[0.6468976736068726],[0.6536563038825989],[0.6324678659439087],[0.626545250415802],[0.6417234539985657],[0.6449451446533203],[0.666435956954956],[0.6441766619682312],[0.6263920664787292],[0.6442410945892334],[0.6611338257789612],[0.6209620833396912],[0.628002405166626],[0.6294213533401489],[0.6541555523872375],[0.6358835101127625],[0.6318812966346741],[0.620563268661499],[0.622189462184906],[0.6334338188171387],[0.6271175742149353],[0.6503761410713196],[0.6473498940467834],[0.6502588987350464],[0.6385980844497681],[0.6228076219558716],[0.6095764636993408],[0.5999080538749695],[0.6572266221046448],[0.5938030481338501],[0.5949878096580505],[0.62839674949646],[0.6091791987419128],[0.603174090385437],[0.6212661862373352],[0.6252701282501221],[0.6073873043060303],[0.6341313719749451],[0.6493591666221619],[0.6272479295730591],[0.6112078428268433],[0.6269054412841797],[0.6017177104949951],[0.6178092360496521],[0.6280125379562378],[0.6204843521118164],[0.5898782014846802],[0.6009258031845093],[0.6141045093536377],[0.5810043215751648],[0.6037644147872925],[0.5790308117866516],[0.6238143444061279],[0.6036410927772522],[0.6173349618911743],[0.6442778706550598],[0.591294527053833],[0.6077699065208435],[0.6202971339225769],[0.6316689848899841],[0.6039624810218811],[0.6008802652359009],[0.6341215968132019],[0.615923285484314],[0.5663368105888367],[0.6074473261833191],[0.5958176255226135],[0.6028454303741455],[0.5884996056556702],[0.5932688117027283],[0.6082273125648499],[0.605408251285553],[0.5987682938575745],[0.6253780126571655],[0.573058545589447],[0.5883030891418457],[0.5870142579078674],[0.5857662558555603],[0.6011269092559814],[0.6048857569694519],[0.6038447618484497],[0.6019312739372253],[0.5706408023834229],[0.5971008539199829],[0.5910124182701111],[0.5712996125221252],[0.5859701633453369],[0.5908663868904114],[0.5732783079147339],[0.6170046925544739],[0.5766691565513611],[0.5946553945541382],[0.5557288527488708],[0.5900332927703857],[0.5703501105308533],[0.5929772257804871],[0.5656211972236633],[0.595221996307373],[0.5683549642562866],[0.5887104272842407],[0.5846365094184875],[0.5695233941078186],[0.5739261507987976],[0.5758520364761353],[0.5859746932983398],[0.5720288157463074],[0.5590113997459412],[0.5690869688987732],[0.5648946166038513],[0.5665683746337891],[0.5860813856124878],[0.5657802820205688],[0.5786942839622498],[0.5689561367034912],[0.5889047980308533],[0.584782600402832],[0.5962024927139282],[0.5817779302597046],[0.5546224117279053],[0.5549247860908508],[0.5770054459571838],[0.6038338541984558],[0.5765314698219299],[0.5682870745658875],[0.5684969425201416],[0.5550978779792786],[0.5458011627197266],[0.5509164929389954],[0.5413241982460022],[0.5354645848274231],[0.5575805902481079],[0.5629903078079224],[0.5724167227745056],[0.5840296149253845],[0.5698678493499756],[0.5785144567489624],[0.5530291795730591],[0.5691273808479309],[0.5599551200866699],[0.5705780386924744],[0.5517595410346985],[0.5723156332969666],[0.5659857988357544],[0.5708304047584534],[0.5574654936790466],[0.5611543655395508],[0.5822859406471252],[0.5805304646492004],[0.5765643119812012],[0.5500169396400452],[0.5717582106590271],[0.556693971157074],[0.5740319490432739],[0.5638027787208557],[0.5761277675628662],[0.5369307994842529],[0.5643193125724792],[0.5461110472679138],[0.5596520900726318],[0.5857807397842407],[0.5523223876953125],[0.5633312463760376],[0.567992627620697],[0.5570522546768188],[0.5847389101982117],[0.5958226323127747],[0.556560218334198]
[0.8853519768626602],[0.7022364459655903],[0.6641209710527349],[0.6341094827210462],[0.6172502796958994],[0.5973271948319895],[0.5886418791832747],[0.5773676346849512],[0.5729047838184569],[0.5624226425532941],[0.5558200886955967],[0.556105891863505],[0.5452349980672201],[0.5343548953533173],[0.5357134894088462],[0.5299575831051226],[0.5219033001749603],[0.5219863476576628],[0.5174110851905964],[0.5127705170048608],[0.5114804015115455],[0.5076748507994192],[0.504004876922678],[0.501001391697813],[0.4974424287124916],[0.4968501853722113],[0.4898652964168125],[0.49400748478041756],[0.48734771653457926],[0.49023125017130814],[0.4843102748747225],[0.4789782541769522],[0.4771006322569317],[0.47810748329869024],[0.47858702143033344],[0.47610414028167725],[0.47304221325450474],[0.4728999700811174],[0.46645606999044065],[0.471802681684494],[0.46348155979756955],[0.4622624323323921],[0.46755000010684683],[0.46217970384491813],[0.4546616761772721],[0.4597025706812187],[0.4571197032928467],[0.4592828149044955],[0.4543370963246734],[0.45459949252782045],[0.4520075365349098],[0.4519522421889835],[0.45140857718608995],[0.44559222239035146],[0.44360337985886467],[0.444905756800263],[0.4424248530908867],[0.4476374801662233],[0.4433014425966475],[0.4426635812830042],[0.43334099981519913],[0.4363878203762902],[0.43729901093023793],[0.43231169879436493],[0.4290585302644306],[0.43178385882465925],[0.43380749556753373],[0.4298376512748224],[0.4305219633711709],[0.4271406652750792],[0.43237067483089586],[0.42814996507432723],[0.42399602355780425],[0.4216566935733513],[0.42049926298635976],[0.42206123140123153],[0.421500442204652],[0.4208283463010081],[0.41772255135907066],[0.4168088403013017],[0.42101968935242406],[0.4151224952053141],[0.4139672617117564],[0.4110270302604746],[0.415858824495916],[0.4150361509786712],[0.4114070352580812],[0.4104669822586907],[0.40752781872396115],[0.4054304951870883],[0.41039475743417386],[0.41335406181988893],[0.408988070708734],[0.4054403249864225],[0.40308296073366096],[0.4045209023687575],[0.4041642016834683],[0.402209629063253],[0.40549920720082744],[0.40063897106382584],[0.39511842363410526],[0.39513621782815017],[0.39566035237577224],[0.3972010573855153],[0.3949182353637837],[0.39770353005992043],[0.3965137462925028],[0.3931642770767212],[0.39122274628391973],[0.388310557714215],[0.38911609241256007],[0.3899283453270241],[0.389384921502184],[0.3884335477594976],[0.39479177803904925],[0.38689089318116504],[0.3822192880842421],[0.3930425069950245],[0.38084051233750804],[0.38391400156197725],[0.38547584497266346],[0.3819013734658559],[0.38478776702174433],[0.37961077138229654],[0.3827150270894722],[0.3807907366642245],[0.38234169339692153],[0.3835393825062999],[0.37280393088305436],[0.3756709523774959],[0.37403646608193714],[0.3705492107956498],[0.3773693287814105],[0.3732562857093634],[0.371177292532391],[0.36965416923717215],[0.37150315940380096],[0.36954773245034395],[0.3722301572561264],[0.3662889351447423],[0.36548402188000856],[0.3759788426536101],[0.36919139987892574],[0.3662954475040789],[0.36346208800872165],[0.36183992083425875],[0.36290807414937903],[0.363773379612852],[0.36194614348588167],[0.36139324831741826],[0.36391085772602644],[0.35985283995116196],[0.3605412542819977],[0.3622086955993264],[0.3622781380459114],[0.35527588427066803],[0.35832629214834283],[0.356093826117339],[0.3601810824539926],[0.35530514463230417],[0.35371891050427046],[0.34734239649993404],[0.3582679521706369],[0.35200820366541546],[0.3529518911684001],[0.35293658905559117],[0.3491083441509141],[0.34885178837511277],[0.34994752511933996],[0.3506317298721384],[0.348497307686894],[0.35505687169454714],[0.3489884353346295],[0.34614770114421844],[0.3447522330615256],[0.3427255893195117],[0.3469790452056461],[0.3383841547701094],[0.34657623370488483],[0.34587685267130536],[0.34096779232775726],[0.3469020230350671],[0.3396130355971831],[0.33967720882760155],[0.33870677925922255],[0.33875362878596343],[0.3365781765293192],[0.3424829846179044],[0.34300012996903173],[0.33537880220898875],[0.33399545263361047],[0.3362522561241079],[0.33873435082259],[0.3391550205371998],[0.33635456915254947],[0.3314511251670343],[0.34025107682855044],[0.3362437815026001],[0.3322109693178424],[0.33117014197287736]
[1.8734471797943115],[0.9674689173698425],[0.6870883107185364],[0.6025116443634033],[0.41161084175109863],[0.6568093299865723],[0.7272217273712158],[0.5896716117858887],[0.4087862968444824],[0.5624678134918213],[0.5769712328910828],[0.47423067688941956],[0.5391142964363098],[0.5875784754753113],[0.7785495519638062],[0.3824697732925415],[0.5337582230567932],[0.41307947039604187],[0.662498950958252],[0.5024211406707764],[0.41226404905319214],[0.5670109391212463],[0.40523847937583923],[0.5464804768562317],[0.4819139540195465],[0.44235166907310486],[0.5015912055969238],[0.4079913794994354],[0.3209475576877594],[0.2627984583377838],[0.3152107894420624],[0.30653905868530273],[0.5710394978523254],[0.5381820797920227],[0.4988650977611542],[0.733036994934082],[0.51951664686203],[0.36273762583732605],[0.35252830386161804],[0.6870468258857727],[0.5710524320602417],[0.6814962029457092],[0.6142861843109131],[0.5712065100669861],[0.28385403752326965],[0.5081600546836853],[0.6538147330284119],[0.5264185070991516],[0.4128004014492035],[0.2818138003349304],[0.5486260652542114],[0.5580754280090332],[0.5082154870033264],[0.33204928040504456],[0.47133737802505493],[0.4230324327945709],[0.5143250226974487],[0.5395616292953491],[0.348859041929245],[0.6573396921157837],[0.27000221610069275],[0.5729528069496155],[0.4864744246006012],[0.29482606053352356],[0.5524856448173523],[0.30694183707237244],[1.151714563369751],[0.22337263822555542],[0.3186160624027252],[0.271140992641449],[0.5322176814079285],[0.5583871603012085],[0.6961588263511658],[0.4405387043952942],[0.2599656879901886],[0.35874009132385254],[0.5564272403717041],[0.7216343283653259],[0.32049328088760376],[0.2270408719778061],[0.33397793769836426],[0.7521629333496094],[0.3099841773509979],[0.6990322470664978],[0.5049664378166199],[0.587768018245697],[0.3352980613708496],[0.6941073536872864],[0.5224207639694214],[0.35804638266563416],[0.42969387769699097],[0.3592948615550995],[0.40720975399017334],[0.40135452151298523],[0.38884687423706055],[0.9578256011009216],[0.423612117767334],[0.18176552653312683],[0.3072253465652466],[0.29220741987228394],[0.2614440619945526],[0.8939608931541443],[0.372925728559494],[0.52364581823349],[0.5566970705986023],[0.3365877568721771],[0.6251131892204285],[0.39515650272369385],[1.0838799476623535],[0.4231983721256256],[0.6570775508880615],[0.3836236596107483],[0.7394937872886658],[0.43537062406539917],[0.43146994709968567],[0.7535064816474915],[0.45493069291114807],[0.5045442581176758],[0.26303014159202576],[0.4403887987136841],[0.31338950991630554],[0.7863577008247375],[0.4688766300678253],[0.28158897161483765],[0.45650720596313477],[0.30278924107551575],[0.6069652438163757],[0.47841957211494446],[0.5919529795646667],[0.2935017943382263],[1.0568504333496094],[0.4992201328277588],[0.19836124777793884],[0.6933731436729431],[0.8966166973114014],[0.18818232417106628],[0.7567383050918579],[0.5013996958732605],[0.29837363958358765],[0.4484531581401825],[0.43619585037231445],[0.5508678555488586],[0.753221869468689],[0.3607763946056366],[0.34532469511032104],[0.7515673637390137],[0.6070631742477417],[0.35724514722824097],[0.20302461087703705],[0.7833401560783386],[1.1708853244781494],[0.6604483127593994],[0.30583688616752625],[1.029096007347107],[0.7806110978126526],[0.4054204821586609],[0.22059613466262817],[0.2748892903327942],[1.165893793106079],[0.4680842459201813],[0.7476189136505127],[0.23036599159240723],[0.4897160828113556],[0.2686321437358856],[0.5499760508537292],[0.42129838466644287],[0.8220263123512268],[0.35057252645492554],[1.1004976034164429],[0.7432891130447388],[0.17200824618339539],[0.2758113741874695],[0.17930985987186432],[0.27067914605140686],[0.5248043537139893],[0.8094659447669983],[0.74979168176651],[0.6979771852493286],[0.40024223923683167],[0.8354097008705139],[0.3782180845737457],[0.4734167158603668],[0.30143681168556213],[0.726481556892395],[0.2759630084037781],[0.37966927886009216],[0.29997628927230835],[0.8847402930259705],[0.6154824495315552],[0.6300041675567627],[0.43420615792274475],[0.6731940507888794],[0.22772637009620667],[0.43980148434638977],[0.35575956106185913],[0.35921624302864075],[0.609525203704834],[0.5728861093521118],[0.26138612627983093],[0.283242791891098]
