[0.8179294],[0.75473064],[0.729734],[0.72421235],[0.70718217],[0.69850236],[0.6900677],[0.67797834],[0.6729504],[0.6639421],[0.6577275],[0.6538533],[0.64885604],[0.63971955],[0.6399294],[0.6293756],[0.6226981],[0.6223636],[0.6258434],[0.6166792],[0.6086361],[0.60731167],[0.60721016],[0.6073396],[0.60598737],[0.5950416],[0.5946801],[0.5927913],[0.58981806],[0.58873117],[0.5828216],[0.5866724],[0.58190346],[0.5785087],[0.5760734],[0.5699049],[0.57089704],[0.5691129],[0.5680764],[0.5604719],[0.56251943],[0.5563154],[0.5554948],[0.55718774],[0.5574366],[0.55483973],[0.55051965],[0.5487134],[0.54654163],[0.54270893],[0.54256177],[0.54811186],[0.5432584],[0.54390574],[0.5384013],[0.54035884],[0.53570753],[0.5384632],[0.5305181],[0.52844185],[0.5300254],[0.52759564],[0.52520424],[0.5269346],[0.5186819],[0.51872426],[0.5206527],[0.51748633],[0.51579195],[0.51576775],[0.51332223],[0.51614374],[0.51199675],[0.5123402],[0.51213634],[0.5143069],[0.5190235],[0.5070928],[0.50603753],[0.49982342],[0.51248485],[0.49599594],[0.49954614],[0.49670973],[0.50788426],[0.5001419],[0.5003683],[0.49677488],[0.49412206],[0.49203542],[0.48970267],[0.48683786],[0.49091616],[0.4866307],[0.48445764],[0.4838341],[0.48017567],[0.484759],[0.47816992],[0.47743228],[0.4805062],[0.47890997],[0.475212],[0.48397923],[0.47728735],[0.4739909],[0.47341776],[0.4648037],[0.46954212],[0.4654766],[0.46616757],[0.46592566],[0.47226566],[0.46439272],[0.46373993],[0.46558267],[0.46565437],[0.45904544],[0.46370694],[0.46445507],[0.45778078],[0.45642558],[0.45768815],[0.46232498],[0.45893627],[0.4570703],[0.46112108],[0.45589453],[0.45801473],[0.4520939],[0.45111054],[0.45538065],[0.45187384],[0.4526837],[0.45176014],[0.45337877],[0.44250292],[0.4463614],[0.44501644],[0.44298914],[0.44138166],[0.4437526],[0.4421775],[0.43916598],[0.443131],[0.43706957],[0.43863904],[0.43581417],[0.43205422],[0.4356786],[0.42777732],[0.431978],[0.42795438],[0.4312763],[0.43124738],[0.43087804],[0.4279849],[0.42633304],[0.43076554],[0.43120992],[0.4254119],[0.42767727],[0.4176967],[0.424906],[0.42581657],[0.42143202],[0.42347392],[0.42154995],[0.4150952],[0.42093632],[0.41798013],[0.417408],[0.42023945],[0.41666877],[0.41664705],[0.4175441],[0.41589302],[0.41116577],[0.41115752],[0.41535458],[0.4057744],[0.4069325],[0.40121034],[0.40264994],[0.40880623],[0.41182482],[0.4056307],[0.40449512],[0.3966115],[0.40225568],[0.39849773],[0.39903244],[0.3996327],[0.3958672],[0.4004216],[0.40467125],[0.4029186],[0.39849567],[0.39788857],[0.3946853]
[1.1485999822616577],[0.8415547609329224],[0.7541889548301697],[0.7344691157341003],[0.7353911995887756],[0.7337294220924377],[0.7436500787734985],[0.7345083355903625],[0.7286704778671265],[0.7576842308044434],[0.748282253742218],[0.749845564365387],[0.7398717403411865],[0.7201339602470398],[0.7207309603691101],[0.7170590758323669],[0.7177430987358093],[0.715141236782074],[0.7088592052459717],[0.7317075133323669],[0.6855621337890625],[0.7142901420593262],[0.7461466789245605],[0.6878785490989685],[0.6685779094696045],[0.6677337288856506],[0.6819103956222534],[0.6860285997390747],[0.67581707239151],[0.6799689531326294],[0.6617516875267029],[0.6584404706954956],[0.6640175580978394],[0.649067759513855],[0.6465966701507568],[0.6454123854637146],[0.7068102955818176],[0.6370601058006287],[0.6653463244438171],[0.6740924715995789],[0.666251003742218],[0.6440572142601013],[0.6456481218338013],[0.6329006552696228],[0.6571102738380432],[0.6359103918075562],[0.6396098732948303],[0.6483218669891357],[0.6545177102088928],[0.6426382064819336],[0.64848393201828],[0.6582120060920715],[0.6456649303436279],[0.6467055082321167],[0.6575827598571777],[0.6530414819717407],[0.66973477602005],[0.6509014964103699],[0.6386321187019348],[0.6171599626541138],[0.6388506293296814],[0.6574565172195435],[0.6226569414138794],[0.6655948162078857],[0.630286455154419],[0.6304709315299988],[0.6398928761482239],[0.6471090316772461],[0.6423864364624023],[0.6124677658081055],[0.6352187395095825],[0.6360651850700378],[0.6435973048210144],[0.6229347586631775],[0.6385219097137451],[0.6505107283592224],[0.6187900304794312],[0.6448855996131897],[0.6600595116615295],[0.6176905632019043],[0.6381897926330566],[0.5967629551887512],[0.6300380229949951],[0.6344853639602661],[0.6075745820999146],[0.6238127946853638],[0.6464152932167053],[0.6180712580680847],[0.6047561168670654],[0.6097626686096191],[0.6231319308280945],[0.6044701933860779],[0.5934509634971619],[0.6069512963294983],[0.6181475520133972],[0.6211084723472595],[0.6158064603805542],[0.613681972026825],[0.6045650839805603],[0.5887695550918579],[0.6061493158340454],[0.594021201133728],[0.60490882396698],[0.6072357892990112],[0.6214454174041748],[0.6315800547599792],[0.6259150505065918],[0.6289236545562744],[0.6197528839111328],[0.586493968963623],[0.6055677533149719],[0.6044570207595825],[0.59107506275177],[0.5572017431259155],[0.6202515959739685],[0.6193423271179199],[0.5932663083076477],[0.5844854116439819],[0.585899293422699],[0.5944068431854248],[0.6045330762863159],[0.5740960836410522],[0.5959136486053467],[0.5925977230072021],[0.6094069480895996],[0.6085487008094788],[0.595514714717865],[0.6362099647521973],[0.5863419771194458],[0.5915206074714661],[0.6072940230369568],[0.582685112953186],[0.581356406211853],[0.5892361998558044],[0.596491277217865],[0.5846405029296875],[0.5713711977005005],[0.5611467361450195],[0.578193187713623],[0.5956041812896729],[0.5802537202835083],[0.5745089650154114],[0.6048517823219299],[0.5879281163215637],[0.5834738612174988],[0.5853464603424072],[0.5840102434158325],[0.551720142364502],[0.5666099786758423],[0.5721318125724792],[0.5747830867767334],[0.5365870594978333],[0.5708082318305969],[0.5627798438072205],[0.5955132842063904],[0.571769654750824],[0.5785518288612366],[0.5642299056053162],[0.559171199798584],[0.5824363231658936],[0.5703541040420532],[0.5640125870704651],[0.5661317110061646],[0.5748710036277771],[0.5490663647651672],[0.5662391185760498],[0.5506173968315125],[0.5560603141784668],[0.5605194568634033],[0.5514125823974609],[0.5520229339599609],[0.5503026843070984],[0.56831294298172],[0.5713900923728943],[0.554241955280304],[0.5503168702125549],[0.534618616104126],[0.5528377890586853],[0.5563567876815796],[0.5522764325141907],[0.534744143486023],[0.5499089956283569],[0.5403600335121155],[0.537703275680542],[0.5612370371818542],[0.5656809210777283],[0.5441815257072449],[0.5404425263404846],[0.5403643846511841],[0.5565541386604309],[0.5385227799415588],[0.5391794443130493],[0.5328272581100464],[0.5388631820678711],[0.5663570165634155],[0.5687219500541687],[0.5334882140159607],[0.5371109843254089],[0.5271397233009338],[0.5185208320617676]
[0.7809674291327449],[0.6771646667234968],[0.6345530839839785],[0.6192947363499368],[0.5952060045582233],[0.5826735354886197],[0.5685770594247497],[0.5616325653425538],[0.5513225082713779],[0.5451286505944658],[0.5416768396844959],[0.5353513014788674],[0.5268343020193648],[0.5199785979077367],[0.5193943260329785],[0.51260641954913],[0.5087225271923708],[0.5067003543424135],[0.5042742992391681],[0.5004471044729252],[0.49310839500757725],[0.49401203830643453],[0.49406534846466366],[0.49140597334002506],[0.4898731018056964],[0.48108025588611564],[0.4795404811306755],[0.48249801609775805],[0.478019390365865],[0.47941659287650984],[0.4673009736113029],[0.47547217819950366],[0.46889863952551736],[0.4632396349812498],[0.4656000512071175],[0.4596711830927594],[0.4612498967954428],[0.4577399961429067],[0.4568957733635855],[0.4503793480372665],[0.45207545721885],[0.4470175510585898],[0.4513898828242085],[0.44910359677701894],[0.44695151324319365],[0.44771810982486987],[0.44058892366909747],[0.44290588987935886],[0.43823004683645644],[0.4342636755197355],[0.4361507036898396],[0.44273404998354393],[0.4346845439164945],[0.4331130339662627],[0.4310217293182222],[0.42921594360677323],[0.4281208110917913],[0.43180718398330237],[0.42261386124214323],[0.42302486359482944],[0.4231974659579815],[0.42011575312307564],[0.41938004723869926],[0.41850833639059914],[0.4166612046779973],[0.41241233183605835],[0.4164949879787936],[0.41199366408999605],[0.41164094829323267],[0.41215795042491193],[0.40874975595143764],[0.407968670719921],[0.40965519712703063],[0.40862960803626786],[0.40786718259943594],[0.4078187535304834],[0.4085118333892067],[0.4005971260295056],[0.40005719632205394],[0.3957943821897601],[0.4051412726097768],[0.38962753249867127],[0.3983954582178947],[0.39353914735930984],[0.40001525899561324],[0.39451005154907115],[0.3972593095928135],[0.3906254308058484],[0.3880281129685959],[0.38736349477036164],[0.3854315927123079],[0.3843347509898762],[0.3877712514730963],[0.38325146548818834],[0.38038659523619284],[0.3796117928358588],[0.37655046980569856],[0.3826717902528177],[0.3750445586029846],[0.37751525802777547],[0.38069233563866944],[0.374701459809105],[0.3737299111810061],[0.3809822462867982],[0.37192916147189564],[0.3706581049626417],[0.37024565424659467],[0.3623330175581545],[0.3689882904291153],[0.3629565407143961],[0.3664026792981837],[0.3643384555188736],[0.3681777203732198],[0.3625335830568087],[0.36287148813209913],[0.36496975840908463],[0.362030304894589],[0.35927466546544934],[0.36227512035039394],[0.3604935392884925],[0.35417254033065076],[0.35669973256564375],[0.35753233893082875],[0.35802619321511525],[0.3593710368812674],[0.3539263930651221],[0.3603161480462197],[0.35382585478301093],[0.3554674510908599],[0.34761790768934947],[0.3516215038771677],[0.3529188326089689],[0.3486442605752756],[0.3511667916975399],[0.3470500383046594],[0.35125652353952425],[0.34268670418474934],[0.3450557169052634],[0.34398402391683935],[0.3412119541132804],[0.34093051632442095],[0.3441284921499762],[0.343970785636713],[0.3379897731955689],[0.3410410526955482],[0.33420488444885404],[0.33892584171625645],[0.3353185185996613],[0.33384873695892864],[0.3344305504371624],[0.3295684394860032],[0.33298837932029574],[0.33133831251375745],[0.3323459613441241],[0.33194091989852414],[0.3302801528779587],[0.3298903222721402],[0.3278476780298913],[0.32877109192385534],[0.33321547463978873],[0.3267510952335773],[0.32695314671733594],[0.318732886326195],[0.3292572846507082],[0.3266595141722424],[0.3232410286027606],[0.32396833436323863],[0.3230260349441283],[0.31592514107723046],[0.3233989179134369],[0.32062966074093735],[0.318326528267105],[0.3224554696295521],[0.3183239819389759],[0.3188802667773596],[0.31831568774610464],[0.3178534478244215],[0.3123997351025591],[0.31415053582427527],[0.31637066469924285],[0.30985726106284867],[0.3107147342202687],[0.30569289609937383],[0.30775732200334566],[0.3138893993184118],[0.3165010895469401],[0.30850130732696834],[0.30753191479361885],[0.30173755046164635],[0.3074488173616995],[0.3046323052137205],[0.3031083339511758],[0.30538912294524734],[0.3005365671792833],[0.3066223035059353],[0.30855584587201035],[0.30742051017166366],[0.3008902764851504],[0.30213566803105985],[0.2989502131643862]
[0.8768303990364075],[0.5518649220466614],[0.5542062520980835],[0.35770079493522644],[0.3989063501358032],[0.47318994998931885],[0.5282979607582092],[0.561286211013794],[0.44675230979919434],[0.4703485369682312],[0.6069709062576294],[0.6347680687904358],[0.7005307674407959],[0.6146135330200195],[0.5197053551673889],[0.4834565222263336],[0.48974770307540894],[0.7643385529518127],[0.5010381937026978],[0.36212238669395447],[0.5348707437515259],[0.4450836479663849],[0.557502806186676],[0.5351099967956543],[0.32589831948280334],[0.49869391322135925],[0.46710067987442017],[0.41081348061561584],[0.40790286660194397],[0.3715971112251282],[0.7489897012710571],[0.5842623710632324],[0.43664488196372986],[0.6841849684715271],[0.34151846170425415],[0.3975452184677124],[0.3572141230106354],[0.5792191624641418],[0.34258705377578735],[0.5097796320915222],[0.3588208556175232],[0.5733474493026733],[0.6328588724136353],[0.4566551446914673],[0.28608283400535583],[0.28068605065345764],[0.43412306904792786],[0.43105506896972656],[0.3632686138153076],[0.6240999102592468],[0.549687922000885],[0.5422192215919495],[0.34687840938568115],[0.6820403337478638],[0.6412230134010315],[0.48160257935523987],[0.6872731447219849],[0.4490340054035187],[0.36551719903945923],[0.8728705644607544],[0.6325893402099609],[0.517041027545929],[0.7300488948822021],[0.7569569945335388],[0.5603577494621277],[0.2741292417049408],[0.3213159441947937],[0.7241015434265137],[0.4149409532546997],[0.44136276841163635],[0.46000438928604126],[0.4529518485069275],[0.5580422878265381],[0.7437803149223328],[0.2865620255470276],[0.6742008924484253],[0.4913135766983032],[0.6443062424659729],[0.28666913509368896],[0.7073967456817627],[0.6357314586639404],[0.2847778797149658],[0.4033167362213135],[0.4424344003200531],[0.631175696849823],[0.46412479877471924],[0.5369386076927185],[0.3799506425857544],[0.3605153262615204],[0.4517514705657959],[0.5641158819198608],[0.29132506251335144],[0.5093085765838623],[0.20584115386009216],[0.4450588822364807],[0.5289067029953003],[0.5330153107643127],[0.5428789258003235],[0.43573513627052307],[0.2857486605644226],[0.9114256501197815],[0.3570743799209595],[0.8133411407470703],[0.5488806366920471],[0.27773410081863403],[0.699918806552887],[0.4022075831890106],[0.7926255464553833],[0.25344330072402954],[0.6270174384117126],[0.5119467377662659],[0.6358857750892639],[0.324521541595459],[0.1936475932598114],[0.5725735425949097],[0.4447227418422699],[0.7522989511489868],[0.2785361409187317],[0.5562076568603516],[0.565270721912384],[0.3785640001296997],[0.3725116550922394],[0.5849918723106384],[0.5048630833625793],[0.8072271347045898],[0.33063390851020813],[0.7378808259963989],[0.36608150601387024],[0.46947112679481506],[0.5246492624282837],[0.3129422068595886],[0.3514752686023712],[0.5756086111068726],[0.35425248742103577],[0.650135338306427],[0.5672270655632019],[0.44767212867736816],[0.6902401447296143],[0.6608471870422363],[0.5301026105880737],[0.5118386745452881],[0.8181000351905823],[0.31479543447494507],[0.5133587121963501],[0.5460761189460754],[0.337799072265625],[0.3802309036254883],[0.19709427654743195],[0.6005479097366333],[0.6539746522903442],[0.5068808197975159],[0.3402099907398224],[0.4907555878162384],[0.5799717307090759],[0.6808693408966064],[0.7675720453262329],[0.5747466683387756],[0.27603787183761597],[0.507314145565033],[1.0036606788635254],[0.3923366069793701],[0.8977923393249512],[0.4808686375617981],[0.7346662282943726],[0.5062807202339172],[0.7012296915054321],[0.3710539937019348],[0.31999990344047546],[0.35397621989250183],[0.3659271001815796],[0.55726557970047],[0.5322900414466858],[0.4247519075870514],[0.9299950003623962],[0.21675895154476166],[0.9671796560287476],[0.5447927713394165],[0.36036545038223267],[0.724993884563446],[0.5725005269050598],[0.4574539363384247],[0.8304259181022644],[0.24223673343658447],[0.642845094203949],[0.5862153768539429],[0.5646889209747314],[0.4218204617500305],[0.8035989999771118],[0.7315125465393066],[0.40967512130737305],[0.5317788124084473],[0.2825217843055725],[0.26934924721717834],[0.7480140328407288],[0.2331981211900711],[0.3805399239063263],[0.45748472213745117],[1.126592755317688],[0.6266578435897827],[0.7193779349327087]
