[0.8612143],[0.77857494],[0.7492201],[0.7347621],[0.7155684],[0.7028441],[0.70413643],[0.6948015],[0.6835897],[0.6691957],[0.67136765],[0.66216266],[0.6613492],[0.65054065],[0.6509342],[0.64257646],[0.6403331],[0.6359832],[0.6343319],[0.62421983],[0.6274274],[0.6164372],[0.6109018],[0.61075675],[0.60875785],[0.61118084],[0.606293],[0.59544635],[0.59470844],[0.5967384],[0.5904442],[0.5831031],[0.5871211],[0.5837716],[0.5782611],[0.57845205],[0.5713725],[0.569707],[0.575386],[0.5674875],[0.57126874],[0.5628554],[0.5577124],[0.5530282],[0.56092083],[0.5599708],[0.5537186],[0.55367976],[0.5562374],[0.5514028],[0.5476163],[0.5460025],[0.5495927],[0.5471907],[0.549833],[0.53494644],[0.5410121],[0.54030097],[0.53529364],[0.5398346],[0.5351624],[0.5332722],[0.5287318],[0.52642334],[0.52318007],[0.5299519],[0.52310807],[0.520658],[0.52005863],[0.5204075],[0.51823676],[0.5180248],[0.5197617],[0.5138068],[0.51211953],[0.5139102],[0.5116757],[0.51522005],[0.5098768],[0.5031243],[0.5041509],[0.50088894],[0.50593704],[0.49802724],[0.5033351],[0.49733013],[0.495266],[0.49058104],[0.4942709],[0.4961398],[0.4927731],[0.499177],[0.4935529],[0.48924366],[0.49104735],[0.492772],[0.4940667],[0.48937735],[0.49583516],[0.48682737],[0.48481566],[0.47822204],[0.48098916],[0.47692224],[0.48398995],[0.4774048],[0.47556293],[0.47851035],[0.47741827],[0.4687783],[0.47203997],[0.47316834],[0.47212523],[0.4692418],[0.46976748],[0.47205338],[0.46508026],[0.46174616],[0.46766865],[0.4583146],[0.46421078],[0.46488568],[0.46026447],[0.46010718],[0.46012366],[0.46073288],[0.4575154],[0.44869053],[0.45581448],[0.44744417],[0.454127],[0.44724503],[0.4525423],[0.4505295],[0.4398793],[0.44044515],[0.43862775],[0.44008204],[0.44644275],[0.43966955],[0.4406018],[0.4457433],[0.43859643],[0.4402027],[0.43609014],[0.43337858],[0.44826794],[0.43274015],[0.43090045],[0.4292339],[0.43320197],[0.4311137],[0.43410516],[0.43079856],[0.42605358],[0.42474023],[0.4220295],[0.42368707],[0.4218249],[0.42315334],[0.42244604],[0.4220476],[0.42025292],[0.42241138],[0.41543525],[0.4212281],[0.41013724],[0.41732946],[0.4225802],[0.41846672],[0.41569838],[0.41603884],[0.41410562],[0.41385287],[0.41049093],[0.41310388],[0.4113145],[0.41226533],[0.40448794],[0.40364966],[0.4055313],[0.40830216],[0.4024021],[0.41045165],[0.40144497],[0.40033594],[0.40388536],[0.4003627],[0.40168375],[0.39717624],[0.40063262],[0.39479983],[0.39975145],[0.39152622],[0.39817727],[0.39460692],[0.39156568],[0.39220083],[0.39508948],[0.39605734]
[0.855557918548584],[0.7226669192314148],[0.7031432390213013],[0.7627971768379211],[0.7100858092308044],[0.7506548762321472],[0.7405592203140259],[0.7618893980979919],[0.703461229801178],[0.7034918069839478],[0.7182711958885193],[0.7314745783805847],[0.7180724740028381],[0.7019888162612915],[0.7348138093948364],[0.7086890935897827],[0.66568523645401],[0.7180143594741821],[0.7024081945419312],[0.7035278081893921],[0.7083750367164612],[0.6965384483337402],[0.7034958600997925],[0.7132133841514587],[0.6561028957366943],[0.7116736769676208],[0.6923166513442993],[0.6923744082450867],[0.6727877259254456],[0.6833080053329468],[0.6696619391441345],[0.681859016418457],[0.7051076292991638],[0.6615161895751953],[0.6834097504615784],[0.6571037769317627],[0.6548702120780945],[0.6674540042877197],[0.6605937480926514],[0.6663579940795898],[0.6554021835327148],[0.6735774874687195],[0.6585060358047485],[0.6498004794120789],[0.6323199272155762],[0.6716679930686951],[0.685298502445221],[0.6557704210281372],[0.6751848459243774],[0.6593500375747681],[0.6617951393127441],[0.65333491563797],[0.6583062410354614],[0.6717193126678467],[0.6771187782287598],[0.683525025844574],[0.6152520775794983],[0.6484118700027466],[0.6573748588562012],[0.6591846346855164],[0.6373140811920166],[0.6635527610778809],[0.6368658542633057],[0.6165362596511841],[0.664613664150238],[0.6484681963920593],[0.6478568911552429],[0.6245254874229431],[0.6455366611480713],[0.6486786603927612],[0.636809766292572],[0.6359084844589233],[0.6432003974914551],[0.6359463334083557],[0.6635003685951233],[0.6369866132736206],[0.614636242389679],[0.6242724657058716],[0.6280602216720581],[0.6022164225578308],[0.6030411720275879],[0.5945082306861877],[0.6086750626564026],[0.6091737747192383],[0.6339029669761658],[0.6171399354934692],[0.589663565158844],[0.6238974928855896],[0.60573810338974],[0.6177335977554321],[0.6160842180252075],[0.6173136830329895],[0.6249182820320129],[0.6292292475700378],[0.6321563720703125],[0.6340966820716858],[0.6030511260032654],[0.6293887495994568],[0.58741694688797],[0.5946676731109619],[0.6333222985267639],[0.6216504573822021],[0.6145702600479126],[0.6121925115585327],[0.6129341721534729],[0.6372809410095215],[0.5936895608901978],[0.6342419981956482],[0.6245463490486145],[0.6349168419837952],[0.5916228890419006],[0.599951982498169],[0.5992710590362549],[0.6238687038421631],[0.6087436079978943],[0.5718218088150024],[0.6025348901748657],[0.6077916622161865],[0.577312171459198],[0.5905269980430603],[0.5913671851158142],[0.6100384593009949],[0.5579718947410583],[0.6069477200508118],[0.6070595383644104],[0.6032088398933411],[0.6012546420097351],[0.5977511405944824],[0.5790597796440125],[0.5831575393676758],[0.5996385216712952],[0.5938597917556763],[0.6001490354537964],[0.5800676941871643],[0.6020334362983704],[0.5823453068733215],[0.6048708558082581],[0.5747642517089844],[0.5833290815353394],[0.5871903300285339],[0.6101643443107605],[0.5936723351478577],[0.6060276627540588],[0.5763572454452515],[0.5814564228057861],[0.594318687915802],[0.6212506890296936],[0.605109453201294],[0.56915682554245],[0.5801051259040833],[0.5780354142189026],[0.5820363759994507],[0.584244430065155],[0.5762328505516052],[0.5637145042419434],[0.5961429476737976],[0.5703229904174805],[0.5879429578781128],[0.5709612369537354],[0.5538628697395325],[0.5742314457893372],[0.5949920415878296],[0.5669294595718384],[0.5717421174049377],[0.5631557703018188],[0.5848301649093628],[0.5638751983642578],[0.5890877842903137],[0.5648630261421204],[0.5698437094688416],[0.586129367351532],[0.5573887825012207],[0.5813908576965332],[0.5741950273513794],[0.5839670896530151],[0.5827968716621399],[0.5686812996864319],[0.5909999012947083],[0.5609214305877686],[0.5582244992256165],[0.5857416987419128],[0.5796942114830017],[0.5699836015701294],[0.5627740025520325],[0.5490655899047852],[0.5876126885414124],[0.5795623064041138],[0.5731527209281921],[0.5959149599075317],[0.5549588203430176],[0.5615121126174927],[0.5879940986633301],[0.5652341246604919],[0.5741962790489197],[0.5712736248970032],[0.5337561964988708],[0.5421933531761169],[0.5754935145378113],[0.5759342312812805],[0.5652090311050415]
[0.8019704411525538],[0.674514648937943],[0.6340280665029393],[0.6140593673923228],[0.592569372441509],[0.5826308222690432],[0.5741376168657057],[0.5664160363744981],[0.5523203596620276],[0.5481901838637815],[0.5433196475600252],[0.5361178626518438],[0.5344908801045748],[0.525829553604126],[0.5250001402184514],[0.5188216009352467],[0.516388076661837],[0.5128969207848653],[0.5103528543864146],[0.5015407709201963],[0.5059312434479741],[0.4942216111881898],[0.49651822890385544],[0.48941214190851345],[0.48909879822542174],[0.492360658869885],[0.48638647824230763],[0.48031834535079426],[0.4753747670957358],[0.4801820448719629],[0.4736232828385759],[0.47145350793800733],[0.47146082426061725],[0.4693530361251076],[0.4658757344921037],[0.46308655372940666],[0.4585136402361464],[0.45967315270168946],[0.4635004772998319],[0.4549392582756458],[0.4584553049932612],[0.45046054638258304],[0.44611741263087434],[0.44633389935635104],[0.450681472178733],[0.4465260960087918],[0.4473811641778096],[0.4435603955004475],[0.4448455616389171],[0.44098678496804566],[0.4368079629274878],[0.4380825036528087],[0.44232776702040494],[0.4356083403719534],[0.43743271550329604],[0.42817283296349024],[0.4306570052510441],[0.4307007854527766],[0.42658312899051326],[0.4319476039692907],[0.4252772646965367],[0.4237695351095483],[0.41946080740135494],[0.4197339455385019],[0.41546977569561194],[0.4235801502029494],[0.4157425445495265],[0.4126317577786965],[0.41526556841217643],[0.41390712013339054],[0.41101273200889626],[0.41160711660833643],[0.41143507281742475],[0.40854888401999334],[0.40579838298334936],[0.4087352171392724],[0.4040424196731926],[0.40698807059538245],[0.4017144783888713],[0.39569314473336287],[0.40078648423204327],[0.39759278681018567],[0.39991603201568715],[0.3935990799771677],[0.40046239105781706],[0.39315396016187004],[0.3883442470047734],[0.387010853331868],[0.3923636083260621],[0.3922159292615286],[0.3908327916766157],[0.3946955885627482],[0.38542045505330114],[0.38674699994597106],[0.38822577864226726],[0.3849175520757637],[0.38898045252455343],[0.384493678660676],[0.3886137995684501],[0.3820160971124574],[0.38266913607569025],[0.37432257993386525],[0.3757747059116269],[0.3762912257473067],[0.3772498963788004],[0.3755263550446765],[0.37067012120001386],[0.3765668538537356],[0.37332441429100416],[0.36744832476176836],[0.3673567336679685],[0.36976863901213847],[0.3699304173783501],[0.3663625152099251],[0.36722965051632117],[0.36738197372691467],[0.36052755509862805],[0.3616733949373264],[0.36495212915510233],[0.35984467928952507],[0.36339904323662864],[0.35962283522775856],[0.3577766279772957],[0.35809087502484277],[0.3583010768536294],[0.3610039611559103],[0.3547224821430622],[0.34741304859076394],[0.3556069169599231],[0.3483204548016633],[0.35495257171073763],[0.34759246742371286],[0.35163797334869307],[0.34701157088326934],[0.338100271059735],[0.34312391089330807],[0.3430364545028989],[0.34323248872072387],[0.34720246316772874],[0.34096045379001316],[0.3442706183926894],[0.3426614121930434],[0.3418726097829271],[0.3394879862518594],[0.33811163253123216],[0.33552488596132485],[0.3461987607844985],[0.33377552607862077],[0.33228488089424546],[0.3312391635805073],[0.33610074148319735],[0.3344547205632276],[0.3356940181243538],[0.3321167800096002],[0.3270773130773318],[0.3279025013198947],[0.32702107801295743],[0.3272819249051632],[0.3251468610055376],[0.32818733259002764],[0.3260952777201586],[0.3245093551012549],[0.32468918113425227],[0.3263734469909479],[0.31801283477556586],[0.32407181348541],[0.3150819032499106],[0.3223828171739484],[0.325159882259841],[0.3218772107421762],[0.31881185038254994],[0.32039642702825],[0.31757753364520497],[0.316838864790331],[0.31420004485857367],[0.3168040689560446],[0.31329491055837955],[0.31775055088029047],[0.3099592404790444],[0.30739921641231766],[0.31200546985215477],[0.3154674055847791],[0.30705381502019297],[0.31445205270653903],[0.3067594024509487],[0.30773246421082184],[0.30715332954826924],[0.30685392317205373],[0.3074092211404649],[0.3024381145392314],[0.3068414929479656],[0.3024063926227022],[0.3042351556296396],[0.2984477517628434],[0.3051576013907348],[0.29917097932631426],[0.2982887976830549],[0.3008359666212951],[0.30218059931061053],[0.30344415006071035]
[0.5317993760108948],[0.39649030566215515],[0.29929131269454956],[0.7717908024787903],[0.7207304239273071],[0.41046372056007385],[0.3858090937137604],[0.4817841649055481],[0.45450225472450256],[0.32411885261535645],[0.43836507201194763],[0.5765004754066467],[0.3968818485736847],[0.4397721588611603],[0.373263955116272],[0.7041640877723694],[0.7661125659942627],[0.4263416528701782],[0.7519181370735168],[0.4406447410583496],[0.5182022452354431],[0.4829454720020294],[0.444273442029953],[0.32499125599861145],[0.538138210773468],[0.3854621648788452],[0.48440295457839966],[0.8686445355415344],[0.4892036020755768],[0.36727938055992126],[0.5463910102844238],[0.45794060826301575],[0.31384900212287903],[0.7470045685768127],[0.50315922498703],[0.7762977480888367],[0.43867284059524536],[0.5246692895889282],[0.6545403599739075],[0.2581464350223541],[0.3616664409637451],[0.3514784276485443],[0.7670440077781677],[0.5128889679908752],[0.32180055975914],[0.4435829222202301],[0.4664192795753479],[0.7343034744262695],[0.3019446134567261],[0.8642770648002625],[0.5664610862731934],[0.26159238815307617],[0.8880481719970703],[0.26662737131118774],[0.3003709614276886],[0.3462907671928406],[0.5014998316764832],[0.5540958046913147],[0.426596075296402],[0.44527482986450195],[0.4124629497528076],[0.625124990940094],[0.5711597204208374],[0.2848457098007202],[0.7233368754386902],[0.4374072551727295],[0.7400575876235962],[0.3164607286453247],[0.8279125094413757],[0.5657596588134766],[0.7932698726654053],[0.5073272585868835],[0.27932208776474],[0.9539467692375183],[0.5505279302597046],[0.5109642148017883],[0.9126451015472412],[0.23564067482948303],[0.5796913504600525],[0.699888288974762],[0.23007924854755402],[0.7904596328735352],[0.47137451171875],[1.0446901321411133],[0.28046852350234985],[0.6064462065696716],[0.8144716620445251],[0.6649037599563599],[0.18941165506839752],[0.9030952453613281],[0.22309544682502747],[0.5255399942398071],[0.42407816648483276],[0.45332974195480347],[0.5469548106193542],[0.4597909450531006],[0.6249430775642395],[0.5150323510169983],[1.3721392154693604],[0.6701002717018127],[0.2873499393463135],[0.32825350761413574],[0.18633349239826202],[0.38869887590408325],[0.7399751543998718],[0.41508716344833374],[0.37705913186073303],[0.5040039420127869],[0.29180407524108887],[0.470477819442749],[0.5599429607391357],[0.31115400791168213],[0.41603395342826843],[0.6562942266464233],[0.6938709616661072],[0.2996046245098114],[0.5891109704971313],[0.7604109048843384],[0.38234609365463257],[0.22337302565574646],[0.6200482249259949],[0.3303460478782654],[0.7797933220863342],[0.5225518941879272],[0.5030620694160461],[0.5044337511062622],[0.36334675550460815],[0.5484414100646973],[0.333801805973053],[0.29427123069763184],[0.8806743025779724],[0.9525946974754333],[0.9179494380950928],[0.2066016048192978],[0.4286119043827057],[0.7464869022369385],[0.5013551712036133],[0.36266395449638367],[0.44198477268218994],[0.80657958984375],[0.3457202911376953],[0.35738110542297363],[0.45210593938827515],[0.5817541480064392],[0.6604233980178833],[0.19056345522403717],[0.44957637786865234],[0.381830632686615],[1.0604945421218872],[0.9411863088607788],[0.31793949007987976],[0.78053218126297],[0.6767202615737915],[0.8165177702903748],[0.5267671346664429],[0.21496956050395966],[0.17470300197601318],[0.1998407393693924],[0.6469109058380127],[0.3566083014011383],[0.2302771955728531],[0.5405557751655579],[0.22784899175167084],[0.44421300292015076],[0.7985784411430359],[0.32612091302871704],[0.7290738821029663],[0.5805002450942993],[0.27410054206848145],[0.28626498579978943],[0.7439505457878113],[0.2313293218612671],[0.9272456169128418],[0.5151463150978088],[0.44191858172416687],[1.1028755903244019],[0.7110726833343506],[0.8610022068023682],[0.29668307304382324],[0.7934344410896301],[0.2830060124397278],[0.42945596575737],[0.5625739693641663],[0.4517035484313965],[0.7400583028793335],[0.40364933013916016],[0.8695529103279114],[0.33873605728149414],[0.450599730014801],[0.20950262248516083],[0.5701124668121338],[0.2565287947654724],[0.6226496696472168],[0.16580845415592194],[1.2759085893630981],[0.30510324239730835],[0.23124654591083527],[0.25500813126564026],[1.0517113208770752],[0.9783646464347839]
