[0.8294126],[0.76789397],[0.7428957],[0.7193882],[0.7086298],[0.6955491],[0.6832861],[0.6738285],[0.66931415],[0.6610011],[0.65556896],[0.6457869],[0.64709496],[0.6432628],[0.62887883],[0.6336554],[0.62457657],[0.62336975],[0.6124586],[0.6148777],[0.6047978],[0.60155183],[0.60700125],[0.6024597],[0.59756345],[0.59906757],[0.59346694],[0.5823912],[0.5879564],[0.58569103],[0.5848548],[0.58351076],[0.5743575],[0.57044643],[0.5736105],[0.56556255],[0.5673006],[0.5630009],[0.565953],[0.55846536],[0.56105214],[0.5632754],[0.553946],[0.5522253],[0.5509634],[0.55176395],[0.5509053],[0.54728454],[0.53978705],[0.53884035],[0.54626125],[0.53832495],[0.5365801],[0.5321265],[0.5283205],[0.53499496],[0.5319104],[0.5347257],[0.5329602],[0.5266079],[0.5210478],[0.52303314],[0.5208802],[0.52028453],[0.5136653],[0.51455504],[0.5157527],[0.50728995],[0.51805425],[0.5105615],[0.5043647],[0.50646484],[0.5014846],[0.5044046],[0.5045651],[0.50046754],[0.49507502],[0.48751482],[0.48773947],[0.48986158],[0.49185207],[0.49231622],[0.49525258],[0.4920746],[0.49215],[0.48504108],[0.47846454],[0.48588216],[0.47847214],[0.48025653],[0.4854066],[0.48143312],[0.4739371],[0.47247598],[0.47334957],[0.47474724],[0.4771234],[0.47208506],[0.46840692],[0.46845147],[0.47417483],[0.46306974],[0.46900827],[0.4662761],[0.46365455],[0.4568241],[0.45871586],[0.45916197],[0.4558247],[0.4563213],[0.45377818],[0.45121634],[0.45540008],[0.45128688],[0.44895855],[0.45204696],[0.448064],[0.4513042],[0.44831133],[0.44897878],[0.44843075],[0.43892136],[0.4410108],[0.4410254],[0.43974298],[0.4367311],[0.44517493],[0.43592685],[0.4395068],[0.43337244],[0.43200663],[0.43570152],[0.42860082],[0.43107218],[0.43265757],[0.42794582],[0.42126653],[0.4254394],[0.4244735],[0.4307781],[0.41981846],[0.4277466],[0.41901827],[0.4249989],[0.41837075],[0.41800734],[0.41665077],[0.41503343],[0.40706137],[0.40949786],[0.41599774],[0.4057134],[0.40376973],[0.40299824],[0.40640044],[0.39921394],[0.4039087],[0.402012],[0.39553607],[0.40720195],[0.39977145],[0.3956665],[0.39763147],[0.39825377],[0.3997164],[0.39608046],[0.40315577],[0.395408],[0.3932646],[0.3963991],[0.3933331],[0.3889567],[0.38540396],[0.38441664],[0.38472602],[0.38975203],[0.38695762],[0.38821927],[0.3859926],[0.3813515],[0.3804925],[0.3851205],[0.38010484],[0.37484813],[0.3765718],[0.3755146],[0.37741464],[0.37575495],[0.36942777],[0.36965373],[0.37569672],[0.36938897],[0.3675515],[0.36166617],[0.36908048],[0.362709],[0.36903298],[0.36622858],[0.36090645],[0.36230087]
[0.5274941325187683],[0.6364957094192505],[0.6461593508720398],[0.7147826552391052],[0.7283726334571838],[0.694876492023468],[0.7190015316009521],[0.7195616364479065],[0.7092792987823486],[0.7262111902236938],[0.693939208984375],[0.7126592397689819],[0.7131050825119019],[0.7331374883651733],[0.6871267557144165],[0.6764779090881348],[0.6881632208824158],[0.6862366199493408],[0.7099868059158325],[0.6553547382354736],[0.6987242102622986],[0.6770718693733215],[0.6908259987831116],[0.6897823810577393],[0.6908233761787415],[0.6871048808097839],[0.6532517671585083],[0.7239238023757935],[0.6423643231391907],[0.6595699191093445],[0.680546224117279],[0.6490923762321472],[0.6902771592140198],[0.6727990508079529],[0.6423731446266174],[0.6652741432189941],[0.6341499090194702],[0.664158821105957],[0.6362698674201965],[0.642051100730896],[0.6550353169441223],[0.636117160320282],[0.643834114074707],[0.6160630583763123],[0.6314573884010315],[0.6509492993354797],[0.6197506189346313],[0.6074014902114868],[0.6366192102432251],[0.6381136775016785],[0.6319947242736816],[0.623515784740448],[0.6381765007972717],[0.658522367477417],[0.6316713094711304],[0.6322469711303711],[0.6444227695465088],[0.6212579011917114],[0.6535277366638184],[0.6014955639839172],[0.6143504977226257],[0.6178236603736877],[0.5978650450706482],[0.585430383682251],[0.6200628876686096],[0.5928233861923218],[0.5902377963066101],[0.5891205668449402],[0.603222668170929],[0.5793637633323669],[0.6121596693992615],[0.5913845300674438],[0.5854959487915039],[0.6248204708099365],[0.5996497869491577],[0.5726478099822998],[0.5759343504905701],[0.6095234155654907],[0.6063827276229858],[0.5844215154647827],[0.6253117322921753],[0.5924152731895447],[0.5584167242050171],[0.5373047590255737],[0.5833765268325806],[0.6216869950294495],[0.5888559222221375],[0.564494252204895],[0.5899881720542908],[0.570019006729126],[0.5742723941802979],[0.5963407754898071],[0.5885035395622253],[0.5493217706680298],[0.5959601998329163],[0.5641496181488037],[0.5795356631278992],[0.5477391481399536],[0.5799790620803833],[0.57323157787323],[0.5656748414039612],[0.5586400628089905],[0.5667058229446411],[0.5761768817901611],[0.5731686353683472],[0.5783200860023499],[0.5786635875701904],[0.5580649375915527],[0.5643930435180664],[0.5799685120582581],[0.5688602924346924],[0.5439937710762024],[0.5800327658653259],[0.5711246132850647],[0.5821201801300049],[0.5451259016990662],[0.5366249084472656],[0.6002537608146667],[0.5454527139663696],[0.5832533240318298],[0.5614092350006104],[0.5763276219367981],[0.5520208477973938],[0.5569851994514465],[0.5353167057037354],[0.57331383228302],[0.517388641834259],[0.5802707672119141],[0.551533043384552],[0.5712653994560242],[0.5427812337875366],[0.5456636548042297],[0.5562918186187744],[0.5254039764404297],[0.5366388559341431],[0.5397582054138184],[0.557047963142395],[0.5249095559120178],[0.589342474937439],[0.5199111700057983],[0.524998664855957],[0.5365163087844849],[0.552010178565979],[0.5672964453697205],[0.5238543152809143],[0.509895920753479],[0.5258479714393616],[0.5246623754501343],[0.5097418427467346],[0.508582353591919],[0.5513463020324707],[0.5235660672187805],[0.5185631513595581],[0.526650071144104],[0.5333365797996521],[0.5326144695281982],[0.5207259654998779],[0.5359160900115967],[0.5563032031059265],[0.5223672986030579],[0.5259734392166138],[0.51031494140625],[0.5021969676017761],[0.5361291766166687],[0.4986359477043152],[0.5406920909881592],[0.5249263644218445],[0.532168984413147],[0.48546409606933594],[0.5245201587677002],[0.516844630241394],[0.4990180730819702],[0.5022702217102051],[0.5250715017318726],[0.5227352380752563],[0.5082374215126038],[0.4988873600959778],[0.4912477731704712],[0.4871651530265808],[0.5426401495933533],[0.5076553821563721],[0.5144979357719421],[0.4975591003894806],[0.5098576545715332],[0.5111051201820374],[0.5174524784088135],[0.503620982170105],[0.4865465760231018],[0.4845365881919861],[0.4996397793292999],[0.4833182692527771],[0.49952298402786255],[0.48394840955734253],[0.497424840927124],[0.4987235963344574],[0.4726749062538147],[0.4808674156665802],[0.4633689522743225],[0.515916645526886],[0.46921229362487793]
[0.739003226623772],[0.645236440141749],[0.6058607730806244],[0.5835070519343667],[0.5713972099449324],[0.5610654711353112],[0.5498070274450764],[0.5411005908658045],[0.5368720078320237],[0.5287317267115812],[0.5245631612976145],[0.5186210028503252],[0.51763652292838],[0.5120487185368626],[0.5028097794292876],[0.5065444891127],[0.49589346710199156],[0.49835882386805846],[0.48595165984230754],[0.4893706751906354],[0.4809780740960044],[0.4799661116200204],[0.48650266091275657],[0.4783836334758664],[0.47450275154587646],[0.474546884527858],[0.4700119018739795],[0.4645457041929968],[0.4661986037440922],[0.46608010175065223],[0.46345447920123983],[0.46107170300454087],[0.4512932322780538],[0.45371284396011635],[0.45291152624239833],[0.4476208196293493],[0.4489393695170835],[0.44683529501375946],[0.44989828552518574],[0.4394531568385059],[0.44350624177026454],[0.4438049126856075],[0.438033085802327],[0.4346507184253716],[0.4319553866704799],[0.4358567146595961],[0.4344536993444336],[0.4275068500027153],[0.4242750115646339],[0.424812986521247],[0.4303120238625485],[0.42081817873516436],[0.4201378022661861],[0.4157189180762131],[0.4189932196406844],[0.4188312420748776],[0.41739759932023396],[0.4179187068102523],[0.41579266086868616],[0.40861818351730794],[0.4052121630921867],[0.410729108112199],[0.4059860427742419],[0.4069409824861503],[0.3996235340463449],[0.40123061132356985],[0.40231338356222424],[0.3933035679485487],[0.40321993781542925],[0.3977362745852204],[0.39326808754331577],[0.3930291819461384],[0.38890219447405444],[0.3931135461197136],[0.39120712959618303],[0.3875942293161191],[0.3838595063049601],[0.37877572656418224],[0.37869032912002587],[0.3789957687721489],[0.38317759427594844],[0.38270565099227505],[0.38144287559556667],[0.3795664490009687],[0.3806357835390553],[0.3743853373742252],[0.3685081391045766],[0.37442972284296283],[0.3704139782775263],[0.370412579882219],[0.3734700373425987],[0.371316149923372],[0.36242595287213414],[0.36605548118212206],[0.3648231622780332],[0.36532008305469654],[0.3672670117631462],[0.36299580455937003],[0.3572990505591683],[0.3610263021651262],[0.3644409602658349],[0.35377501515868287],[0.35874644930688493],[0.3568145258826499],[0.35396489001208953],[0.3494245595073108],[0.35434172492219795],[0.3516102423949271],[0.34693453234174976],[0.3486657982102092],[0.3478162914329434],[0.34507639743156315],[0.3490912490379736],[0.34469789174032506],[0.3405051339672219],[0.346223073438828],[0.3415258248215136],[0.3413553553523484],[0.342208800756413],[0.3424747059619205],[0.3405129209808681],[0.332229168888945],[0.33485716636876883],[0.33389870618811307],[0.33545464591950364],[0.3325492640644867],[0.3382781725492537],[0.3292068103270501],[0.3341370140728743],[0.32769072453797976],[0.32642529682713267],[0.3287815732060012],[0.3240656950829192],[0.32861676904725734],[0.32501370205272057],[0.32442105205162713],[0.31933841581300176],[0.3212977127629037],[0.32253474626481904],[0.3233056048984113],[0.3164173249872575],[0.32431436612369113],[0.3154884076081448],[0.31949999771132975],[0.31542718114319795],[0.3150660302142919],[0.3141902600015913],[0.3119343857032172],[0.30732424288803006],[0.3093476238087838],[0.3131117842952657],[0.3072619703800782],[0.3034089502433072],[0.30402885081234926],[0.3066219123809234],[0.3008335962058595],[0.30505634029829726],[0.3026975858840883],[0.30058502290189637],[0.3052889233605462],[0.2991247281709813],[0.29900979597746213],[0.30011770175480695],[0.298510607632791],[0.3009301209301682],[0.29850145276659024],[0.30155121493413584],[0.2971036135224822],[0.2934254631862877],[0.2980323917932392],[0.29540758297680325],[0.291268049189763],[0.2894372268122916],[0.28857217655048606],[0.2893251265798296],[0.2923120784093134],[0.28931186075166143],[0.2900585348006361],[0.2898998750107629],[0.2859847176334132],[0.285707852947786],[0.2894409909751845],[0.2847271634740119],[0.2799681515797325],[0.2819036274037746],[0.2807065378990233],[0.2825021566533894],[0.28039366460364795],[0.27602351378209844],[0.2758165628458402],[0.28183173577978005],[0.2779584497398471],[0.2755441490722739],[0.27130367241290787],[0.2756148872908598],[0.27085111803890016],[0.2773557232218499],[0.27500386637930546],[0.2683779787017692],[0.27182383529888177]
[0.6954426169395447],[0.2776000201702118],[0.43785756826400757],[0.6313390135765076],[0.6221235990524292],[0.4750348925590515],[0.539989173412323],[0.4104866683483124],[0.4575192630290985],[0.4708307683467865],[0.4311799705028534],[0.48053374886512756],[0.6198315620422363],[0.4206998348236084],[0.3276163339614868],[0.31869763135910034],[0.32673704624176025],[0.6615736484527588],[0.3412891924381256],[0.3200813829898834],[0.41511547565460205],[0.3110656440258026],[0.409343957901001],[0.6606965661048889],[0.4233044683933258],[0.6449549198150635],[0.29163551330566406],[0.6225914359092712],[0.3634636104106903],[0.3546324670314789],[0.30922165513038635],[0.4910361170768738],[0.38085076212882996],[0.7672533392906189],[0.46143022179603577],[0.7268820405006409],[0.49538302421569824],[0.5984680652618408],[0.5954777598381042],[0.49084436893463135],[0.7380191683769226],[0.866548478603363],[0.7154926657676697],[0.24665974080562592],[0.7230842113494873],[0.35321253538131714],[0.2885996699333191],[0.3357824981212616],[0.737984299659729],[0.30923905968666077],[0.29264023900032043],[0.862235963344574],[0.3240405023097992],[0.606624960899353],[0.34410929679870605],[0.4943544864654541],[0.43793985247612],[0.4079613983631134],[0.2893129289150238],[0.519885241985321],[0.32179728150367737],[0.3086871802806854],[0.6061278581619263],[0.34901273250579834],[0.3854324221611023],[0.37508106231689453],[0.37780821323394775],[0.5771400928497314],[0.4882141053676605],[0.5032778978347778],[0.7383744120597839],[0.2333861142396927],[0.25806838274002075],[0.6221758723258972],[0.27159783244132996],[0.23608775436878204],[0.5025380849838257],[0.5536860823631287],[0.5515324473381042],[0.3796709477901459],[0.4107998013496399],[0.7777525782585144],[0.5981455445289612],[0.5245779752731323],[0.21077662706375122],[1.051560878753662],[0.6324362754821777],[0.5439757704734802],[0.30411669611930847],[0.17780444025993347],[0.42411279678344727],[0.5418180823326111],[0.8689603805541992],[0.3707340359687805],[0.6598449349403381],[0.17784233391284943],[0.6470106840133667],[0.20537202060222626],[0.7649468183517456],[0.34158244729042053],[0.678469181060791],[0.196537584066391],[0.604205310344696],[0.35177549719810486],[0.2605050802230835],[0.7663061618804932],[0.22753742337226868],[0.340533584356308],[0.23958583176136017],[0.7694875597953796],[0.28833508491516113],[0.2557649314403534],[0.39305537939071655],[0.6270538568496704],[0.2815263271331787],[0.42463645339012146],[0.9449362754821777],[0.4961680471897125],[0.42533019185066223],[0.434389591217041],[0.34117695689201355],[0.28820931911468506],[0.35758447647094727],[0.656146764755249],[0.40649718046188354],[0.5139349699020386],[0.8271265625953674],[0.23850330710411072],[0.8998754620552063],[0.6664276123046875],[0.7957706451416016],[0.19335511326789856],[0.3819849491119385],[0.7226274609565735],[1.1552082300186157],[0.26112332940101624],[0.3526248633861542],[0.7837973237037659],[0.8286634683609009],[0.2689819931983948],[0.5139080882072449],[0.7457490563392639],[0.379718154668808],[0.37935709953308105],[0.42761194705963135],[0.7098220586776733],[0.8842253088951111],[0.6978899240493774],[0.36205923557281494],[0.847760796546936],[0.6426767110824585],[0.43074578046798706],[0.796222448348999],[0.6461672782897949],[0.7075452208518982],[0.5906063914299011],[0.4487573504447937],[0.49497970938682556],[0.7741439938545227],[0.8539995551109314],[0.8236979842185974],[0.4859783351421356],[0.30333754420280457],[0.8650205135345459],[0.3850301504135132],[0.7915925979614258],[0.40967753529548645],[0.5900487303733826],[0.18267524242401123],[0.37696367502212524],[0.22259056568145752],[0.7188565135002136],[0.567882239818573],[0.6883886456489563],[0.5329794883728027],[1.0508179664611816],[0.38375693559646606],[0.2877815365791321],[0.2774052917957306],[0.5505905747413635],[0.6250830888748169],[0.8095316290855408],[0.7824951410293579],[0.8645849823951721],[0.9498218297958374],[0.2039901465177536],[0.29489171504974365],[0.7135337591171265],[0.14313918352127075],[0.6142576932907104],[0.14915785193443298],[0.4033498466014862],[0.18944166600704193],[0.15145055949687958],[0.2876903712749481],[0.5853849649429321],[0.6222770810127258],[0.8010979294776917],[0.8713060021400452],[0.6790771484375]
