[0.81547374],[0.75536543],[0.7298467],[0.711232],[0.7007859],[0.69837797],[0.6834062],[0.6774039],[0.666663],[0.6689617],[0.6640922],[0.65443295],[0.65321785],[0.6449672],[0.64325774],[0.64481336],[0.6329492],[0.6318798],[0.62296134],[0.6268811],[0.6287626],[0.62033516],[0.61613333],[0.613813],[0.6136448],[0.6078138],[0.60396343],[0.60405123],[0.597845],[0.5974753],[0.59919554],[0.5992516],[0.5878622],[0.5883135],[0.58806676],[0.5943436],[0.5854924],[0.5777144],[0.57728946],[0.5789315],[0.57786214],[0.570037],[0.5702555],[0.57080716],[0.5593774],[0.56204194],[0.5586944],[0.5602705],[0.56348115],[0.5553108],[0.5532113],[0.55372655],[0.5544888],[0.5486399],[0.5522631],[0.54297405],[0.547068],[0.5453816],[0.5409163],[0.5352967],[0.5287304],[0.53409696],[0.5302282],[0.5331004],[0.5276382],[0.5291762],[0.5292872],[0.527079],[0.52618897],[0.52509105],[0.519276],[0.51778793],[0.5223839],[0.52078235],[0.516999],[0.51628053],[0.5185689],[0.51308745],[0.513613],[0.5122628],[0.5122528],[0.507372],[0.5081959],[0.5057401],[0.5063464],[0.5077798],[0.5023875],[0.50004303],[0.49944922],[0.50030595],[0.5023084],[0.5030828],[0.49467316],[0.50518835],[0.49406785],[0.48861048],[0.48666188],[0.4882382],[0.48861137],[0.48311365],[0.47786132],[0.48036775],[0.4811237],[0.47734612],[0.48011452],[0.47482556],[0.47829637],[0.47629803],[0.47923613],[0.47774023],[0.47018605],[0.4705371],[0.46994308],[0.4758226],[0.46915728],[0.46998644],[0.46416903],[0.46228883],[0.46694747],[0.46749583],[0.4648886],[0.46422133],[0.46044046],[0.4574796],[0.46018028],[0.458837],[0.45662594],[0.4571154],[0.45028818],[0.45103398],[0.45005107],[0.45730156],[0.44994554],[0.44876286],[0.44485778],[0.4468908],[0.43929955],[0.44733334],[0.4428503],[0.4430593],[0.44204634],[0.43775538],[0.43735826],[0.44113642],[0.44009182],[0.43913493],[0.43245965],[0.43780425],[0.43271583],[0.4344556],[0.4307528],[0.4297702],[0.43348137],[0.42603463],[0.42074022],[0.4279465],[0.4281703],[0.42706096],[0.42546126],[0.42026713],[0.41974285],[0.4170324],[0.419228],[0.42281383],[0.42306542],[0.41698766],[0.4162358],[0.4142905],[0.41633493],[0.40948433],[0.41413414],[0.41337895],[0.4107812],[0.4115683],[0.41076472],[0.40672153],[0.40860322],[0.4109684],[0.40839055],[0.40789512],[0.40825284],[0.4062906],[0.4030602],[0.40113822],[0.40002078],[0.39989728],[0.3942713],[0.40210703],[0.39723423],[0.39852643],[0.39654976],[0.39653397],[0.391056],[0.39086953],[0.39123073],[0.39148298],[0.39189622],[0.3905928],[0.38922602],[0.38988417]
[0.8717725276947021],[0.7924373149871826],[0.7249933481216431],[0.7232886552810669],[0.7599776983261108],[0.7512181401252747],[0.7317149043083191],[0.7305132150650024],[0.7494339346885681],[0.7343645095825195],[0.734344482421875],[0.7145310044288635],[0.714512825012207],[0.735002875328064],[0.7480893135070801],[0.7463688254356384],[0.7254828810691833],[0.7064099907875061],[0.7481662631034851],[0.6962813138961792],[0.7187790870666504],[0.7295165657997131],[0.7310449481010437],[0.7058709263801575],[0.7162986993789673],[0.6951123476028442],[0.7158109545707703],[0.704805314540863],[0.7195549011230469],[0.7066826820373535],[0.6823027729988098],[0.7043406963348389],[0.7004444599151611],[0.6861010193824768],[0.6773709654808044],[0.6999056935310364],[0.7147915363311768],[0.6921165585517883],[0.6973497867584229],[0.6817852258682251],[0.7030382752418518],[0.7023084759712219],[0.6818439364433289],[0.7030051350593567],[0.6790893077850342],[0.6641116738319397],[0.6723013520240784],[0.6751346588134766],[0.7199900150299072],[0.6884690523147583],[0.6862329244613647],[0.6435325145721436],[0.6875685453414917],[0.6839651465415955],[0.6764636635780334],[0.6569396257400513],[0.6686735153198242],[0.6482813954353333],[0.638124942779541],[0.6622645854949951],[0.6746636033058167],[0.6758139729499817],[0.6577745676040649],[0.6575766801834106],[0.674953043460846],[0.6580937504768372],[0.664130449295044],[0.6790632009506226],[0.6694750785827637],[0.668699324131012],[0.6978538036346436],[0.6371287703514099],[0.6672434210777283],[0.7091894745826721],[0.6364374756813049],[0.6723371744155884],[0.6938827037811279],[0.6789172291755676],[0.6580727100372314],[0.6411579847335815],[0.6399642825126648],[0.6646578311920166],[0.6593644618988037],[0.6620277166366577],[0.6561471819877625],[0.6613507866859436],[0.636218786239624],[0.6413606405258179],[0.641369640827179],[0.6507163047790527],[0.644081175327301],[0.6203460097312927],[0.6554130911827087],[0.6282757520675659],[0.6472300291061401],[0.6384847164154053],[0.6401704549789429],[0.631500244140625],[0.634999692440033],[0.6411742568016052],[0.6166815161705017],[0.6567680239677429],[0.661227285861969],[0.6495881676673889],[0.6502739191055298],[0.5948498249053955],[0.6560046076774597],[0.623565137386322],[0.627579927444458],[0.6464919447898865],[0.6455802321434021],[0.6150031685829163],[0.6041719913482666],[0.6157748699188232],[0.6084795594215393],[0.6336559653282166],[0.6217718124389648],[0.6345089077949524],[0.6307453513145447],[0.6497324705123901],[0.6087232232093811],[0.6126263737678528],[0.5878140926361084],[0.6204525232315063],[0.6369596719741821],[0.6144688725471497],[0.6098034977912903],[0.6403643488883972],[0.6112659573554993],[0.6246486902236938],[0.6124166250228882],[0.6234392523765564],[0.6000748872756958],[0.6144813299179077],[0.5843896865844727],[0.5996074080467224],[0.6201210021972656],[0.6088025569915771],[0.6144680976867676],[0.5973923206329346],[0.6127262115478516],[0.6174823045730591],[0.5953416228294373],[0.602614164352417],[0.6175341606140137],[0.5954010486602783],[0.6182051301002502],[0.6272329092025757],[0.594231128692627],[0.6082203388214111],[0.610384464263916],[0.6022690534591675],[0.5840075612068176],[0.6191995143890381],[0.6026203632354736],[0.6078358888626099],[0.602111279964447],[0.5939276218414307],[0.5945557355880737],[0.6146237850189209],[0.6068176627159119],[0.6143168807029724],[0.6274607181549072],[0.6004672646522522],[0.6027611494064331],[0.5958002805709839],[0.5962530970573425],[0.5927619338035583],[0.63121497631073],[0.5844550132751465],[0.6113401651382446],[0.6015172004699707],[0.6036796569824219],[0.5846806764602661],[0.5940448045730591],[0.5671535730361938],[0.5923724174499512],[0.5973959565162659],[0.59002685546875],[0.5946726202964783],[0.5987374782562256],[0.5844312906265259],[0.5667974948883057],[0.6207971572875977],[0.617883563041687],[0.5692796111106873],[0.5874660611152649],[0.5713860392570496],[0.5673805475234985],[0.5931430459022522],[0.5788460969924927],[0.5844095945358276],[0.6029726266860962],[0.6005012392997742],[0.6140359044075012],[0.5958116054534912],[0.5783237814903259],[0.5687898397445679],[0.571157693862915],[0.5883457660675049]
[0.7477588877819552],[0.6456393091985495],[0.6124589280916912],[0.5928526089923216],[0.5798695745444534],[0.5722209477778708],[0.5591382764943755],[0.5527349226545579],[0.5459917049006661],[0.5400246414217619],[0.5405288686846742],[0.5287830407666688],[0.5288310700123853],[0.5193983428549058],[0.521014788068167],[0.5189070557013596],[0.5073723754670361],[0.5063911390186536],[0.5025446323475035],[0.5032182114549203],[0.5051423936787218],[0.4997317510666234],[0.49356671784183764],[0.49303195116543536],[0.4927884945184878],[0.4860582460861395],[0.48252349236223957],[0.481805691624632],[0.47825681927180524],[0.4790602149349628],[0.4803202211266697],[0.47583651690199824],[0.4712819507216463],[0.4682187629808294],[0.47220579615913993],[0.4732393179789628],[0.4648453262772891],[0.45835811047270747],[0.46064104125051214],[0.46027159838393183],[0.458609008848077],[0.45351976185741993],[0.45353103244658743],[0.453308367493129],[0.4445095717316807],[0.44606789120353096],[0.44527307123240856],[0.44416213330655996],[0.449129718069983],[0.4388602676958141],[0.4395989055680756],[0.4375506329654467],[0.4385775304076695],[0.4347057292366972],[0.4383905653906341],[0.4297994266052057],[0.431202364144939],[0.4322979730544704],[0.42778157214126966],[0.4217685823983485],[0.42136436228704927],[0.4227141991700276],[0.41929907595167065],[0.42202851751653275],[0.4169104267465006],[0.41965577065354526],[0.4169751547350742],[0.41505226345345525],[0.4148632293880576],[0.41045550013532733],[0.4095935162046168],[0.40806056662361223],[0.4144619285765261],[0.409099284375068],[0.406677111835763],[0.4051584294526884],[0.40659560336925016],[0.4006889506731883],[0.4030595578179501],[0.40176134903242094],[0.4020431355969741],[0.3958611219826311],[0.39712942561300674],[0.39447070289366315],[0.3980313282791931],[0.39698324138575264],[0.39314614885514326],[0.3904059451110292],[0.3899690044103282],[0.391573972041064],[0.39075380357185213],[0.39286944550452846],[0.38805406311951063],[0.39340996830770286],[0.38267272696046545],[0.3785797322150504],[0.3770492782097052],[0.38461463153362274],[0.3806951644987163],[0.37352544261087284],[0.37332390676630606],[0.3776030553744571],[0.3726011862849245],[0.37066860585519584],[0.3740835090970049],[0.3690764845007717],[0.3725505606962903],[0.37079964430615453],[0.37395027796230695],[0.368026260544758],[0.3664011704449606],[0.36479622435451736],[0.362862088597647],[0.3712272638141519],[0.36381357982017026],[0.36153890015465195],[0.3599466274280359],[0.3579862079407909],[0.3613391070082636],[0.36359468323759514],[0.3575917846790635],[0.3570238472801624],[0.353644069468621],[0.3547761313395925],[0.35612521977117745],[0.3537428489711025],[0.35017372490745957],[0.35215843712339306],[0.34779786119366635],[0.3489517029559258],[0.3498372466552376],[0.3521848868320484],[0.3460612215913168],[0.34466659535865973],[0.34125400076408197],[0.3450599271472138],[0.33720911965511813],[0.3449374036033555],[0.3396912057801048],[0.3404427523365115],[0.3403547369312532],[0.3366130475360568],[0.3355889212672073],[0.33928500824045427],[0.33726684926169936],[0.3356900877586686],[0.3325101501575791],[0.3368301732410299],[0.32984967470759213],[0.3332903751052252],[0.3288386346089958],[0.3297076610350373],[0.3313623789218393],[0.3251369971745085],[0.32349879257749803],[0.3290650261805789],[0.32689808028759343],[0.32728598584042917],[0.3238785781777731],[0.3215183626012047],[0.3183697524047134],[0.31840102271278303],[0.32239061284183274],[0.3205397584945849],[0.32370678106747053],[0.3176613126945968],[0.31763714035548785],[0.3164866662556582],[0.3166292292056697],[0.3108372875664494],[0.3151181123339304],[0.31578986671301396],[0.31256698824391504],[0.3127191546234754],[0.31119980788466955],[0.3094322281603766],[0.31163295528086105],[0.3128461197461232],[0.30827248435799437],[0.3095477378309363],[0.31055092487004726],[0.307723792915297],[0.3061003406154047],[0.3029977695481612],[0.3048770365738633],[0.3025021259442414],[0.29895720505478357],[0.30498913225561086],[0.30263254223483627],[0.3015657657443887],[0.29917432603859667],[0.30097251378073553],[0.2974707277694551],[0.2930953083652081],[0.29798096034786486],[0.29617694241575676],[0.2977614318675334],[0.29475209397254604],[0.2949557713057735],[0.2954420146375599]
[0.5752069354057312],[0.4846382439136505],[0.5303623080253601],[0.3918166756629944],[0.5693343281745911],[0.42866751551628113],[0.488483726978302],[0.34699690341949463],[0.4879591763019562],[0.56712406873703],[0.46004533767700195],[0.3458133935928345],[0.46656590700149536],[0.6287896037101746],[0.7386741638183594],[0.5671371221542358],[0.37874361872673035],[0.8754879236221313],[0.5274110436439514],[0.388904333114624],[0.7026606798171997],[1.0691211223602295],[0.6510347127914429],[0.5242977738380432],[0.5340320467948914],[0.6246909499168396],[0.7521799206733704],[0.3172816336154938],[0.38388264179229736],[0.6849213242530823],[0.46880853176116943],[0.5813198089599609],[0.5750272274017334],[0.6813176870346069],[0.4686981439590454],[0.5059796571731567],[0.6063888669013977],[0.27322831749916077],[0.3533843755722046],[0.5410287380218506],[0.5793585181236267],[0.42615240812301636],[0.7150738835334778],[0.4622495174407959],[0.42482835054397583],[0.4393790066242218],[0.4061797857284546],[0.46505308151245117],[0.6752210855484009],[0.5294707417488098],[0.42672666907310486],[0.6845399141311646],[0.43122047185897827],[0.33902478218078613],[0.7031422853469849],[0.2619321942329407],[0.7754650115966797],[0.5580011606216431],[0.4322322607040405],[0.8495291471481323],[0.7042094469070435],[0.5781176686286926],[0.3030025362968445],[0.3026927709579468],[0.5934528708457947],[0.5106294751167297],[0.5608136057853699],[0.5065018534660339],[0.31513065099716187],[0.48303067684173584],[0.5376580953598022],[0.6858083605766296],[0.2424442172050476],[0.34498023986816406],[0.38740015029907227],[0.5373802781105042],[1.1352490186691284],[0.719591498374939],[0.4357073903083801],[0.968547523021698],[0.4772980213165283],[0.790023684501648],[0.547076404094696],[0.4764239490032196],[0.3024311363697052],[0.33445677161216736],[0.7487876415252686],[0.5494332909584045],[0.4422999322414398],[0.33056604862213135],[0.2862228453159332],[0.6806458830833435],[0.31192609667778015],[0.3281002342700958],[1.1946839094161987],[0.515096127986908],[0.5427290797233582],[0.23623421788215637],[0.879128634929657],[0.3243342339992523],[0.3341526985168457],[0.6949784159660339],[0.4461486339569092],[0.3053876757621765],[0.8403462171554565],[0.5856384634971619],[0.3315584361553192],[0.22917711734771729],[0.5539005994796753],[0.31795239448547363],[0.4221276640892029],[0.7876071929931641],[0.6931708455085754],[0.6996151208877563],[0.31220030784606934],[0.4525519907474518],[0.544722318649292],[0.8594909906387329],[0.6698195934295654],[0.8444551229476929],[0.32629144191741943],[0.3552625775337219],[0.862605094909668],[0.7730897068977356],[1.2711751461029053],[0.7416645288467407],[0.654325544834137],[0.5123098492622375],[0.1947031021118164],[0.4464460015296936],[0.8333209156990051],[0.918475329875946],[0.6005542874336243],[0.5059967041015625],[0.5161717534065247],[0.9990015625953674],[0.7470154762268066],[0.24726323783397675],[0.3289186656475067],[0.8269473314285278],[0.4404326379299164],[0.31964099407196045],[0.6752282381057739],[0.3431161642074585],[0.26891040802001953],[0.4347280263900757],[0.2789795398712158],[0.45243141055107117],[0.5676664710044861],[0.3229556977748871],[0.7031038999557495],[0.47557711601257324],[0.6834303140640259],[0.3833414614200592],[0.16090475022792816],[0.3448624610900879],[1.096578598022461],[0.47520527243614197],[0.2278573364019394],[0.24089893698692322],[0.886796236038208],[0.85224848985672],[0.791993260383606],[0.6113627552986145],[0.5195652842521667],[0.7153167724609375],[1.0701849460601807],[0.1758476197719574],[0.5431593656539917],[0.21843738853931427],[0.5911147594451904],[0.5730647444725037],[0.6587938070297241],[0.7304566502571106],[0.5561336874961853],[0.15985147655010223],[0.23434332013130188],[0.9239576458930969],[0.21613115072250366],[0.49923601746559143],[0.3927754759788513],[0.39111265540122986],[0.3912328779697418],[0.7545602321624756],[0.8907715082168579],[0.9202591776847839],[0.8743870258331299],[0.9393951296806335],[0.3187556564807892],[1.1872485876083374],[0.7782266736030579],[0.8607915639877319],[0.240627259016037],[1.098248839378357],[0.5389776825904846],[0.48377248644828796],[1.0544544458389282],[1.1771507263183594],[0.3679249584674835],[0.5666295289993286]
