[0.9168544],[0.8725514],[0.86296505],[0.85676265],[0.85229087],[0.8383375],[0.8413399],[0.8266024],[0.82500416],[0.8204949],[0.8207872],[0.81111956],[0.80553705],[0.8049602],[0.8058393],[0.8050678],[0.80788946],[0.79242903],[0.7837546],[0.7961446],[0.785657],[0.79258144],[0.78429],[0.7850236],[0.7751683],[0.77244335],[0.7683361],[0.76868874],[0.7635563],[0.7625131],[0.76688117],[0.75753474],[0.76187426],[0.7494254],[0.7543553],[0.7535894],[0.753883],[0.73968077],[0.74108815],[0.74411863],[0.7341837],[0.7398047],[0.73413396],[0.73173445],[0.7311201],[0.7297998],[0.73127764],[0.7291977],[0.72746676],[0.7212748],[0.72264576],[0.727017],[0.71535295],[0.72060955],[0.7157722],[0.70693105],[0.7118237],[0.70893544],[0.7167778],[0.70570844],[0.7040565],[0.70109296],[0.7025774],[0.6978555],[0.70373327],[0.7013546],[0.6939795],[0.69534415],[0.6913188],[0.6949249],[0.6829891],[0.68679255],[0.6896988],[0.6909769],[0.6818399],[0.67729634],[0.67239463],[0.67510504],[0.66882056],[0.6721624],[0.6718898],[0.6740712],[0.6693171],[0.6704676],[0.66322744],[0.66666013],[0.6652257],[0.6617599],[0.6614391],[0.6628439],[0.6601003],[0.6618632],[0.6557787],[0.658693],[0.652313],[0.6540842],[0.64421904],[0.6388971],[0.64600706],[0.64799255],[0.645055],[0.64633787],[0.6333861],[0.638381],[0.6369489],[0.63208497],[0.63806415],[0.6275579],[0.6383991],[0.6375351],[0.62964755],[0.63005245],[0.62724763],[0.6311285],[0.6285773],[0.6326968],[0.62828237],[0.6242719],[0.6208566],[0.6228976],[0.6229905],[0.62148404],[0.6214959],[0.6174768],[0.61694634],[0.6134682],[0.62303364],[0.60891867],[0.60943973],[0.61478007],[0.611109],[0.6081065],[0.6153902],[0.6088392],[0.60126776],[0.5952638],[0.6024109],[0.5969522],[0.6027259],[0.59881425],[0.5934996],[0.59079534],[0.5920661],[0.6003376],[0.5978607],[0.5889547],[0.5919123],[0.58992386],[0.58338994],[0.5858909],[0.5812862],[0.5855933],[0.5801092],[0.57881093],[0.576427],[0.57588315],[0.58012086],[0.56706524],[0.5735824],[0.5770236],[0.57443744],[0.5681371],[0.56824154],[0.5669734],[0.57242054],[0.5631225],[0.5643166],[0.5665429],[0.56253487],[0.56176376],[0.56177115],[0.5635593],[0.5601448],[0.56059504],[0.5579903],[0.55386305],[0.5522954],[0.5473119],[0.551798],[0.5560794],[0.55206305],[0.5497605],[0.54156834],[0.5452367],[0.54858965],[0.5442182],[0.5423544],[0.53597707],[0.5457438],[0.5338532],[0.5438145],[0.5310789],[0.54144037],[0.5368336],[0.53777844],[0.5384181],[0.5292146],[0.53327686],[0.52711564],[0.5291683]
[0.8869562149047852],[0.8213931918144226],[0.7546432018280029],[0.7653183341026306],[0.7560619711875916],[0.7507811784744263],[0.7712464332580566],[0.7677417993545532],[0.7634537816047668],[0.7364128232002258],[0.7429037690162659],[0.7469143271446228],[0.7324917912483215],[0.7589135766029358],[0.7600694298744202],[0.7473722696304321],[0.7307182550430298],[0.7054342031478882],[0.7083452343940735],[0.7150395512580872],[0.7236313819885254],[0.7182788252830505],[0.7185108661651611],[0.7395061254501343],[0.723175585269928],[0.733191192150116],[0.7031162977218628],[0.73991459608078],[0.7188177108764648],[0.7171621918678284],[0.7147898077964783],[0.6984946727752686],[0.7323740124702454],[0.6716363430023193],[0.7186815738677979],[0.7093289494514465],[0.6931214928627014],[0.7022241353988647],[0.6811599135398865],[0.7009429335594177],[0.6831110715866089],[0.6852535605430603],[0.6791888475418091],[0.6928050518035889],[0.6959346532821655],[0.670275092124939],[0.7027720212936401],[0.6748908758163452],[0.681913435459137],[0.6660686135292053],[0.663579523563385],[0.6565783023834229],[0.679909884929657],[0.6864988207817078],[0.68552166223526],[0.6825751066207886],[0.6536313891410828],[0.6557022333145142],[0.6579790115356445],[0.7038983702659607],[0.6813312768936157],[0.6687182784080505],[0.6605804562568665],[0.6522258520126343],[0.6693922281265259],[0.666266679763794],[0.6320241093635559],[0.6611816883087158],[0.6351187229156494],[0.6536065340042114],[0.6399297118186951],[0.67347252368927],[0.6631442308425903],[0.6335667967796326],[0.6285902857780457],[0.6252697110176086],[0.6484148502349854],[0.6619244813919067],[0.6300928592681885],[0.641797661781311],[0.6340555548667908],[0.6312928199768066],[0.6659790277481079],[0.6448559761047363],[0.6216925382614136],[0.6299605369567871],[0.6411377787590027],[0.6354464292526245],[0.6190247535705566],[0.6413614749908447],[0.6376959681510925],[0.6325274109840393],[0.6386300921440125],[0.6335046887397766],[0.6258147358894348],[0.6259320974349976],[0.6138205528259277],[0.6481722593307495],[0.6219871640205383],[0.6367325186729431],[0.6141707301139832],[0.5970029830932617],[0.6287124752998352],[0.6532354950904846],[0.6300503015518188],[0.6244605779647827],[0.610771119594574],[0.6144611239433289],[0.5996625423431396],[0.6123183369636536],[0.6207289695739746],[0.5957248210906982],[0.6024187207221985],[0.6202341914176941],[0.6287906169891357],[0.6032662391662598],[0.6184499263763428],[0.6160387396812439],[0.602298378944397],[0.6276175379753113],[0.6093925833702087],[0.592098593711853],[0.6166242361068726],[0.6069266200065613],[0.5940902829170227],[0.6028311848640442],[0.6148208975791931],[0.6225253939628601],[0.6118165254592896],[0.6055889129638672],[0.5983791351318359],[0.5740614533424377],[0.6097784042358398],[0.5761288404464722],[0.5851959586143494],[0.5861284732818604],[0.5669456124305725],[0.573077380657196],[0.5851581692695618],[0.5957555770874023],[0.5723397731781006],[0.6071892976760864],[0.6056855320930481],[0.5765897631645203],[0.5919880867004395],[0.5903461575508118],[0.5810601115226746],[0.5767983198165894],[0.5749498009681702],[0.5651147365570068],[0.586077094078064],[0.5722821950912476],[0.5680074691772461],[0.5572183132171631],[0.5759638547897339],[0.5812024474143982],[0.5793882608413696],[0.5644040703773499],[0.5626288056373596],[0.5519572496414185],[0.5724296569824219],[0.5627551674842834],[0.5654399991035461],[0.5758437514305115],[0.5655882954597473],[0.5837083458900452],[0.5682188272476196],[0.5596083402633667],[0.5745773911476135],[0.5615836381912231],[0.559251070022583],[0.5961154103279114],[0.5698142647743225],[0.5707969069480896],[0.5734914541244507],[0.5738744735717773],[0.5540075302124023],[0.5487427115440369],[0.5578580498695374],[0.5724893808364868],[0.5523507595062256],[0.5441270470619202],[0.5613357424736023],[0.5583991408348083],[0.5683319568634033],[0.553925096988678],[0.5436421632766724],[0.5467984676361084],[0.5467917919158936],[0.5479992032051086],[0.5535805225372314],[0.5768805146217346],[0.5529523491859436],[0.5524556636810303],[0.5473468899726868],[0.5394216775894165],[0.5368108749389648],[0.5520268082618713],[0.5396638512611389],[0.5518611073493958]
[0.8353253815433767],[0.7389657798379955],[0.7099755542113049],[0.6901576182629803],[0.6778298114786053],[0.6606130163268288],[0.6582951197529784],[0.6448210212263731],[0.6410641729241551],[0.6337209476692842],[0.6301381977477877],[0.6222950633209531],[0.6170130664169198],[0.6174644901610837],[0.6131176202013942],[0.6121988199134865],[0.6115362900908631],[0.5992451664244774],[0.5939741406110254],[0.6043144290400023],[0.5936415950850685],[0.5957329904679025],[0.5907094136323079],[0.5933912216436745],[0.582194177821131],[0.5815160737769438],[0.5775163961519109],[0.5778720493954007],[0.5718462405228378],[0.573691467247387],[0.5780175956759123],[0.5646379849698284],[0.5699881217857399],[0.5607434068575944],[0.5649597942829132],[0.561579450522319],[0.5608097863669442],[0.5542582810515224],[0.5524742514780252],[0.5548429170457443],[0.5453093704020623],[0.5517624575312775],[0.5460527801867758],[0.5438417036934654],[0.5448656731312818],[0.5415876817585218],[0.5439198276784161],[0.5397069324361216],[0.5390716572799304],[0.5365698912946304],[0.5351482564860052],[0.5374566682494513],[0.5317237450934873],[0.5308330421990687],[0.5267631497123454],[0.5199605807809546],[0.5255839981064938],[0.5219875512146713],[0.5290399565555082],[0.5190752313868834],[0.5174076415524624],[0.516608321725732],[0.5184341931697165],[0.5147094947866874],[0.5190756978965042],[0.5124065412743257],[0.5069254471523927],[0.5098268265771394],[0.5056951214181314],[0.5077615607492995],[0.49683442534786637],[0.5069962571753134],[0.5071056555993486],[0.504283721789275],[0.49560861127211314],[0.49296417271736825],[0.4920900163083973],[0.4929826551734811],[0.4916206376977486],[0.4926018027385863],[0.49156030215839347],[0.4906331929239896],[0.48858676658998623],[0.48872563183897794],[0.48089274616524724],[0.4872515655980252],[0.48236607561017025],[0.4834318420674541],[0.48163834686326507],[0.48046921326382325],[0.47916784056342476],[0.48070816444878534],[0.4759805766072604],[0.47562349816360094],[0.4754676151983809],[0.4737743664496016],[0.4643916183769113],[0.4643794115227048],[0.46822966531951826],[0.4691363758970015],[0.4664433781463321],[0.4669492988303156],[0.4573936379782044],[0.4612099475199633],[0.4590748055736617],[0.4579888776977464],[0.4617103350044477],[0.45318172385196875],[0.46259753420801447],[0.46082948015467956],[0.4525329925046109],[0.45672380393094353],[0.4488715461575159],[0.4561025612425096],[0.4534171459698441],[0.4550226156664367],[0.4512902566111914],[0.4471830055855288],[0.4475623800022767],[0.44809560669530735],[0.4468179693316469],[0.4481663689164832],[0.44515929039161983],[0.4429318196702712],[0.44226517830744827],[0.44008920540904056],[0.4461608862522805],[0.43705987251631107],[0.4360420606514015],[0.44047852878523347],[0.4360135997285937],[0.4370730354054139],[0.43930467048493943],[0.43613306986223355],[0.42816056886521897],[0.42453492809050153],[0.4303146178769593],[0.42923102874567015],[0.4314887334804724],[0.4288760332187804],[0.42502400102001603],[0.42187684774398804],[0.4241361862952166],[0.42821990676445537],[0.4275501851398166],[0.42132993381802397],[0.4197969227144034],[0.42226395925672927],[0.4141515027178396],[0.41782715385503105],[0.4155766491842742],[0.41931914752072624],[0.4148680443810944],[0.41493048703316415],[0.41134122456654465],[0.4123860001564026],[0.41219121984916157],[0.4049003711431333],[0.4100870324833558],[0.4120959441850681],[0.4106699898101316],[0.4046991576652716],[0.4043687390218867],[0.40446301468528145],[0.4095795467348382],[0.39851430766653306],[0.40280166858493693],[0.4051900795190641],[0.4017204459350888],[0.3983209596412017],[0.4018386446013309],[0.4029462042421398],[0.40047589357536617],[0.3984808172329818],[0.3960908061206931],[0.3934724546305024],[0.3938747939496937],[0.3901782679085684],[0.394129345027527],[0.39594673726818347],[0.39387231976679055],[0.393334440075525],[0.38401601869280977],[0.38667763341771494],[0.390088818155893],[0.3895503382871647],[0.38612809393665576],[0.38240912851720754],[0.3890649977296886],[0.3800852372504697],[0.38769956892079643],[0.3767973745223319],[0.38704941030776147],[0.3826412257581654],[0.3839257740148223],[0.3829450495172255],[0.3783081542737413],[0.37894573970006246],[0.37551027064276216],[0.3765929763269897]
[0.5978053212165833],[0.5672448873519897],[0.3797391653060913],[0.7118600606918335],[0.47334766387939453],[0.8123782873153687],[0.5633770823478699],[0.4750153422355652],[0.5195680856704712],[0.5670924782752991],[0.7993166446685791],[0.5256589651107788],[0.5340163707733154],[0.6851292848587036],[0.4004398286342621],[0.5752084851264954],[0.35710641741752625],[0.5177765488624573],[0.7759900093078613],[0.5287768840789795],[0.6121255159378052],[0.4878934919834137],[0.6439913511276245],[0.6288430690765381],[0.4520818591117859],[0.4497174620628357],[0.6885913610458374],[0.6635161638259888],[0.46080660820007324],[0.4484957456588745],[0.5972140431404114],[0.7254353761672974],[0.5030754208564758],[0.6768166422843933],[0.35541898012161255],[0.38345664739608765],[0.4767867922782898],[0.6074920892715454],[0.38590189814567566],[0.41045525670051575],[0.48491162061691284],[0.5500262975692749],[0.32966649532318115],[0.32469233870506287],[0.3995109796524048],[0.3476393222808838],[0.39851078391075134],[0.6854806542396545],[0.46766841411590576],[0.5273249745368958],[0.33365315198898315],[0.31129127740859985],[0.3032929301261902],[0.3938741385936737],[0.7236816883087158],[0.4456597864627838],[0.6939937472343445],[0.602573037147522],[0.5039576292037964],[0.5493439435958862],[0.4062547981739044],[0.4455496668815613],[0.42260488867759705],[0.3850710391998291],[0.5575923323631287],[0.35945814847946167],[0.34215226769447327],[0.5971910357475281],[0.45365890860557556],[0.6660928726196289],[0.5708860158920288],[0.4815278947353363],[0.47619134187698364],[0.5354569554328918],[0.42279356718063354],[0.5140901803970337],[0.5934848189353943],[0.5024099946022034],[0.4541274607181549],[0.7129723429679871],[0.40453922748565674],[0.548209011554718],[0.5752856731414795],[0.4214061498641968],[0.332780659198761],[0.7962415218353271],[0.3508555293083191],[0.3094298839569092],[0.35219812393188477],[0.2758125066757202],[0.5711545348167419],[0.6366412043571472],[0.6151537895202637],[0.6907963752746582],[0.31590506434440613],[0.535971999168396],[0.4647420048713684],[0.36878862977027893],[0.3380144238471985],[0.44087880849838257],[0.42747706174850464],[0.485835462808609],[0.7909059524536133],[0.38806256651878357],[0.40249159932136536],[0.5971449017524719],[0.5185338258743286],[0.2629404664039612],[0.35959097743034363],[0.3722514510154724],[0.6136986017227173],[0.5146512985229492],[0.3885997235774994],[0.6496555805206299],[0.4186219573020935],[0.41252580285072327],[0.5569861531257629],[0.3809042274951935],[0.531348466873169],[0.4309948980808258],[0.649716317653656],[0.2934547960758209],[0.45162153244018555],[0.3915974199771881],[0.42511510848999023],[0.581461489200592],[0.5208896398544312],[0.40820980072021484],[0.5035643577575684],[0.49026620388031006],[0.40392759442329407],[0.5391076803207397],[0.9885269403457642],[0.9685818552970886],[0.8243488669395447],[0.42309892177581787],[0.4599030017852783],[0.35454779863357544],[0.3883854150772095],[0.43172940611839294],[0.4190874695777893],[0.46327975392341614],[0.5831170678138733],[0.19247470796108246],[0.6413376331329346],[0.3049207627773285],[0.8950231075286865],[0.4298785626888275],[0.4977817237377167],[0.4658885896205902],[0.34294646978378296],[0.3179723620414734],[0.34009823203086853],[1.2545723915100098],[0.4315152168273926],[0.4889712929725647],[0.37030938267707825],[0.479361355304718],[0.4231577515602112],[0.8688348531723022],[0.6476871967315674],[0.5503706932067871],[0.2680058777332306],[0.3682425916194916],[0.7931281328201294],[0.2386266440153122],[0.8137382864952087],[0.6878960132598877],[0.841836154460907],[0.43147173523902893],[0.6487416625022888],[0.6192341446876526],[0.2715729773044586],[0.4763622283935547],[0.3662261664867401],[0.7060588002204895],[0.5350250601768494],[0.6553196310997009],[0.6401167511940002],[0.7224456667900085],[0.8875705003738403],[0.27969324588775635],[0.5707498788833618],[0.8558067679405212],[0.3355235755443573],[0.30937740206718445],[0.19310612976551056],[0.7897911071777344],[0.41540631651878357],[1.1764469146728516],[0.22674180567264557],[0.42570382356643677],[0.6967662572860718],[0.3585628271102905],[0.8134539127349854],[0.2669449746608734],[0.6313418745994568],[0.6026628613471985],[0.5160561800003052],[0.4852942228317261]
