[0.90534157],[0.8620244],[0.85225624],[0.8516771],[0.845264],[0.8438191],[0.83879846],[0.8341312],[0.8304772],[0.81827056],[0.8064741],[0.82051986],[0.8093938],[0.80522245],[0.8018117],[0.8055997],[0.8029517],[0.7971442],[0.8032606],[0.791379],[0.79214257],[0.7812237],[0.7866626],[0.78582895],[0.77294683],[0.7793666],[0.77453446],[0.7672122],[0.771999],[0.76568794],[0.7619679],[0.76141053],[0.7575386],[0.75026006],[0.7460772],[0.7605898],[0.7481221],[0.75084186],[0.74543315],[0.74221826],[0.74521005],[0.7300369],[0.72568697],[0.74260575],[0.7360817],[0.7250936],[0.7236759],[0.7278504],[0.72782296],[0.71914315],[0.7222877],[0.7177551],[0.7135033],[0.72340375],[0.7119287],[0.7166545],[0.7118978],[0.70812804],[0.70879674],[0.7024618],[0.7028727],[0.7084405],[0.69870275],[0.6981],[0.690475],[0.7003133],[0.703103],[0.6964748],[0.68470997],[0.6892353],[0.68606657],[0.68289405],[0.68332255],[0.679951],[0.6818181],[0.67591184],[0.6819823],[0.67920285],[0.67376274],[0.67332137],[0.6743366],[0.6699681],[0.6772679],[0.6720549],[0.6616723],[0.6637286],[0.6705741],[0.66722137],[0.6638644],[0.65580475],[0.6548205],[0.65789294],[0.646758],[0.6529765],[0.6514076],[0.6559849],[0.6504851],[0.64895993],[0.6424051],[0.6431776],[0.6473861],[0.6449569],[0.63900894],[0.6353096],[0.63756853],[0.63978875],[0.6369644],[0.6408055],[0.6308646],[0.6308544],[0.6274658],[0.6346206],[0.63518554],[0.6295536],[0.62083304],[0.62496436],[0.6229383],[0.6215543],[0.62567127],[0.61615366],[0.6193466],[0.6081123],[0.6134386],[0.61786145],[0.6192456],[0.614112],[0.608865],[0.6090837],[0.6072484],[0.6095315],[0.6066088],[0.6093299],[0.6004429],[0.5984384],[0.5956733],[0.5907998],[0.5951178],[0.5974263],[0.59279],[0.59888625],[0.6053578],[0.59235114],[0.59141356],[0.59119886],[0.5880329],[0.5960676],[0.5917988],[0.5840289],[0.5804098],[0.5824852],[0.57896864],[0.57980466],[0.5713811],[0.58267814],[0.577302],[0.57420886],[0.5700923],[0.57720286],[0.573233],[0.5718054],[0.57602304],[0.5770508],[0.5699964],[0.5681896],[0.56471354],[0.56858325],[0.55940735],[0.5706207],[0.56826854],[0.5650017],[0.5604751],[0.55582654],[0.5593305],[0.56237936],[0.55459815],[0.5590725],[0.554618],[0.55293846],[0.55098045],[0.55399394],[0.5471977],[0.54454434],[0.5493553],[0.5492401],[0.5573905],[0.54736835],[0.5418624],[0.5457931],[0.5442102],[0.5392994],[0.52980167],[0.5325105],[0.5314278],[0.5317683],[0.53444064],[0.52964616],[0.5246209],[0.53172857],[0.53298557],[0.53347063]
[0.804168701171875],[0.7422845363616943],[0.6982195973396301],[0.6839140057563782],[0.697974681854248],[0.6744180917739868],[0.6791558861732483],[0.7150739431381226],[0.6765409111976624],[0.6700265407562256],[0.6616209149360657],[0.6842372417449951],[0.6553592085838318],[0.6916491389274597],[0.6940980553627014],[0.6686233282089233],[0.7105149030685425],[0.6705585718154907],[0.6843618154525757],[0.6882598996162415],[0.6813746094703674],[0.6539636254310608],[0.6824303269386292],[0.6739823222160339],[0.6509565114974976],[0.6777160167694092],[0.6551491618156433],[0.6672818064689636],[0.6773157715797424],[0.6797677874565125],[0.6608659029006958],[0.6725170612335205],[0.667722761631012],[0.6538695096969604],[0.6699764132499695],[0.6780795454978943],[0.6917309165000916],[0.6928449869155884],[0.6808359026908875],[0.6695454120635986],[0.6713570952415466],[0.6604753732681274],[0.6400114893913269],[0.6705359816551208],[0.671088695526123],[0.6664653420448303],[0.6472175717353821],[0.6636478304862976],[0.6956133842468262],[0.6615405678749084],[0.6771153807640076],[0.65668785572052],[0.6329430341720581],[0.6505377888679504],[0.6600038409233093],[0.6409028768539429],[0.6472777128219604],[0.6584867835044861],[0.6622471213340759],[0.6492888927459717],[0.6593300700187683],[0.659347414970398],[0.6453222036361694],[0.6270247101783752],[0.6325848698616028],[0.6491543650627136],[0.623964250087738],[0.6644381284713745],[0.6416330933570862],[0.6309078335762024],[0.6488311290740967],[0.6240020990371704],[0.6237508058547974],[0.6361313462257385],[0.6252318620681763],[0.6278074383735657],[0.6266130805015564],[0.6394957900047302],[0.6455100178718567],[0.6253372430801392],[0.6408829689025879],[0.6475721001625061],[0.6418362259864807],[0.630302369594574],[0.6193217039108276],[0.619537353515625],[0.6254456639289856],[0.6132466793060303],[0.6426280736923218],[0.5991500020027161],[0.6436998248100281],[0.632780134677887],[0.6168974041938782],[0.6331365704536438],[0.6317301988601685],[0.6321429014205933],[0.6171864867210388],[0.6268599033355713],[0.6285548210144043],[0.6304209232330322],[0.6135929226875305],[0.6276006698608398],[0.6131662726402283],[0.6017153263092041],[0.6381024718284607],[0.6451796889305115],[0.6389449238777161],[0.6249130368232727],[0.6172887086868286],[0.6442722082138062],[0.6071235537528992],[0.6277444362640381],[0.6355715990066528],[0.617961049079895],[0.6284173130989075],[0.6164142489433289],[0.6053925156593323],[0.615097165107727],[0.5952549576759338],[0.6254231929779053],[0.6061063408851624],[0.6080904603004456],[0.6311979293823242],[0.6268393397331238],[0.6033559441566467],[0.6025196313858032],[0.6144483685493469],[0.6234438419342041],[0.6058282852172852],[0.5953442454338074],[0.6261276602745056],[0.5994270443916321],[0.592616617679596],[0.5727048516273499],[0.5788848400115967],[0.6170281767845154],[0.6164546608924866],[0.6031607985496521],[0.6236745715141296],[0.6189064383506775],[0.6232633590698242],[0.5851267576217651],[0.6018305420875549],[0.5794011950492859],[0.5902698040008545],[0.5844138860702515],[0.5829313397407532],[0.5945263504981995],[0.5903852581977844],[0.5950394868850708],[0.5880743265151978],[0.5655664205551147],[0.578679084777832],[0.5873824954032898],[0.5793597102165222],[0.5981228947639465],[0.5706090927124023],[0.5814108848571777],[0.5873401761054993],[0.5847826600074768],[0.5779152512550354],[0.5717905759811401],[0.585111141204834],[0.5905340909957886],[0.5724165439605713],[0.5940082669258118],[0.5872277617454529],[0.5821194052696228],[0.5830702781677246],[0.5766924619674683],[0.5500723123550415],[0.5786675810813904],[0.5819653272628784],[0.5733988285064697],[0.5725951790809631],[0.5768826007843018],[0.5744746327400208],[0.539445161819458],[0.5669735074043274],[0.5598626732826233],[0.5498223304748535],[0.570613443851471],[0.5635806918144226],[0.5572329163551331],[0.5631219744682312],[0.5617265105247498],[0.5499879121780396],[0.5625559091567993],[0.5474528074264526],[0.5655925273895264],[0.5595228672027588],[0.5581051111221313],[0.5672206282615662],[0.5476006865501404],[0.5463192462921143],[0.5656542778015137],[0.5607147216796875],[0.5490451455116272],[0.5513486266136169],[0.5437296628952026]
[0.8357532779769142],[0.7482049447475093],[0.7182662451621329],[0.6986103069664228],[0.6856237419761053],[0.6749327914549572],[0.6641521436153072],[0.6573858703717147],[0.6471405406989673],[0.6409246720890007],[0.6257107777170615],[0.6351349200352584],[0.6234482827753124],[0.6180165592986758],[0.6173314369551026],[0.6172974705696106],[0.6146548216295714],[0.6084899486291526],[0.6105936255195353],[0.600162511119748],[0.6006814861061549],[0.5927442627968175],[0.5967365665601032],[0.5929474497195517],[0.5843621949748238],[0.5883935368297124],[0.5812411913187197],[0.5801219423808673],[0.582805325489233],[0.573616894164888],[0.5744163402826479],[0.5728202423836926],[0.5688195647579608],[0.5628597736358643],[0.5613912701016606],[0.5709810280563807],[0.5617959003637333],[0.5586199807648612],[0.5596816884999228],[0.5536073809212977],[0.5555098357767162],[0.5441919461925431],[0.5424364808172283],[0.5582356981121668],[0.5491612698182021],[0.538928633574212],[0.5386525590230923],[0.5429184377783596],[0.5405525196306776],[0.5338402425888742],[0.5383448981412566],[0.5300841443609483],[0.531201984622691],[0.5360267301007072],[0.5273755868472675],[0.5294285717577037],[0.5277009458825139],[0.5242843250236889],[0.5225844247506397],[0.5211570897314808],[0.5200384654621086],[0.5224264491312575],[0.5128724462915175],[0.5132269458015366],[0.5096869692944064],[0.5148609498939892],[0.5186916716618113],[0.5103832937703274],[0.5034819507952963],[0.5091646555626747],[0.5040233701762586],[0.5013578764282831],[0.5018263866405676],[0.49943899754250404],[0.4980477165467668],[0.4950732919249204],[0.4990631374392179],[0.4970253030262371],[0.4943809904674492],[0.4917158605438648],[0.49539863296074443],[0.48786636862424343],[0.4927598556669632],[0.4909045536919395],[0.4830789654561789],[0.4838673773378429],[0.49002022229798947],[0.48552780428735337],[0.48254926251893],[0.4774077584837923],[0.4722925852430929],[0.4803098673277562],[0.4671711603013596],[0.47543616932217436],[0.47398728279784175],[0.47807329834097684],[0.4695429459656819],[0.46930675046278697],[0.468498818650104],[0.46539798821553147],[0.46863561367044354],[0.4668252969732379],[0.4633499071149543],[0.45818575892117946],[0.46342395142753523],[0.46347907185554504],[0.46017763313680593],[0.4627687603530317],[0.45453677938716247],[0.4569232873987443],[0.4519223671148319],[0.4574405028678403],[0.45877273749597003],[0.4533031069406188],[0.44669371695801763],[0.4515341779973247],[0.44874083081094346],[0.44652360441661115],[0.45156973482358576],[0.44192454986052937],[0.44711782436559694],[0.4348580291365633],[0.44255488963410405],[0.4446277762993728],[0.44514952673770414],[0.44102837838748893],[0.4376578115590728],[0.43655553401106656],[0.4375994305799503],[0.4397220104047568],[0.43436400164471994],[0.437164579287614],[0.4299286975718961],[0.4281406892408239],[0.4286466382517673],[0.42488227179735016],[0.42629533917597023],[0.4295827917533346],[0.42475466976071347],[0.4294682077252039],[0.43317440093153775],[0.4237497369251629],[0.42448858931513117],[0.4232583447258071],[0.4201696461970263],[0.4253467976456822],[0.42177991082172583],[0.413936707052854],[0.4135212319912297],[0.41522206262786787],[0.4145053970341635],[0.41384092799507743],[0.40982571008181806],[0.4179897408674259],[0.41054798116778385],[0.41033936904208496],[0.40783241037094947],[0.41299734375264385],[0.4094415911943606],[0.4067613393953531],[0.41185882392496165],[0.4133122445333122],[0.40568354489779707],[0.40547094840814574],[0.40337315467324586],[0.404557337560276],[0.3987485964109402],[0.4078020707215413],[0.40590590710687163],[0.40366207491053213],[0.39661770763963755],[0.39705742851342307],[0.39988627292142054],[0.4006485189541732],[0.394992322319805],[0.3981003460317555],[0.3961815379633762],[0.3937528316337283],[0.39328214172089454],[0.3930855614714103],[0.38901918418336623],[0.38799436936284054],[0.3912767481685865],[0.3919346609918198],[0.3977778468391683],[0.38936617557365116],[0.38567417476436877],[0.3903766345269609],[0.3858418922023018],[0.38506702680398924],[0.37625327558800725],[0.3805959605344451],[0.37844984425176487],[0.3790228000961908],[0.38045992591593525],[0.37905778861281897],[0.3729648112070442],[0.3804319123230358],[0.3813902219333271],[0.3805491744291664]
[0.5027890801429749],[0.719910740852356],[0.3713022470474243],[0.5541439056396484],[0.31956908106803894],[0.44308021664619446],[0.27915722131729126],[0.6605124473571777],[0.3100234568119049],[0.7037225365638733],[0.43089932203292847],[0.5308026075363159],[0.8104828596115112],[0.5464584827423096],[0.5437503457069397],[0.4531252980232239],[0.5422945618629456],[0.35798823833465576],[0.5230899453163147],[0.5479766130447388],[0.4734128713607788],[0.6237697601318359],[0.5431622862815857],[0.546097457408905],[0.33756130933761597],[0.6676727533340454],[0.5447412133216858],[0.5245414972305298],[0.42229822278022766],[0.6397063136100769],[0.3183230459690094],[0.46005600690841675],[0.3283766210079193],[0.4857085943222046],[0.7377786636352539],[0.6612886786460876],[0.5480610132217407],[0.5015926361083984],[0.5754299759864807],[0.3675861656665802],[0.5184919238090515],[0.510744571685791],[0.5614266395568848],[0.4918001592159271],[0.6097697615623474],[0.278926819562912],[0.5536601543426514],[0.48724234104156494],[0.4653453230857849],[0.5448178648948669],[0.3368281424045563],[0.36644306778907776],[0.49978160858154297],[0.420207679271698],[0.7373751401901245],[0.4726998805999756],[0.8101993203163147],[0.5192175507545471],[0.599280834197998],[0.5676305294036865],[0.413899689912796],[0.7480838894844055],[0.5061090588569641],[0.4163988530635834],[0.4859771430492401],[0.2993163466453552],[0.5158537030220032],[0.5697583556175232],[0.43483224511146545],[0.7758622169494629],[0.4070543944835663],[0.8213874101638794],[0.39501798152923584],[0.29020974040031433],[0.4595354497432709],[0.8611825704574585],[0.31276682019233704],[0.3255113661289215],[0.4247218370437622],[0.45588281750679016],[0.6755689382553101],[0.5095310807228088],[0.4396611154079437],[0.3024373948574066],[0.6349118947982788],[0.5366775393486023],[0.24790361523628235],[0.4251693785190582],[0.2977675497531891],[0.3962801694869995],[0.5420859456062317],[0.4614280164241791],[0.4383266270160675],[0.3600011169910431],[0.601978600025177],[0.2522573471069336],[0.44655561447143555],[0.9099500179290771],[0.5416675806045532],[0.34097474813461304],[0.8266071081161499],[0.6589376330375671],[0.3244852125644684],[0.6671757698059082],[0.3967219889163971],[0.4114764332771301],[0.3842927813529968],[0.7534641027450562],[0.6041160821914673],[0.7507803440093994],[0.25997403264045715],[0.42402878403663635],[0.3798595368862152],[0.38525766134262085],[0.3241732120513916],[0.34534716606140137],[0.9440225958824158],[0.2797183096408844],[0.26242613792419434],[0.36937642097473145],[0.7394405007362366],[0.5985417366027832],[0.7113062143325806],[0.5462663173675537],[0.4388214945793152],[0.4434058368206024],[0.44019004702568054],[0.23434145748615265],[0.2516259253025055],[0.5936316847801208],[0.34748104214668274],[0.9230861067771912],[0.4407837986946106],[0.27900224924087524],[0.20526091754436493],[0.34565556049346924],[0.9135231971740723],[0.23994050920009613],[0.3252323865890503],[0.6633234620094299],[0.5231721997261047],[0.4699530005455017],[0.6470134258270264],[0.3552197217941284],[0.2549517750740051],[0.7345229983329773],[0.4571591317653656],[0.4870834946632385],[0.3551466464996338],[0.24981904029846191],[0.6357528567314148],[0.6411966681480408],[0.3064175546169281],[0.6821511387825012],[0.38860398530960083],[0.4129687547683716],[0.42278775572776794],[0.38173091411590576],[0.29780474305152893],[0.4277316629886627],[0.6679697632789612],[0.5395992398262024],[1.0715599060058594],[0.6760981678962708],[0.6655316948890686],[0.4667908251285553],[0.33943042159080505],[0.5458437204360962],[0.5253347754478455],[0.5045227408409119],[0.8219205737113953],[0.2858867049217224],[0.5053961873054504],[0.2267410308122635],[0.706579864025116],[0.36046648025512695],[1.0127209424972534],[0.4492257535457611],[0.4002707004547119],[0.4035266935825348],[0.3246151804924011],[0.3970817029476166],[0.2912115156650543],[0.31289973855018616],[0.5115165114402771],[0.5249770283699036],[0.31384459137916565],[0.5369705557823181],[0.7985782027244568],[1.2491923570632935],[0.5169317722320557],[0.32597631216049194],[0.43748417496681213],[0.44026559591293335],[0.27177029848098755],[0.7939578890800476],[0.3561895489692688],[0.48053035140037537],[0.26314324140548706],[0.3188230097293854]
