[0.8064679],[0.7412673],[0.7198994],[0.7001126],[0.69574326],[0.687738],[0.67623276],[0.6700657],[0.65640604],[0.6596946],[0.6543473],[0.63934016],[0.6427213],[0.6267246],[0.6237464],[0.6234471],[0.6127632],[0.61445934],[0.6112678],[0.6104601],[0.60461366],[0.59697753],[0.59996456],[0.5907593],[0.5911587],[0.58795404],[0.5825427],[0.5793707],[0.572488],[0.57450575],[0.5752875],[0.5645677],[0.5633032],[0.56783825],[0.5665199],[0.5635193],[0.5545183],[0.55743366],[0.55421996],[0.5549552],[0.54987],[0.5432918],[0.5504515],[0.5432533],[0.5448637],[0.5361181],[0.54274565],[0.5341504],[0.5336589],[0.5270158],[0.52420413],[0.5303745],[0.5206141],[0.52200043],[0.5222702],[0.52771467],[0.5223902],[0.5296229],[0.515677],[0.51384175],[0.513162],[0.51566285],[0.51136404],[0.50891083],[0.5060639],[0.5026238],[0.50248295],[0.50035745],[0.5011276],[0.50152516],[0.5028194],[0.503075],[0.48972872],[0.49472684],[0.49198607],[0.49581456],[0.48479468],[0.4896802],[0.4834948],[0.4798523],[0.48380736],[0.48305684],[0.48163304],[0.47930554],[0.47431597],[0.46945423],[0.47422817],[0.4681141],[0.4743068],[0.47102052],[0.4683241],[0.46618703],[0.4609419],[0.46522385],[0.46752167],[0.4636469],[0.46136767],[0.4645105],[0.46339837],[0.45774236],[0.45561182],[0.45104456],[0.4551525],[0.4527113],[0.45457536],[0.45161444],[0.45173243],[0.44454417],[0.4442938],[0.4526777],[0.4404756],[0.4429393],[0.44595447],[0.44226888],[0.44449803],[0.44422734],[0.44502708],[0.4402236],[0.44065142],[0.43658605],[0.43093297],[0.43797153],[0.43344593],[0.43133026],[0.43126804],[0.42981514],[0.42804486],[0.42828873],[0.42708683],[0.4292281],[0.42349896],[0.42493418],[0.4184055],[0.42680088],[0.41739908],[0.4204332],[0.41194865],[0.4195012],[0.4138177],[0.40487504],[0.41232365],[0.41687065],[0.41600698],[0.41101584],[0.4063542],[0.40746194],[0.40130824],[0.4012571],[0.40763572],[0.4011364],[0.40250093],[0.40519574],[0.40306425],[0.3970976],[0.39995795],[0.40066072],[0.39511427],[0.39056283],[0.39545292],[0.38797405],[0.386087],[0.38408494],[0.3908034],[0.38285086],[0.3853655],[0.3837592],[0.3842964],[0.3824339],[0.38016257],[0.3840712],[0.3864941],[0.3768797],[0.3860549],[0.3780641],[0.37762308],[0.3788576],[0.38160455],[0.37312698],[0.37048966],[0.3680595],[0.37106183],[0.3746274],[0.3700045],[0.36209098],[0.3670196],[0.36841786],[0.36614028],[0.36014634],[0.36683798],[0.36187896],[0.36130425],[0.36552697],[0.35942927],[0.3622334],[0.3607623],[0.36144796],[0.3585117],[0.35291415],[0.35368934],[0.35555393]
[0.7143452763557434],[0.6947358846664429],[0.6548831462860107],[0.6678388118743896],[0.688510000705719],[0.6127336621284485],[0.6684553623199463],[0.60601407289505],[0.6721535921096802],[0.6367398500442505],[0.6971240043640137],[0.6299649477005005],[0.6222257018089294],[0.6512178182601929],[0.632989227771759],[0.5904140472412109],[0.6533613204956055],[0.623167872428894],[0.6320293545722961],[0.6518163681030273],[0.6338767409324646],[0.6376733183860779],[0.6462212204933167],[0.6452047824859619],[0.58299720287323],[0.6466255784034729],[0.6278385519981384],[0.6056512594223022],[0.6093278527259827],[0.5995256900787354],[0.5818248987197876],[0.5926733016967773],[0.5812695026397705],[0.6309309601783752],[0.6150480508804321],[0.605928897857666],[0.6253700256347656],[0.6111853718757629],[0.5938288569450378],[0.5753981471061707],[0.5780472159385681],[0.5740275382995605],[0.5689342021942139],[0.6463584899902344],[0.6015170216560364],[0.5820505619049072],[0.6021157503128052],[0.5967738032341003],[0.5912283062934875],[0.5566685199737549],[0.6208550333976746],[0.592960774898529],[0.5460519194602966],[0.5627154111862183],[0.5998281836509705],[0.592867910861969],[0.5793850421905518],[0.6208597421646118],[0.5728374719619751],[0.582305908203125],[0.6097671389579773],[0.5615938305854797],[0.5698798298835754],[0.5796188116073608],[0.5976903438568115],[0.5557124614715576],[0.5577319264411926],[0.5464943647384644],[0.552834153175354],[0.575011670589447],[0.5625687837600708],[0.5475439429283142],[0.550527036190033],[0.5612708330154419],[0.6058794856071472],[0.5185592174530029],[0.5546873211860657],[0.5876688361167908],[0.5629710555076599],[0.5438852906227112],[0.5327025055885315],[0.5688554644584656],[0.5834789872169495],[0.5737243294715881],[0.579892098903656],[0.5302067995071411],[0.5401517152786255],[0.5237217545509338],[0.5365790128707886],[0.5387876629829407],[0.5235205292701721],[0.5569350123405457],[0.5449154376983643],[0.5229236483573914],[0.5376952290534973],[0.5412067174911499],[0.532520592212677],[0.5436229705810547],[0.5244213342666626],[0.5257613062858582],[0.5650106072425842],[0.5539623498916626],[0.5713330507278442],[0.5291008949279785],[0.539067268371582],[0.5255810618400574],[0.5037009119987488],[0.5250277519226074],[0.5608651041984558],[0.5421862006187439],[0.5253128409385681],[0.5142339468002319],[0.5437110066413879],[0.5311834812164307],[0.4973575472831726],[0.5199733972549438],[0.5449462532997131],[0.5514411330223083],[0.5393999814987183],[0.5146827101707458],[0.5383231043815613],[0.5137024521827698],[0.51413494348526],[0.48457014560699463],[0.567366898059845],[0.5178803205490112],[0.5279845595359802],[0.5146822929382324],[0.4893547296524048],[0.53681480884552],[0.5228009819984436],[0.5212581157684326],[0.5266534090042114],[0.5160025954246521],[0.4906677305698395],[0.5032749772071838],[0.49250510334968567],[0.5075398683547974],[0.5192574858665466],[0.514005184173584],[0.48487740755081177],[0.5133780241012573],[0.5134277939796448],[0.5273439288139343],[0.5275540351867676],[0.5430225133895874],[0.4881259500980377],[0.48976507782936096],[0.48591089248657227],[0.48847076296806335],[0.5255576968193054],[0.5035865306854248],[0.49347984790802],[0.4894358515739441],[0.5069082379341125],[0.495173841714859],[0.48070529103279114],[0.49215999245643616],[0.4612622559070587],[0.47226282954216003],[0.4833475649356842],[0.4526021182537079],[0.47768285870552063],[0.4766160845756531],[0.4764173626899719],[0.459283709526062],[0.4663136899471283],[0.4661967158317566],[0.4474599361419678],[0.4416297376155853],[0.4909752309322357],[0.48242342472076416],[0.4598119258880615],[0.4721548557281494],[0.48649370670318604],[0.4721425473690033],[0.45344674587249756],[0.466002881526947],[0.45445993542671204],[0.4489099979400635],[0.4767536222934723],[0.43810001015663147],[0.4457738995552063],[0.4567335844039917],[0.45718657970428467],[0.4683449864387512],[0.4404957890510559],[0.4723944365978241],[0.44841912388801575],[0.4555060863494873],[0.4533405900001526],[0.447182834148407],[0.45395427942276],[0.460245281457901],[0.46451863646507263],[0.4431571066379547],[0.4520219564437866],[0.4292771518230438],[0.44264769554138184],[0.4322361648082733]
[0.7690866037925578],[0.6531931787544156],[0.6161858604191253],[0.5895071786753139],[0.5786452928315038],[0.5647274894373757],[0.5543921582447076],[0.5449378018423637],[0.5364598496730283],[0.5352003072729762],[0.5299512642140715],[0.5148177929916737],[0.517395209821855],[0.5088496404404966],[0.5000143584257327],[0.5003381282646463],[0.4942192935055087],[0.4914480819835426],[0.4924886393250886],[0.49059172317108013],[0.48207988557608233],[0.48006516602468785],[0.4770255514553615],[0.47233351972532567],[0.4713143221339824],[0.47073201159512773],[0.4648584316235892],[0.45932345777194694],[0.4569315384633793],[0.45736644541995125],[0.45597027436546655],[0.4477128599371229],[0.4508236751238011],[0.4516276335864334],[0.4497819203212394],[0.44747878203851094],[0.43869739289609544],[0.43976360013396104],[0.43995405779862257],[0.437764692195454],[0.43569339117648437],[0.42765619943601],[0.43371265367691564],[0.4282354557921427],[0.42798364495638735],[0.42220530635821896],[0.4287453861155125],[0.41810604115450606],[0.41838393661176193],[0.41083236316346233],[0.41143189805635016],[0.4154056380069034],[0.4092530932115472],[0.41005640824018796],[0.41120088877885236],[0.41103253138731727],[0.408007891466899],[0.4140014638256582],[0.3984498854564584],[0.4005701646486424],[0.40099098871213307],[0.40225058914341544],[0.39654196224967886],[0.39459992982215764],[0.3950024357308512],[0.38946258984737514],[0.3910296021596245],[0.3857492106671659],[0.3917478770943162],[0.3900710207334957],[0.38742214515342477],[0.38669245259732193],[0.38052877635689253],[0.38074942562520875],[0.3816051429473095],[0.38087195824392095],[0.37432737019121276],[0.3788574381459574],[0.371496850289173],[0.3711086748549657],[0.37359936655678366],[0.37244428814568137],[0.36862488266844184],[0.36768817013094884],[0.36292620373438605],[0.3617588890635449],[0.36479938391202726],[0.3620186003839007],[0.3640714794027139],[0.36134611292285207],[0.3579641446378661],[0.35805146618289235],[0.35117198341751693],[0.3560532335168827],[0.3583567620064161],[0.353484010937051],[0.35288340862123124],[0.354530886926266],[0.35124532424885296],[0.3510581435439009],[0.3472526178967138],[0.3439398304275844],[0.345378645828792],[0.34686597061823615],[0.34789706109473423],[0.34189184768969966],[0.3440661491444392],[0.33737786919433876],[0.33891810837739744],[0.3445471492798432],[0.3326075027077835],[0.33623388104187035],[0.3379619894375712],[0.3358948311265211],[0.3368939766602487],[0.3390383049382927],[0.3368050849400692],[0.33365494688475356],[0.33326478746737015],[0.3268864159443364],[0.32653227031971355],[0.33012333475284694],[0.3257574434421077],[0.32605229447717254],[0.32690400329435837],[0.32438670080270826],[0.32253154482900726],[0.3225176403796451],[0.3218289782171664],[0.32481334585210553],[0.31809254249800806],[0.31920556483431634],[0.3161376391693672],[0.32154625246983876],[0.3123126973091445],[0.3162205657048255],[0.3079248117919294],[0.31726170160015177],[0.3098475698913847],[0.3053794083943278],[0.3102342851969026],[0.31260528910604324],[0.3127817742943023],[0.3093506227368894],[0.3060562565274861],[0.30530537340952],[0.3004685337684169],[0.30344737936621125],[0.30442904611551985],[0.3029157771086841],[0.30096750507443587],[0.30433510817726206],[0.3025728267912539],[0.2967685574885481],[0.29959262888994276],[0.299594447479485],[0.2964605118917382],[0.29334176290109293],[0.2951032958045509],[0.2907057474859013],[0.2882542242729886],[0.28776375116398617],[0.2935092212250514],[0.28618220429612984],[0.2889363391799216],[0.2872411161661148],[0.28800808106149944],[0.2864379058158176],[0.2847051580685266],[0.28997900239799335],[0.2892587399630813],[0.2838872804404786],[0.2877079366897204],[0.28175252046644317],[0.2822698710127647],[0.28249716083085313],[0.2875348529460267],[0.2787180335625358],[0.27538514414929455],[0.2749611438246247],[0.27899003787810756],[0.28093074928529516],[0.2769798954821521],[0.270019546243715],[0.2753114799349945],[0.27701119504730154],[0.2737168333730342],[0.26940967026889695],[0.2756980794557133],[0.27109621243077037],[0.2696880913854386],[0.2735648308851704],[0.2676822283068059],[0.27036021483240663],[0.2692206090096361],[0.26846997689756547],[0.26909874490699415],[0.263268942788521],[0.26492804066735026],[0.266225401011313]
[0.42652544379234314],[0.6885311007499695],[0.6222102642059326],[0.8058959245681763],[0.3320840299129486],[0.7553229928016663],[0.4423118829727173],[0.4403965473175049],[0.31916704773902893],[0.29913946986198425],[0.39468684792518616],[0.42098939418792725],[0.44494760036468506],[0.3244306147098541],[0.4435398280620575],[0.6890476942062378],[0.36803391575813293],[0.35397741198539734],[0.3365366458892822],[0.33916836977005005],[0.5445736646652222],[0.5701022744178772],[0.5235941410064697],[0.663475513458252],[0.5623166561126709],[0.3328295946121216],[0.44936683773994446],[0.3617801368236542],[0.4752517342567444],[0.25310349464416504],[0.6227861046791077],[0.4640319347381592],[0.39618051052093506],[0.39625924825668335],[0.33254456520080566],[0.3081786334514618],[0.5642387866973877],[0.8654534220695496],[0.39708349108695984],[0.5603870749473572],[0.5093969702720642],[0.4096517264842987],[0.6556901931762695],[0.3187564015388489],[0.40779879689216614],[0.31455734372138977],[0.3295743465423584],[0.35559847950935364],[0.4274100065231323],[0.6409628987312317],[0.5814873576164246],[0.4415454864501953],[0.380749374628067],[0.4554491341114044],[0.40278682112693787],[0.6007753610610962],[0.4294244349002838],[0.3659886121749878],[0.5407207608222961],[0.3600512742996216],[0.3368435800075531],[0.4010501503944397],[0.34759265184402466],[0.6492528915405273],[0.4749867022037506],[0.39106863737106323],[0.23106986284255981],[0.5461050271987915],[0.21152694523334503],[0.7420593500137329],[0.591810405254364],[0.2598469853401184],[0.2692106366157532],[0.28767701983451843],[0.4859813153743744],[0.5522736310958862],[0.23069103062152863],[0.5938871502876282],[0.40237659215927124],[0.5749979019165039],[0.8315273523330688],[0.46397969126701355],[0.3284274637699127],[0.39684849977493286],[0.5403438210487366],[0.5646458864212036],[0.4442013204097748],[0.48248475790023804],[0.6181913018226624],[0.20813044905662537],[0.2831875681877136],[0.2380966693162918],[0.5846467614173889],[0.7482571005821228],[0.23537372052669525],[0.5515355467796326],[0.31644827127456665],[0.2038162797689438],[0.3310416340827942],[0.2938307523727417],[0.31878575682640076],[0.39045727252960205],[0.5400019884109497],[0.42239272594451904],[0.8127878904342651],[0.8622276186943054],[0.5243734121322632],[0.38409528136253357],[0.39767229557037354],[0.49682167172431946],[0.48498010635375977],[0.4411536753177643],[0.34772732853889465],[0.33843913674354553],[0.20008285343647003],[0.6872537136077881],[1.1010328531265259],[0.5100188255310059],[0.8320295810699463],[0.6801116466522217],[0.36086079478263855],[0.21099548041820526],[0.5160025954246521],[0.7249768376350403],[0.6026444435119629],[0.6512000560760498],[0.32636144757270813],[0.4155791103839874],[0.3174489736557007],[0.5637004971504211],[0.7444764375686646],[0.6809434294700623],[0.5432732105255127],[0.9652608036994934],[0.29515743255615234],[0.5639839172363281],[0.21305155754089355],[0.8956619501113892],[0.35427385568618774],[0.3108900487422943],[0.29706525802612305],[0.5060049295425415],[0.32595154643058777],[0.273490309715271],[0.9137416481971741],[0.33379489183425903],[0.6499374508857727],[0.4975925087928772],[0.5726141333580017],[0.2889811098575592],[0.6850283145904541],[0.7244011759757996],[0.16524066030979156],[0.3130265772342682],[0.3627654016017914],[0.4884324073791504],[0.44070833921432495],[1.0962544679641724],[0.2875687777996063],[0.4530124366283417],[0.16374875605106354],[0.7846525311470032],[0.26331597566604614],[0.8395795822143555],[0.3511545658111572],[0.2548028528690338],[0.32213732600212097],[0.5227580070495605],[0.7139436602592468],[0.8763540387153625],[0.7942797541618347],[0.2987004816532135],[0.22473002970218658],[0.1892361342906952],[0.7085658311843872],[0.5823794007301331],[0.16167163848876953],[0.383012592792511],[1.3385769128799438],[0.48083189129829407],[0.8946329951286316],[0.8079615831375122],[0.14797598123550415],[0.19172069430351257],[0.2284785658121109],[0.658643364906311],[0.8661494255065918],[0.5144059658050537],[0.92621910572052],[0.38759520649909973],[0.9291144609451294],[1.263143539428711],[0.6036890745162964],[0.7676979899406433],[0.5314226150512695],[0.3343529999256134],[0.6290530562400818],[0.5447756052017212],[0.538981020450592],[1.1639219522476196]
