[0.85857624],[0.7707434],[0.7477852],[0.7297427],[0.71703523],[0.70568806],[0.6936456],[0.6909613],[0.679313],[0.67424434],[0.67461586],[0.66653866],[0.6606187],[0.6564013],[0.64879405],[0.64472586],[0.640027],[0.6394879],[0.6295203],[0.632393],[0.6282683],[0.6238773],[0.62669915],[0.6233901],[0.6161236],[0.61609936],[0.61589414],[0.61053354],[0.60219395],[0.60074866],[0.5983909],[0.59637445],[0.58495724],[0.5863034],[0.58856195],[0.5926751],[0.58163035],[0.5769507],[0.5796322],[0.57913935],[0.5695398],[0.5669018],[0.56940424],[0.5678733],[0.566691],[0.5627322],[0.56364393],[0.55743355],[0.5542829],[0.55258906],[0.55246186],[0.5559375],[0.55692494],[0.5477629],[0.5493408],[0.54711735],[0.5464533],[0.53846383],[0.54138994],[0.5350761],[0.53254277],[0.53822356],[0.53612876],[0.5310328],[0.52885765],[0.5322616],[0.5255195],[0.5293043],[0.53282285],[0.52616096],[0.52014774],[0.52336466],[0.5190742],[0.5151151],[0.51330787],[0.51473],[0.51384306],[0.5177687],[0.5167734],[0.5057114],[0.50801283],[0.5105802],[0.5066476],[0.50771064],[0.502832],[0.5033997],[0.5095676],[0.49958616],[0.5055619],[0.50015515],[0.49805602],[0.4957879],[0.4969872],[0.49834839],[0.49384677],[0.49568984],[0.4945826],[0.49509075],[0.48637038],[0.48883095],[0.4920995],[0.48937184],[0.48705047],[0.48679927],[0.485184],[0.48341453],[0.48086756],[0.4856717],[0.47734746],[0.4839324],[0.48143643],[0.47701457],[0.47622296],[0.47421324],[0.4728541],[0.480015],[0.46872544],[0.4734785],[0.47199276],[0.47217536],[0.46765226],[0.47394615],[0.47122765],[0.4659261],[0.46952763],[0.46594417],[0.4663981],[0.46714002],[0.46431845],[0.46372655],[0.4660904],[0.46164772],[0.4590564],[0.4608273],[0.4615476],[0.4565651],[0.4592178],[0.45938337],[0.45830116],[0.45877564],[0.45347127],[0.45326436],[0.45666397],[0.455902],[0.45254937],[0.44978553],[0.45403385],[0.44695675],[0.44635254],[0.4475529],[0.44512746],[0.4490627],[0.44739717],[0.43773532],[0.44948936],[0.44314128],[0.4427074],[0.4441069],[0.43986005],[0.44239268],[0.43567774],[0.4366765],[0.43447012],[0.43718758],[0.43605772],[0.43875515],[0.436379],[0.4380685],[0.43779063],[0.433994],[0.43396893],[0.4345851],[0.43353713],[0.42876926],[0.43435305],[0.4265876],[0.42910945],[0.42954457],[0.4259685],[0.4282877],[0.426757],[0.42400327],[0.42654273],[0.42042702],[0.42723563],[0.42589667],[0.42297512],[0.4214619],[0.42352158],[0.42182744],[0.42100796],[0.42034245],[0.4180668],[0.42124712],[0.41473585],[0.41451022],[0.41361317],[0.41578892],[0.4151071],[0.41637728]
[1.1897146701812744],[0.9155811667442322],[0.7662881016731262],[0.7253182530403137],[0.7416251301765442],[0.7166118621826172],[0.717716634273529],[0.7615384459495544],[0.7287928462028503],[0.7254889011383057],[0.7435652613639832],[0.7341428399085999],[0.743840754032135],[0.74826580286026],[0.7069793939590454],[0.7239030003547668],[0.710932731628418],[0.7041390538215637],[0.7494503855705261],[0.7118256688117981],[0.7024859189987183],[0.7239540815353394],[0.7311598062515259],[0.706895649433136],[0.7195547223091125],[0.7106031179428101],[0.6878296732902527],[0.7333040237426758],[0.6821945309638977],[0.6934566497802734],[0.7158822417259216],[0.6780707836151123],[0.6941584348678589],[0.7313059568405151],[0.7022372484207153],[0.7093310356140137],[0.7280380725860596],[0.6912097334861755],[0.6903836727142334],[0.6898636221885681],[0.6665995717048645],[0.6910638809204102],[0.6994680166244507],[0.670497715473175],[0.6965716481208801],[0.6766957640647888],[0.7004938721656799],[0.6908024549484253],[0.6801349520683289],[0.6993705630302429],[0.6780827641487122],[0.6823021769523621],[0.6808589696884155],[0.6704626083374023],[0.6913461685180664],[0.6953660249710083],[0.6741062998771667],[0.678412139415741],[0.6775895953178406],[0.6578823924064636],[0.687584638595581],[0.7018676996231079],[0.6559202671051025],[0.684735119342804],[0.6789309978485107],[0.6611250638961792],[0.6760044097900391],[0.677051305770874],[0.6457633972167969],[0.6516409516334534],[0.6893758177757263],[0.7017869353294373],[0.657002329826355],[0.6769667267799377],[0.6647240519523621],[0.6852589845657349],[0.6878904104232788],[0.6739150881767273],[0.6664459705352783],[0.6820864677429199],[0.6904604434967041],[0.6651649475097656],[0.6738051176071167],[0.6716759204864502],[0.6645841002464294],[0.6747460961341858],[0.6875317692756653],[0.6518690586090088],[0.6602036952972412],[0.6484972834587097],[0.6728352904319763],[0.6562764048576355],[0.664096474647522],[0.6732662320137024],[0.6524538993835449],[0.6695481538772583],[0.6520559787750244],[0.6412714123725891],[0.6487993597984314],[0.6703799366950989],[0.6769278049468994],[0.6750972867012024],[0.6908007264137268],[0.6792222261428833],[0.6554187536239624],[0.6565160155296326],[0.6591587662696838],[0.6555614471435547],[0.6421989798545837],[0.6380797624588013],[0.6820723414421082],[0.6479753255844116],[0.6595575213432312],[0.6538922786712646],[0.6360927820205688],[0.6272756457328796],[0.6320607662200928],[0.6364794373512268],[0.6372178196907043],[0.6533384323120117],[0.6659602522850037],[0.6768364906311035],[0.6411004066467285],[0.6698901653289795],[0.6737416982650757],[0.666609525680542],[0.6738641262054443],[0.6530258655548096],[0.649053692817688],[0.635079562664032],[0.6692859530448914],[0.651221513748169],[0.6254602670669556],[0.6528884768486023],[0.6538514494895935],[0.6341602206230164],[0.6576555371284485],[0.6466171741485596],[0.6433033347129822],[0.6299102306365967],[0.637155294418335],[0.6602028012275696],[0.6447953581809998],[0.6273380517959595],[0.6504606604576111],[0.6266771554946899],[0.6411257982254028],[0.6480973958969116],[0.6341054439544678],[0.64217609167099],[0.6539570689201355],[0.6253021955490112],[0.626981258392334],[0.6517928838729858],[0.6317671537399292],[0.6445176601409912],[0.6232998967170715],[0.6384679675102234],[0.6437360048294067],[0.6504179239273071],[0.632072389125824],[0.6048088669776917],[0.6591001152992249],[0.6324324607849121],[0.6394124627113342],[0.6335564851760864],[0.647253155708313],[0.6451873779296875],[0.6513389348983765],[0.6248189806938171],[0.6198123097419739],[0.6340470910072327],[0.6473422646522522],[0.6365320682525635],[0.606188178062439],[0.6135510206222534],[0.6503335237503052],[0.6138719320297241],[0.6435202360153198],[0.6351162195205688],[0.6198460459709167],[0.6370593905448914],[0.6519675850868225],[0.6345754265785217],[0.6319489479064941],[0.6600481271743774],[0.6171839237213135],[0.6281131505966187],[0.6163671016693115],[0.5870892405509949],[0.6347452402114868],[0.6404480934143066],[0.6183615326881409],[0.6448217630386353],[0.6282451748847961],[0.6265524625778198],[0.622912585735321],[0.6130503416061401],[0.6271713972091675],[0.6636287569999695]
[0.8933599767861543],[0.7323189543353187],[0.6734665731588999],[0.6394990550147163],[0.617281033485024],[0.5999736355410682],[0.5854299620345786],[0.5778691305054559],[0.565405312511656],[0.5583177484847881],[0.5596795496013429],[0.5478471015338544],[0.5411867068873512],[0.540846989662559],[0.5295883516470591],[0.5248436193775248],[0.5239171810724117],[0.5207282028816365],[0.5154416588721452],[0.5144094609551959],[0.5106631285614438],[0.5086443744323872],[0.5064038623262335],[0.5078377922375997],[0.5021545307503806],[0.49763361281818813],[0.49850064350499046],[0.4939125285104469],[0.48930507125677886],[0.48810344879274015],[0.48705756774655096],[0.48058701554934186],[0.4769089624837593],[0.4765461931626002],[0.481100837941523],[0.4786702339295988],[0.4766373325277258],[0.46492298830438544],[0.47049302856127423],[0.4682741617714917],[0.46362281066400035],[0.46076120656949504],[0.46421002569022],[0.4619944459862179],[0.46146987820113144],[0.4550782397941307],[0.4582956560232021],[0.4528834643187346],[0.4510636611117257],[0.45192018261662237],[0.44836343824863434],[0.45527864385534217],[0.45312958900575284],[0.4441012475225661],[0.4471055009850749],[0.4449735587393796],[0.4446405933962928],[0.43847673855446],[0.4386353779722143],[0.43448011853076796],[0.4360531739614628],[0.4358267806194447],[0.4358494458375154],[0.4320382199905537],[0.43057354512038054],[0.43252526885933346],[0.42688263014510824],[0.4333650044820927],[0.43269145157602096],[0.42584563570993916],[0.4261983511624513],[0.4233242941123468],[0.42177457997092493],[0.41711589307696734],[0.41731965928166],[0.41802491689169846],[0.41909341790057997],[0.41996906918508037],[0.4186079560054673],[0.4090212892602991],[0.41220231464615575],[0.41377292187125597],[0.410808359031324],[0.413643510805236],[0.4087678497588193],[0.40617797275384265],[0.4154086046748691],[0.4042718780261499],[0.40609415261833753],[0.40514800669970336],[0.40624638343298874],[0.39953504116446886],[0.4008298306553452],[0.40563475368199525],[0.3985862025508174],[0.40006482380407826],[0.40134785462308814],[0.3977877762582567],[0.39488798048761153],[0.3974190884166294],[0.39669574466016555],[0.39665308042808817],[0.39258246896443544],[0.39205702752978716],[0.3928032186296251],[0.3894836875023665],[0.38531900776757133],[0.3914945539500978],[0.3847751115207319],[0.3910168608029683],[0.38834390982433603],[0.38352795386755906],[0.38295344456478403],[0.383704184933945],[0.38064322041140664],[0.38847970134682125],[0.3758197846236052],[0.3799970585990835],[0.3794180712214223],[0.38016538984245724],[0.37765822725163567],[0.3796374488759924],[0.3771687050660451],[0.3740274365301485],[0.3782716073371746],[0.376192689217903],[0.3756544799716384],[0.37348155015044743],[0.3718776476603967],[0.37217698632567014],[0.37362161223535184],[0.370758107414952],[0.3671711810209133],[0.3700796757583265],[0.36884544955359566],[0.36441355888490323],[0.3663671223653687],[0.3690718373766652],[0.3653685516781277],[0.36786102199995957],[0.3619246576671247],[0.36271400032220064],[0.364424884043358],[0.36265552540620166],[0.3633837153514226],[0.3595821344190174],[0.36016050284659423],[0.3571836098476692],[0.35583381741135206],[0.3578121684215687],[0.35758455042485837],[0.3558614538223655],[0.357916530083727],[0.3466422728918217],[0.3589707574358693],[0.353644055072908],[0.350821226283356],[0.3541944162161262],[0.3501289680048271],[0.3520925712806207],[0.3479395787473078],[0.3478274717926979],[0.34631234572993386],[0.34768865754206973],[0.34551737761055984],[0.3525681445995967],[0.3448173083640911],[0.3491565430605853],[0.3491664722009941],[0.3424884643819597],[0.34620872553851867],[0.3442835076539605],[0.34273201337567083],[0.3403967362311151],[0.3445786919306826],[0.3346493404220652],[0.3416618428848408],[0.33877178143571923],[0.3373657611233217],[0.3377135602964295],[0.3379002558412375],[0.33779990259144044],[0.33755593719305815],[0.33258327483027067],[0.33676540078940215],[0.33678480982780457],[0.332729722890589],[0.3325446794430415],[0.33371895110165634],[0.3339617721460484],[0.332260355077408],[0.3319554775953293],[0.32691224195339064],[0.33278873921544466],[0.3258939332984112],[0.32678350613073065],[0.3281295321605824],[0.32843515194124645],[0.3287102276528323],[0.32850942401974287]
[0.78760826587677],[0.781328558921814],[0.5819844603538513],[0.4351845979690552],[0.5133987069129944],[0.9270573258399963],[0.9370501041412354],[0.7990427017211914],[0.36658647656440735],[0.48775482177734375],[0.6576904058456421],[0.5817659497261047],[0.4390748143196106],[0.5016867518424988],[0.3618709444999695],[0.3652012348175049],[0.9999434947967529],[0.37112611532211304],[0.4942415654659271],[0.3536688983440399],[0.4066148102283478],[0.6723796725273132],[0.34611400961875916],[0.3517259657382965],[0.8068516254425049],[0.2880984842777252],[0.5860444903373718],[0.6892707347869873],[0.5398842096328735],[0.8696660399436951],[0.5503305196762085],[0.6136574149131775],[0.6825429201126099],[0.6615762114524841],[0.3448523283004761],[0.563720166683197],[0.43067851662635803],[0.5150659084320068],[0.4523298740386963],[0.33410754799842834],[0.7894955277442932],[0.44338253140449524],[0.7588273882865906],[0.24718640744686127],[0.6778337955474854],[0.5257784724235535],[0.6170119047164917],[0.3692977726459503],[0.5151809453964233],[0.5826342105865479],[0.6340979337692261],[0.4467568099498749],[0.4586842358112335],[1.1214851140975952],[0.7181161642074585],[0.5427963137626648],[0.4965181350708008],[0.4725790321826935],[0.40447261929512024],[0.3789617419242859],[0.862945020198822],[0.3309490978717804],[0.65261310338974],[0.8041244745254517],[0.4940423369407654],[0.538476824760437],[0.7010900974273682],[0.835148811340332],[0.31324058771133423],[0.2810657322406769],[0.5382260680198669],[0.4880107045173645],[0.24345256388187408],[0.674126148223877],[0.3763734698295593],[0.5960622429847717],[0.4925602674484253],[1.108491063117981],[0.7655951976776123],[0.4119536280632019],[0.3775140643119812],[0.35682180523872375],[0.4114086329936981],[0.3542528450489044],[0.2546063959598541],[0.28087279200553894],[0.5113683938980103],[0.5537900328636169],[0.5026592016220093],[0.9620150923728943],[0.3450792133808136],[0.645311713218689],[0.7030708193778992],[0.5458647012710571],[0.4261535704135895],[0.4794916808605194],[0.5476673245429993],[0.7123830318450928],[0.5065170526504517],[0.35815101861953735],[0.42668020725250244],[1.2142759561538696],[0.5146907567977905],[0.7205765843391418],[0.7628592848777771],[0.367883563041687],[0.2442113608121872],[0.5655268430709839],[0.33179062604904175],[0.8670661449432373],[0.43025344610214233],[0.29035067558288574],[0.28524526953697205],[0.5748999118804932],[0.5872296094894409],[0.41399985551834106],[0.7826890349388123],[0.7462726831436157],[0.807939887046814],[0.29737696051597595],[0.7105510234832764],[0.5018589496612549],[0.6854746341705322],[0.31358176469802856],[0.8053345680236816],[0.43484389781951904],[0.5161528587341309],[0.6660707592964172],[0.30870500206947327],[0.6075294613838196],[0.7064537405967712],[0.3874286711215973],[0.31935185194015503],[0.4165763258934021],[0.7856863141059875],[0.4362325072288513],[0.49822887778282166],[0.4238344132900238],[0.4880203604698181],[0.47796154022216797],[0.8465462923049927],[0.5917791724205017],[0.38296711444854736],[0.39996373653411865],[0.9474208354949951],[0.358341246843338],[0.439515084028244],[0.599474310874939],[0.5765220522880554],[0.7211965322494507],[0.4226624071598053],[0.677574634552002],[0.4189750850200653],[0.8890522718429565],[0.7185275554656982],[0.27188640832901],[0.535804808139801],[0.7314143180847168],[0.7296499013900757],[0.7323746681213379],[0.6926038265228271],[0.20076563954353333],[0.4611113369464874],[0.40241873264312744],[0.3423044681549072],[1.19271981716156],[1.2061017751693726],[0.5515963435173035],[0.6978048086166382],[0.5768020153045654],[0.37800145149230957],[0.36044660210609436],[0.7627742290496826],[0.42583754658699036],[0.7966025471687317],[0.6120856404304504],[0.6558730006217957],[0.49697190523147583],[0.9309666156768799],[0.5667940378189087],[0.5025622248649597],[0.2944059669971466],[0.7231832146644592],[0.30833131074905396],[0.6852174997329712],[0.6010475158691406],[0.2584088444709778],[0.768967866897583],[0.675011396408081],[0.17852717638015747],[0.41376274824142456],[0.828015923500061],[0.2718198895454407],[0.6825123429298401],[0.9728416204452515],[0.4697141945362091],[0.3360758423805237],[0.45650139451026917],[0.33937719464302063],[0.7105547189712524]
