[0.8919904],[0.8640109],[0.8498195],[0.84721667],[0.8351878],[0.82827264],[0.8278329],[0.83099097],[0.8182389],[0.8013123],[0.81151],[0.80783004],[0.80331147],[0.79930115],[0.79354393],[0.79541117],[0.7855369],[0.78058445],[0.7786663],[0.7698187],[0.77559686],[0.77445084],[0.77413493],[0.7724595],[0.7626728],[0.7612185],[0.7611606],[0.7629701],[0.7507244],[0.75404984],[0.74287957],[0.74176395],[0.7451999],[0.74150825],[0.7308545],[0.7360109],[0.7447027],[0.7251838],[0.7362549],[0.7350487],[0.7293323],[0.72917396],[0.7217624],[0.72391933],[0.73003817],[0.7150607],[0.71674395],[0.716371],[0.71052015],[0.7180529],[0.7034287],[0.7051781],[0.6988564],[0.7114327],[0.7110976],[0.7102709],[0.70353276],[0.6964783],[0.69438976],[0.6898829],[0.69221556],[0.6845128],[0.6814468],[0.6855367],[0.6881356],[0.6844895],[0.67715394],[0.6796581],[0.68069756],[0.6801185],[0.6825821],[0.67066133],[0.67529845],[0.67090607],[0.67710555],[0.66495997],[0.6656944],[0.6659762],[0.6656974],[0.6684275],[0.6653369],[0.66153383],[0.65098405],[0.6560119],[0.6562303],[0.6581237],[0.65023917],[0.65054613],[0.65283453],[0.6469323],[0.64671403],[0.6440872],[0.6442757],[0.64475095],[0.6406385],[0.6402658],[0.63643885],[0.63634634],[0.6359579],[0.6322698],[0.6358158],[0.6287853],[0.63055366],[0.62564886],[0.63342035],[0.62932515],[0.632441],[0.6348972],[0.6262507],[0.627945],[0.61861205],[0.60795236],[0.6136303],[0.6120997],[0.60786],[0.6172405],[0.608208],[0.5975208],[0.60663813],[0.6028417],[0.6006961],[0.6060045],[0.6074381],[0.59804535],[0.59528613],[0.60084987],[0.5932858],[0.59942126],[0.5947728],[0.594973],[0.59360284],[0.58941305],[0.59527314],[0.5918529],[0.5878748],[0.58947885],[0.59038097],[0.58080244],[0.5848823],[0.5825603],[0.58495796],[0.5800843],[0.58336246],[0.5734942],[0.5757633],[0.5787475],[0.57134134],[0.5720816],[0.5749467],[0.566451],[0.5739145],[0.5696455],[0.5669777],[0.56028956],[0.57276684],[0.56849986],[0.5647987],[0.56164724],[0.5603446],[0.5541509],[0.5557573],[0.5539633],[0.5518437],[0.5510893],[0.5520673],[0.5556194],[0.55250645],[0.5523502],[0.55585116],[0.55342895],[0.55127543],[0.551543],[0.5487407],[0.54843646],[0.54468834],[0.5369736],[0.5427312],[0.538321],[0.54333943],[0.5398195],[0.535468],[0.5319016],[0.531715],[0.5352332],[0.52842325],[0.5356855],[0.53477407],[0.53039265],[0.5266277],[0.5283825],[0.5324999],[0.52794677],[0.5268571],[0.520726],[0.52306914],[0.51743937],[0.5227946],[0.51656055],[0.52977914],[0.5274146]
[0.7750193476676941],[0.7377786040306091],[0.7174914479255676],[0.723740816116333],[0.7346741557121277],[0.7365570664405823],[0.7467554211616516],[0.7506388425827026],[0.7322447299957275],[0.7339579463005066],[0.7437673211097717],[0.75361567735672],[0.7602992653846741],[0.7488336563110352],[0.7150890231132507],[0.7553902268409729],[0.7203055620193481],[0.7546030282974243],[0.7281447649002075],[0.7123435735702515],[0.7258703112602234],[0.734157919883728],[0.7259551286697388],[0.7399938106536865],[0.7416993975639343],[0.7327700257301331],[0.7522090077400208],[0.7146161198616028],[0.7435276508331299],[0.7383318543434143],[0.732945442199707],[0.748105525970459],[0.7364108562469482],[0.7441089749336243],[0.7135534882545471],[0.7145144939422607],[0.705795168876648],[0.711046040058136],[0.7211086750030518],[0.7100333571434021],[0.7254534363746643],[0.7061489224433899],[0.7199095487594604],[0.736934244632721],[0.7243876457214355],[0.729118824005127],[0.729665219783783],[0.7172643542289734],[0.7140606641769409],[0.7073521614074707],[0.731884777545929],[0.7032055258750916],[0.7137172818183899],[0.7017552852630615],[0.7073237299919128],[0.7335056066513062],[0.7054213881492615],[0.7045895457267761],[0.7197917103767395],[0.7036583423614502],[0.7119199633598328],[0.6981569528579712],[0.6880528330802917],[0.7061634659767151],[0.6972116231918335],[0.704125702381134],[0.6822072863578796],[0.6938461661338806],[0.700609028339386],[0.6636199355125427],[0.6903961896896362],[0.7047891616821289],[0.678029477596283],[0.7047579288482666],[0.7087262272834778],[0.6971848011016846],[0.6933329701423645],[0.7126665115356445],[0.6857254505157471],[0.6830304265022278],[0.6913025975227356],[0.689505934715271],[0.6700906753540039],[0.6793721318244934],[0.6825550198554993],[0.6698262691497803],[0.6880126595497131],[0.6784386038780212],[0.6669155359268188],[0.6790769100189209],[0.6602419018745422],[0.6740640997886658],[0.6748266816139221],[0.6792017221450806],[0.6739307045936584],[0.6587034463882446],[0.6779314875602722],[0.6737618446350098],[0.6718425750732422],[0.6677213907241821],[0.6741425395011902],[0.6740861535072327],[0.6522520184516907],[0.6565992832183838],[0.6749339699745178],[0.6810387372970581],[0.6611300706863403],[0.6563032269477844],[0.6604129672050476],[0.6632859706878662],[0.6534916758537292],[0.6606913208961487],[0.6577116250991821],[0.6748062968254089],[0.6511412858963013],[0.6539620161056519],[0.6687025427818298],[0.6494171023368835],[0.6544345021247864],[0.6716702580451965],[0.653446614742279],[0.6561127305030823],[0.6633304357528687],[0.6552540063858032],[0.6458072066307068],[0.6423910856246948],[0.6227294206619263],[0.6464927792549133],[0.6547091007232666],[0.632145881652832],[0.6347447633743286],[0.6327900290489197],[0.6328606009483337],[0.6305888891220093],[0.627879798412323],[0.6312081813812256],[0.6574753522872925],[0.6200361251831055],[0.6240116953849792],[0.6417426466941833],[0.6220629811286926],[0.6356509923934937],[0.6361464262008667],[0.6366970539093018],[0.6295744776725769],[0.647247850894928],[0.6088823676109314],[0.6276663541793823],[0.6047513484954834],[0.5979121923446655],[0.6094538569450378],[0.6246106028556824],[0.6259573698043823],[0.6282227635383606],[0.6296498775482178],[0.6166761517524719],[0.6212054491043091],[0.6102292537689209],[0.5888780951499939],[0.6074270009994507],[0.6031271815299988],[0.633392870426178],[0.5986500978469849],[0.6100703477859497],[0.6154157519340515],[0.6047123074531555],[0.610815167427063],[0.6242699027061462],[0.5940302610397339],[0.6061465740203857],[0.596767008304596],[0.6014154553413391],[0.6127907037734985],[0.6067467331886292],[0.6025587916374207],[0.5941376090049744],[0.5885123014450073],[0.5777447819709778],[0.5971056818962097],[0.6067309975624084],[0.5880621075630188],[0.5917026400566101],[0.5903913974761963],[0.5961251854896545],[0.5875458121299744],[0.5979716777801514],[0.5850618481636047],[0.5889142155647278],[0.585208535194397],[0.5980513095855713],[0.5995253920555115],[0.5598304271697998],[0.5949061512947083],[0.576235830783844],[0.5825265049934387],[0.5760012269020081],[0.6015509366989136],[0.5919531583786011],[0.5877650380134583],[0.573601484298706]
[0.7929374103498931],[0.7231428782538613],[0.6958417131169008],[0.6819059358965053],[0.6661862789994419],[0.6589141045466508],[0.6532660468970195],[0.6484376339629145],[0.6371719624736522],[0.6199575880966565],[0.6296287916674472],[0.6227071294099977],[0.6183948041778979],[0.6146910795480898],[0.6098649280496163],[0.6099794256215049],[0.6008007818519479],[0.5963296258803641],[0.5918227457764125],[0.5875025229288799],[0.5930613595070225],[0.588975984861355],[0.5910657225268903],[0.5850418333960051],[0.5779967310995159],[0.5766049328416881],[0.5799423594876091],[0.5766440190301083],[0.5666357520783302],[0.5685635265147332],[0.559475716092799],[0.5617176669068856],[0.5630438280577706],[0.5580552769179391],[0.5482808375122523],[0.5571631207914636],[0.5597758116108356],[0.5427753196494414],[0.5544158512412911],[0.5490245780732372],[0.5463801395184923],[0.5448083151685129],[0.5384221844153829],[0.5451221666713753],[0.5451096154675625],[0.5316424962907734],[0.5331452503652856],[0.5330674624679113],[0.5319114029407501],[0.5340263108805855],[0.522867241708359],[0.5217366475279969],[0.521789412982393],[0.5306651893228588],[0.5280062913304508],[0.5265506261056012],[0.5191085911033178],[0.5129711096829707],[0.5142346228113269],[0.5098155952326142],[0.512821082431491],[0.5030647781815859],[0.5018106607517393],[0.5090052656608053],[0.5074753507529155],[0.5043033249307387],[0.4963842996276251],[0.5026629419610051],[0.5018312503205667],[0.5004503960066503],[0.5004285072336102],[0.4941910998065873],[0.4943455770464227],[0.4931479105264834],[0.49706407997867846],[0.4862560573780891],[0.48748233855360806],[0.49016223803605186],[0.48698868019746083],[0.48737011628575844],[0.48359856127512335],[0.48557187956158476],[0.47632731039925374],[0.48086820852638473],[0.47713907756427726],[0.48036768589869583],[0.4745532684396989],[0.4731797593654973],[0.4770598795154307],[0.4695931053397679],[0.46849710722961047],[0.46574234932956127],[0.4686127243065598],[0.47112716424583206],[0.46517541975078014],[0.4651171839473271],[0.46102083348991846],[0.45759825334690585],[0.4621901101995223],[0.4571528942278116],[0.46214525003244383],[0.45727450599764835],[0.45670125419550606],[0.4522656222971359],[0.4577727845989832],[0.45573819745885263],[0.45574452587873626],[0.4586513529319574],[0.4530658311773055],[0.4514873656305936],[0.44397114438585716],[0.43883838393900654],[0.44260802304390634],[0.44126220504836283],[0.439003854104788],[0.44540916014425824],[0.4364012022419731],[0.43121958074003164],[0.43860929171637736],[0.4336256163545174],[0.4339096431094821],[0.43668374301183344],[0.4371583151935351],[0.4295349829267747],[0.42694220802571514],[0.4331419450221675],[0.4276251497835216],[0.4328251829241762],[0.42422228166372467],[0.42872196642479093],[0.4257921933537663],[0.4217433743547685],[0.42632200517276725],[0.42548925982843533],[0.4213770583714589],[0.42249472837636964],[0.42539137601852417],[0.4152107840717429],[0.41868634448193087],[0.41754513123247883],[0.41771299709187876],[0.4158769202704477],[0.4207063754006187],[0.4090108346230913],[0.41286208901074856],[0.41332820854564706],[0.4097452644664462],[0.40896224739527937],[0.4120280825265563],[0.40436273105073683],[0.41078697661362074],[0.4077944295241101],[0.40528993972457283],[0.4014721430174195],[0.41050256892006],[0.4054406716091798],[0.40656823598512326],[0.40181122085835674],[0.3977622392744121],[0.3958737375122486],[0.3972024938257614],[0.3964671454217174],[0.3955054566411689],[0.39156028274262306],[0.39485084125311065],[0.39956039662408355],[0.39422194940028804],[0.3937552807354691],[0.3968172672361431],[0.3962764509833685],[0.3905640911347795],[0.3933748927446875],[0.3925653510164506],[0.3909487269892551],[0.3902388297685302],[0.38242618724851324],[0.38814744530337875],[0.3826837938020725],[0.3890669404870213],[0.3847342106965509],[0.3805180947379311],[0.3811765106597749],[0.37937031524016124],[0.3816880781461697],[0.3767683818788812],[0.3850598842790811],[0.38198216097189647],[0.3771562145488097],[0.3766002991411946],[0.3772710136847921],[0.380595735099056],[0.37539965327423397],[0.3760472645263861],[0.37054833887827276],[0.3732789905354528],[0.3696191653166667],[0.3735114309457269],[0.36782058748868435],[0.379260781967994],[0.37616379544286443]
[0.3861502707004547],[0.6673771739006042],[0.46217215061187744],[0.3577345311641693],[0.5343010425567627],[0.382599800825119],[0.8370141386985779],[0.4971925616264343],[0.749156653881073],[0.3971523940563202],[0.668626606464386],[0.5862163305282593],[0.6264981031417847],[0.4433390200138092],[0.5422837734222412],[0.47195544838905334],[0.5250619649887085],[0.8247182369232178],[0.6238464117050171],[0.579916775226593],[0.5207398533821106],[0.4145066738128662],[0.3365062177181244],[0.4253600835800171],[0.7347701191902161],[0.4400956630706787],[0.3995097577571869],[0.49086660146713257],[0.4086376130580902],[0.4322863817214966],[0.4825284481048584],[0.5279831886291504],[0.4226318299770355],[0.6516527533531189],[0.47734418511390686],[0.3112938106060028],[0.6719458103179932],[0.5164193511009216],[0.7381506562232971],[0.5681612491607666],[0.38056617975234985],[0.4069521129131317],[0.41879624128341675],[0.607366144657135],[0.3781319558620453],[0.5768675804138184],[0.5787116289138794],[0.6352044939994812],[0.334595650434494],[0.993009626865387],[0.5379818677902222],[0.8351463675498962],[0.414320170879364],[0.7230757474899292],[0.5185443162918091],[0.49180757999420166],[0.4522364139556885],[0.5823240876197815],[0.6299290060997009],[0.9836792945861816],[0.34030959010124207],[0.45407623052597046],[0.7750064134597778],[0.3768700659275055],[0.5024874210357666],[0.5086194276809692],[0.7946321368217468],[0.313896119594574],[0.4321335256099701],[0.4029712378978729],[0.44636270403862],[0.6116043329238892],[0.3950057923793793],[0.3857729136943817],[0.3863053321838379],[0.43224653601646423],[0.4441245198249817],[0.6646531820297241],[0.7716113924980164],[0.6898850798606873],[0.3732226490974426],[0.407591849565506],[0.49553626775741577],[0.7088033556938171],[0.4308745265007019],[0.6581869125366211],[1.0010029077529907],[0.3850683867931366],[0.46768084168434143],[0.2863636016845703],[0.4177900552749634],[0.5417988300323486],[0.4679575264453888],[0.3485582768917084],[0.44323915243148804],[0.4737609922885895],[0.4897845685482025],[0.6546926498413086],[0.29992952942848206],[0.4367534816265106],[0.5958839654922485],[0.40860775113105774],[0.3401055634021759],[0.6771027445793152],[0.8078812956809998],[0.37978383898735046],[0.4611279368400574],[0.7228451371192932],[0.3293774425983429],[0.7272437810897827],[0.26935631036758423],[0.578536331653595],[0.5070748925209045],[0.5804416537284851],[0.4133184254169464],[0.4138599932193756],[0.6314631104469299],[0.39328646659851074],[0.3486792743206024],[0.33165329694747925],[0.6120930910110474],[0.3439941704273224],[0.33382976055145264],[0.26407331228256226],[0.39579179883003235],[0.34397393465042114],[0.8910333514213562],[0.6591557860374451],[0.4908321499824524],[0.2502746880054474],[0.2602301239967346],[0.5796787738800049],[0.8524994254112244],[0.6585838198661804],[0.5026924014091492],[0.42709115147590637],[0.4708489179611206],[0.5695632100105286],[0.7687923908233643],[0.5085703134536743],[0.8904538154602051],[0.3845856785774231],[0.5854722261428833],[0.6975513696670532],[0.6484829187393188],[0.9108093976974487],[0.24775730073451996],[0.40558820962905884],[0.3314683437347412],[0.21011775732040405],[0.35878872871398926],[0.4388144612312317],[0.252723753452301],[0.7594633102416992],[0.8114535212516785],[0.42004239559173584],[0.445230096578598],[0.7765060067176819],[0.6403927206993103],[0.6692964434623718],[0.3344916105270386],[0.33011889457702637],[0.6377621293067932],[0.25279751420021057],[0.459186851978302],[0.8534707427024841],[0.22029699385166168],[0.8777289986610413],[0.7053609490394592],[0.8674375414848328],[0.2912348508834839],[0.3306129574775696],[0.6710329055786133],[0.4269566237926483],[0.3594922423362732],[0.7130414247512817],[0.5951513051986694],[0.4568553864955902],[0.9578868746757507],[0.23743873834609985],[0.3810534179210663],[0.6447255611419678],[0.4247770309448242],[0.275661826133728],[0.4836638271808624],[0.7656903862953186],[0.3516685664653778],[0.7048371434211731],[0.40635624527931213],[0.631259024143219],[0.3580893278121948],[0.4582301676273346],[0.8750118017196655],[0.17392125725746155],[0.9658610820770264],[0.3042365610599518],[0.8887088298797607],[0.5000390410423279],[1.1059694290161133],[0.2943325638771057]
