[0.893403],[0.873053],[0.8554602],[0.8532898],[0.84687626],[0.8473385],[0.84262264],[0.84227175],[0.8292267],[0.8308154],[0.834939],[0.8287322],[0.8294412],[0.81758296],[0.8266235],[0.81895226],[0.81732386],[0.81341517],[0.81347793],[0.8037254],[0.8017598],[0.8076367],[0.79846007],[0.80024725],[0.7880648],[0.79657596],[0.7882173],[0.78507173],[0.78959984],[0.79008174],[0.78587556],[0.788134],[0.7823573],[0.77687496],[0.77747655],[0.7784675],[0.77974373],[0.7761205],[0.7713953],[0.7706843],[0.76497906],[0.75651735],[0.75827897],[0.7609011],[0.75685424],[0.7618014],[0.75128317],[0.7608844],[0.7587237],[0.7539672],[0.7507529],[0.7431843],[0.7520811],[0.74564034],[0.75681865],[0.74634254],[0.7424118],[0.7340687],[0.7385573],[0.73870575],[0.73825115],[0.7427428],[0.733065],[0.7288981],[0.7251064],[0.73342854],[0.72252595],[0.72155935],[0.72888577],[0.7255831],[0.7183929],[0.7140814],[0.7189536],[0.71211255],[0.7098616],[0.72057414],[0.7087831],[0.7196763],[0.71627533],[0.7069752],[0.7120058],[0.70299155],[0.71272486],[0.71085274],[0.71052927],[0.6981269],[0.70844805],[0.703495],[0.69324064],[0.69843686],[0.70270354],[0.695602],[0.6998984],[0.69699174],[0.69990474],[0.6981393],[0.69621885],[0.6888258],[0.6869406],[0.68106335],[0.6837552],[0.6804631],[0.6875671],[0.68429923],[0.6780625],[0.6819359],[0.68020827],[0.68812686],[0.68412215],[0.68230355],[0.6753912],[0.67026675],[0.6683512],[0.6681295],[0.66821915],[0.6647845],[0.6681649],[0.6672991],[0.66962445],[0.66041744],[0.66721416],[0.6612015],[0.66925657],[0.6581944],[0.6593187],[0.66838926],[0.6599534],[0.66095436],[0.6642007],[0.65607965],[0.6496863],[0.6532305],[0.6532639],[0.65289605],[0.65550846],[0.6464325],[0.6473011],[0.64320606],[0.63625526],[0.6492218],[0.6386465],[0.6513835],[0.64430755],[0.6355745],[0.64281386],[0.63607943],[0.63753843],[0.64033407],[0.64162743],[0.6365145],[0.63400817],[0.6411463],[0.63587433],[0.63635343],[0.63417256],[0.63284886],[0.631255],[0.63293374],[0.62594634],[0.6248715],[0.6213573],[0.62479174],[0.62363654],[0.6196733],[0.62764394],[0.61855686],[0.617492],[0.6197825],[0.6183629],[0.61560845],[0.61844814],[0.622328],[0.6146002],[0.6156359],[0.6098119],[0.61004615],[0.60771245],[0.61050564],[0.60758054],[0.6046565],[0.60327023],[0.60577786],[0.5986048],[0.6063673],[0.59749764],[0.60368466],[0.598521],[0.6002369],[0.5988905],[0.60344446],[0.605152],[0.6059834],[0.6049309],[0.59863216],[0.59591126],[0.58508253],[0.6003817],[0.58910626],[0.5900418],[0.5871995]
[1.2587684392929077],[1.0161261558532715],[0.8820465207099915],[0.7992643117904663],[0.7669636607170105],[0.7602581977844238],[0.7654596567153931],[0.7492836713790894],[0.7310273051261902],[0.7356141805648804],[0.7714529037475586],[0.7411224246025085],[0.7304237484931946],[0.7202215790748596],[0.7820842266082764],[0.736029863357544],[0.7260347604751587],[0.7010745406150818],[0.7334989309310913],[0.724000096321106],[0.7109873294830322],[0.6908420324325562],[0.7344604730606079],[0.7075788378715515],[0.7087119817733765],[0.7157714366912842],[0.6748823523521423],[0.6984577178955078],[0.711733877658844],[0.7249876856803894],[0.7124913930892944],[0.7266096472740173],[0.6885187029838562],[0.7170684337615967],[0.7200595140457153],[0.710003137588501],[0.7129189372062683],[0.7092727422714233],[0.7082945108413696],[0.6900779008865356],[0.7021235823631287],[0.7133752107620239],[0.6775288581848145],[0.6784123778343201],[0.7005110383033752],[0.6772972345352173],[0.6963478922843933],[0.6817307472229004],[0.6915885806083679],[0.6841059923171997],[0.6941171288490295],[0.6843590140342712],[0.7146927118301392],[0.7081157565116882],[0.7139720916748047],[0.7066969275474548],[0.7002168297767639],[0.6864947080612183],[0.7053250074386597],[0.7095629572868347],[0.684650719165802],[0.6952418088912964],[0.7116468548774719],[0.6891236305236816],[0.6662371158599854],[0.6730727553367615],[0.7088238000869751],[0.6929992437362671],[0.6965495347976685],[0.6861574053764343],[0.6505775451660156],[0.6882559657096863],[0.6813740730285645],[0.6734979748725891],[0.6907623410224915],[0.6984192132949829],[0.6848484873771667],[0.6935615539550781],[0.6693495512008667],[0.6821731328964233],[0.6876819729804993],[0.6851239204406738],[0.6840048432350159],[0.6743962168693542],[0.6929808259010315],[0.6770947575569153],[0.6740157604217529],[0.6653881669044495],[0.663703978061676],[0.6799137592315674],[0.6729738116264343],[0.6613031625747681],[0.678710401058197],[0.6603634357452393],[0.7025200724601746],[0.6636185646057129],[0.6394509077072144],[0.6647405028343201],[0.6604457497596741],[0.6685606241226196],[0.6704568862915039],[0.6930168271064758],[0.6637042760848999],[0.652627170085907],[0.6750927567481995],[0.6646793484687805],[0.6623431444168091],[0.6737066507339478],[0.6898581385612488],[0.6520568132400513],[0.667220413684845],[0.6536392569541931],[0.6739626526832581],[0.6487721800804138],[0.6750476956367493],[0.6480090618133545],[0.6442592144012451],[0.6468820571899414],[0.667201817035675],[0.6511752009391785],[0.6538978815078735],[0.6447740793228149],[0.6369315981864929],[0.6520530581474304],[0.6394209265708923],[0.6375259160995483],[0.6556787490844727],[0.6470116376876831],[0.6671563386917114],[0.641521155834198],[0.6404834389686584],[0.651561975479126],[0.6335642337799072],[0.6292223334312439],[0.6510291695594788],[0.6260773539543152],[0.6508303284645081],[0.6355753540992737],[0.6427423357963562],[0.6424833536148071],[0.6194464564323425],[0.6573783755302429],[0.6319986581802368],[0.6280642747879028],[0.6317659020423889],[0.6551302075386047],[0.624021589756012],[0.6288451552391052],[0.6356324553489685],[0.6218971014022827],[0.6367385387420654],[0.649539589881897],[0.6198589205741882],[0.6239755749702454],[0.6116316318511963],[0.6255959272384644],[0.6190639138221741],[0.6178190112113953],[0.6094074845314026],[0.6222220659255981],[0.6239625215530396],[0.6259244680404663],[0.6127792596817017],[0.620622456073761],[0.6154945492744446],[0.6009779572486877],[0.6066153049468994],[0.6353884339332581],[0.6187907457351685],[0.633769154548645],[0.6179017424583435],[0.6121309399604797],[0.6084121465682983],[0.6313048005104065],[0.6207451820373535],[0.6055564284324646],[0.619069516658783],[0.5895897746086121],[0.6060213446617126],[0.6012080311775208],[0.6158912181854248],[0.5799981355667114],[0.6033011078834534],[0.5919110774993896],[0.6047123074531555],[0.6026074886322021],[0.5997135639190674],[0.5978494882583618],[0.5948542952537537],[0.5820318460464478],[0.5954306721687317],[0.6094112992286682],[0.6066402196884155],[0.5959537625312805],[0.6009721159934998],[0.5793198943138123],[0.6050600409507751],[0.5755913257598877],[0.5861510634422302],[0.5974860191345215]
[0.836829439357475],[0.77271811498536],[0.7360336935078656],[0.7136535081598494],[0.7001391583018832],[0.6895553017104114],[0.6791279084152646],[0.6727323322384445],[0.6593150904885045],[0.6575238748832986],[0.6585519247584872],[0.6496691041522555],[0.6463280761683429],[0.6367194045473028],[0.643259483355063],[0.6334850015463652],[0.631817947935175],[0.6273821945543643],[0.6264668703079224],[0.6198091683564363],[0.6142849822839102],[0.6166291866037581],[0.6128342184755537],[0.6135280915984401],[0.6041489232469488],[0.6083077192306519],[0.6003175201239409],[0.6015373876801243],[0.602889006888425],[0.6017643709977468],[0.598167109268683],[0.5978302856286367],[0.5932232362252695],[0.5884307335924219],[0.591511102186309],[0.5892544896514328],[0.5928856101300981],[0.5860390022948936],[0.5846830120793095],[0.5837014538270456],[0.5780358849852173],[0.573959364383309],[0.5735728757248985],[0.5766923907730315],[0.5723895055276377],[0.5736687238569613],[0.5674671155435068],[0.5750305040015115],[0.5744554312140854],[0.5683148205280304],[0.5628822948093768],[0.5595309772977123],[0.5664510859383477],[0.5593961681480761],[0.5672929772624263],[0.5600935584968991],[0.5569676254634504],[0.5527392112546496],[0.5547643016885828],[0.5575278693879092],[0.5530036743040438],[0.5572612164197145],[0.5496365913638362],[0.5445410636840043],[0.5453161056394931],[0.5494260076019499],[0.5443134081584436],[0.5409028132756551],[0.5454808534295471],[0.5417797134982215],[0.5367160676806061],[0.5364735866034472],[0.5376068546816155],[0.5330295987703182],[0.5327703643728186],[0.5379167331589593],[0.5288144741897229],[0.5366761651304033],[0.5339379707972208],[0.5271227475669649],[0.5327881640858121],[0.5232955890673178],[0.5329879169110898],[0.5290822635094324],[0.5272482788121259],[0.5206297900941637],[0.5272334350479974],[0.5231789262206467],[0.5154906461636225],[0.5194420356441427],[0.5214634151370438],[0.5173377626472049],[0.5222471091482375],[0.517453004916509],[0.5184271076211223],[0.5162988790759334],[0.5148589550345032],[0.5088857092239238],[0.5073561900191836],[0.5046195514776088],[0.50514073393963],[0.5042009767558839],[0.5087988155859487],[0.5053704656936504],[0.49972788051322653],[0.5059471682265952],[0.5008780586498754],[0.5062990072700713],[0.5055180959127568],[0.5045256675393494],[0.4958564076158736],[0.49091114655688955],[0.491696494045081],[0.4940658570439727],[0.4909864217042923],[0.4915855957402123],[0.4944331259639175],[0.48943133265883837],[0.4935359154586439],[0.4839611070023643],[0.49163415365748936],[0.4905391495536875],[0.4918099078867171],[0.4820576387423056],[0.4830211428580461],[0.4911829917519181],[0.48505594167444444],[0.4837478780084186],[0.4870680543007674],[0.4775679862057721],[0.4747901106322253],[0.4782273178851163],[0.4808007511827681],[0.4760082209551776],[0.47973868361225835],[0.4697411126560635],[0.4742794754328551],[0.469769056196566],[0.46651189691490597],[0.4762285070286857],[0.4648579232118748],[0.4779993108025304],[0.47022456648173155],[0.46240313406343814],[0.4701588076573831],[0.46512210093162676],[0.4631423872930032],[0.4689426135133814],[0.46619560762687967],[0.46517329745822483],[0.46161425500004377],[0.46609944932990605],[0.46350868542989093],[0.4616486430168152],[0.46163077376506945],[0.4607977685001161],[0.4616893739612014],[0.45985601124940095],[0.4543003721369637],[0.45288573646986924],[0.45120178549378004],[0.4554017644237589],[0.4526171993326258],[0.4512665470441182],[0.4541536012181529],[0.4468738889252698],[0.44972678467079447],[0.44937476570959445],[0.4490443782673942],[0.44843671939991137],[0.44671486207732447],[0.4524532054309492],[0.44493930759253325],[0.4427825057948077],[0.4401602220756036],[0.4403559819415764],[0.4385049122351187],[0.4436219102806515],[0.4407525415773745],[0.4359778579738405],[0.43749879907678674],[0.43740632357420745],[0.43437034885088605],[0.4364824366790277],[0.429305472307735],[0.436070043179724],[0.43414255921487455],[0.433848077500308],[0.4327179502557825],[0.4359372153326317],[0.4365112041985547],[0.43715262247456443],[0.43844588928752476],[0.4329347853307371],[0.4285179790523317],[0.4201728265594553],[0.434067091456166],[0.42086878805248823],[0.4237561821937561],[0.42435831273043595]
[1.2653956413269043],[0.7405223846435547],[0.5638731718063354],[0.707556962966919],[0.5681201815605164],[0.8001458048820496],[0.5508963465690613],[0.8023923635482788],[0.37018293142318726],[0.4633490741252899],[0.5714077949523926],[0.6216634511947632],[0.6130862832069397],[0.3624390959739685],[0.44813069701194763],[0.48784810304641724],[0.5179817080497742],[0.40121421217918396],[0.39834117889404297],[0.38206252455711365],[0.4813576340675354],[0.5146669149398804],[0.5735358595848083],[0.7778387069702148],[0.44879385828971863],[0.43679070472717285],[0.3881124258041382],[0.41140028834342957],[0.45011353492736816],[0.38202333450317383],[0.6832858324050903],[0.512928307056427],[0.36165931820869446],[0.49163103103637695],[0.5377174615859985],[0.3937547206878662],[0.49061477184295654],[0.4506482183933258],[0.3998871147632599],[0.5631273984909058],[0.5228824615478516],[0.4094389081001282],[0.36882534623146057],[0.6350627541542053],[0.5451958179473877],[0.4805382490158081],[0.8296261429786682],[0.6889778971672058],[0.5769892334938049],[0.3158727288246155],[0.34844037890434265],[0.5565216541290283],[0.6723182797431946],[0.6801955699920654],[0.4267708361148834],[0.6616340279579163],[0.7562905550003052],[0.6794583201408386],[0.645499050617218],[0.8360239267349243],[0.4580267369747162],[0.5095961689949036],[0.39630430936813354],[0.6598393321037292],[0.39257389307022095],[0.5931029915809631],[0.5010650753974915],[0.42880135774612427],[0.5158771276473999],[0.4234415292739868],[0.4007652997970581],[0.3280753791332245],[0.7540009021759033],[0.3730323612689972],[0.5299588441848755],[0.4877030551433563],[0.346487432718277],[0.6243011355400085],[0.4603698253631592],[0.3610030710697174],[0.376382976770401],[0.4500563144683838],[0.46455347537994385],[0.3743728995323181],[0.3251379430294037],[0.5204821228981018],[0.5860716700553894],[0.40852853655815125],[0.6647663116455078],[0.6950119137763977],[0.5857516527175903],[0.4490513801574707],[0.5091394782066345],[0.39191174507141113],[0.40486910939216614],[0.8113498687744141],[0.6855661273002625],[0.526196300983429],[0.8082370758056641],[0.5609931349754333],[0.2781006395816803],[0.36154451966285706],[0.36887332797050476],[0.32772618532180786],[0.45710432529449463],[0.330061137676239],[0.31870952248573303],[0.7641679644584656],[0.661440908908844],[0.9028754830360413],[0.49475812911987305],[0.5230663418769836],[0.5178652405738831],[0.39446142315864563],[0.798321545124054],[0.2934349775314331],[0.5400853753089905],[0.32909470796585083],[0.5279875993728638],[0.3920263350009918],[1.026984453201294],[0.6435108184814453],[0.27724623680114746],[0.5064473748207092],[0.2996269464492798],[0.78314208984375],[0.5570963621139526],[0.5893670916557312],[0.4203673005104065],[0.4103946089744568],[0.5538541674613953],[0.5032722353935242],[0.29457172751426697],[0.6352192163467407],[0.3666800558567047],[0.7317675352096558],[0.7158061265945435],[0.5480933785438538],[0.6797811388969421],[0.49989041686058044],[0.2887085974216461],[0.8444308042526245],[0.4723663330078125],[0.4227353036403656],[0.706806480884552],[0.7745850086212158],[0.3301624357700348],[0.5628927946090698],[0.8458048701286316],[0.40787675976753235],[0.6290491819381714],[0.36646798253059387],[0.3155500888824463],[0.6900753974914551],[0.41463008522987366],[1.1345269680023193],[0.6813182234764099],[0.2638470232486725],[0.39757317304611206],[0.3041042387485504],[0.8031127452850342],[0.4755299389362335],[0.47426295280456543],[0.48068100214004517],[0.2508293688297272],[0.22122511267662048],[0.43033283948898315],[0.33041098713874817],[0.38118183612823486],[0.5566911697387695],[0.9187806248664856],[0.4601709246635437],[0.4059256613254547],[0.7054787874221802],[0.4422760009765625],[1.0150092840194702],[0.6324517726898193],[0.4476253390312195],[0.5658973455429077],[0.610137939453125],[0.994419276714325],[0.49935591220855713],[0.5799909234046936],[0.5391677021980286],[0.7864112854003906],[0.5789269804954529],[0.5345973968505859],[0.4876115322113037],[0.25710180401802063],[0.29077330231666565],[0.6803882718086243],[0.5506053566932678],[0.3996993601322174],[0.5484379529953003],[1.0403341054916382],[0.4994566738605499],[0.2597075402736664],[0.6004875898361206],[0.28528034687042236],[0.5956750512123108]
